f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
n,f,i,b,t,&,n,f,v,b,t,#,n,g,i,y,a,n,f,v,b,t,$,V,SG,1,PRS	n,g,i,y,a,n,f,i,b,t
l,p,y,p,t,&,l,p,v,j,k,#,l,p,v,j,k,$,COPY	l,p,y,p,t
l,p,y,p,t,&,l,k,y,p,t,#,n,g,a,l,k,y,p,t,$,V,SG,1,PST+RMT	n,g,a,l,p,y,p,t
z,u,o,b,k,&,z,u,q,b,k,#,z,u,q,b,k,$,COPY	z,u,o,b,k
z,u,o,b,k,&,f,u,o,b,d,#,n,g,i,y,o,f,u,o,b,d,$,V,SG,1,FUT	n,g,i,y,o,z,u,o,b,k
n,q,z,b,a,&,n,z,c,b,a,#,n,g,i,n,z,c,b,e,$,V,SG,1,PST+RCT	n,g,i,n,q,z,b,e
n,w,o,b,a,&,n,w,o,b,b,#,n,w,o,b,b,$,COPY	n,w,o,b,a
n,w,o,b,a,&,w,f,o,b,a,#,n,g,i,z,o,w,f,o,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,w,o,b,a
k,h,d,&,k,h,g,#,k,h,g,$,COPY	k,h,d
k,h,d,&,k,t,d,#,n,g,i,z,o,k,t,d,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,d
s,h,f,&,s,h,w,#,s,h,w,$,COPY	s,h,f
s,h,f,&,s,v,f,#,n,g,i,y,a,s,v,f,$,V,SG,1,PRS	n,g,i,y,a,s,h,f
g,h,o,&,g,y,g,#,g,y,g,$,COPY	g,h,o
g,h,o,&,s,h,o,#,n,g,i,y,o,s,h,o,$,V,SG,1,FUT	n,g,i,y,o,g,h,o
e,h,o,&,o,h,o,#,o,h,o,$,COPY	e,h,o
e,h,o,&,e,h,t,#,n,g,a,e,h,t,$,V,SG,1,PST+RMT	n,g,a,e,h,o
t,h,z,b,j,a,&,t,h,a,b,o,a,#,t,h,a,b,o,a,$,COPY	t,h,z,b,j,a
t,h,z,b,j,a,&,t,v,u,b,j,a,#,n,g,i,t,v,u,b,j,a,$,V,SG,1,PRS	n,g,i,t,h,z,b,j,a
t,h,p,a,h,a,&,t,h,p,a,y,a,#,t,h,p,a,y,a,$,COPY	t,h,p,a,h,a
t,h,p,a,h,a,&,a,h,w,v,h,a,#,n,g,i,a,h,w,v,h,e,$,V,SG,1,PST+RCT	n,g,i,t,h,p,a,h,e
t,h,m,t,h,a,&,t,h,m,z,h,a,#,t,h,m,z,h,a,$,COPY	t,h,m,t,h,a
t,h,m,t,h,a,&,t,i,m,t,h,a,#,n,g,a,t,i,m,t,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,m,t,h,a
t,w,w,t,h,a,&,t,w,d,t,h,a,#,t,w,d,t,h,a,$,COPY	t,w,w,t,h,a
t,w,w,t,h,a,&,t,w,w,t,t,a,#,n,g,i,z,o,t,w,w,t,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,w,w,t,h,a
t,e,j,t,s,a,&,t,l,j,t,l,a,#,t,l,j,t,l,a,$,COPY	t,e,j,t,s,a
t,e,j,t,s,a,&,t,e,p,t,s,a,#,n,g,i,y,o,t,e,p,t,s,a,$,V,SG,1,FUT	n,g,i,y,o,t,e,j,t,s,a
l,i,m,d,a,&,l,c,m,d,a,#,l,c,m,d,a,$,COPY	l,i,m,d,a
l,i,m,d,a,&,l,i,m,i,a,#,n,g,i,l,i,m,i,e,$,V,SG,1,PST+RCT	n,g,i,l,i,m,d,e
l,j,a,d,a,&,k,j,a,d,a,#,k,j,a,d,a,$,COPY	l,j,a,d,a
l,j,a,d,a,&,f,j,a,d,e,#,n,g,i,y,a,f,j,a,d,e,$,V,SG,1,PRS	n,g,i,y,a,l,j,a,d,a
e,o,n,d,a,&,e,g,n,u,a,#,e,g,n,u,a,$,COPY	e,o,n,d,a
e,o,n,d,a,&,e,f,n,d,a,#,n,g,a,e,f,n,d,a,$,V,SG,1,PST+RMT	n,g,a,e,o,n,d,a
l,t,y,o,u,&,l,t,z,o,u,#,l,t,z,o,u,$,COPY	l,t,y,o,u
l,t,y,o,u,&,p,t,y,o,u,#,n,g,i,z,o,p,t,y,o,u,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,t,y,o,u
l,w,n,z,m,&,l,w,n,b,m,#,l,w,n,b,m,$,COPY	l,w,n,z,m
l,w,n,z,m,&,u,w,v,z,m,#,n,g,i,y,o,u,w,v,z,m,$,V,SG,1,FUT	n,g,i,y,o,l,w,n,z,m
u,h,n,h,p,&,u,a,n,h,p,#,u,a,n,h,p,$,COPY	u,h,n,h,p
u,h,n,h,p,&,u,h,p,h,p,#,n,g,a,u,h,p,h,p,$,V,SG,1,PST+RMT	n,g,a,u,h,n,h,p
j,l,a,c,a,&,j,l,a,k,a,#,j,l,a,k,a,$,COPY	j,l,a,c,a
j,l,a,c,a,&,j,l,w,c,a,#,n,g,i,j,l,w,c,e,$,V,SG,1,PST+RCT	n,g,i,j,l,a,c,e
d,u,a,i,w,&,d,u,a,i,u,#,d,u,a,i,u,$,COPY	d,u,a,i,w
d,u,a,i,w,&,d,u,a,i,t,#,n,g,i,y,o,d,u,a,i,t,$,V,SG,1,FUT	n,g,i,y,o,d,u,a,i,w
d,b,o,l,s,&,d,b,o,e,s,#,d,b,o,e,s,$,COPY	d,b,o,l,s
d,b,o,l,s,&,d,b,g,l,q,#,n,g,i,z,o,d,b,g,l,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,b,o,l,s
u,s,a,l,a,&,e,s,a,l,a,#,e,s,a,l,a,$,COPY	u,s,a,l,a
u,s,a,l,a,&,u,s,a,w,a,#,n,g,i,u,s,a,w,a,$,V,SG,1,PRS	n,g,i,u,s,a,l,a
j,e,l,a,&,c,j,l,k,#,c,j,l,k,$,COPY	j,e,l,a
j,e,l,a,&,z,c,l,a,#,n,g,i,z,o,z,c,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,j,e,l,a
p,u,l,a,&,i,u,z,a,#,i,u,z,a,$,COPY	p,u,l,a
p,u,l,a,&,p,u,t,d,#,n,g,a,p,u,t,d,$,V,SG,1,PST+RMT	n,g,a,p,u,l,a
c,u,k,a,&,c,u,k,u,#,n,g,i,c,u,k,u,$,V,SG,1,PRS	n,g,i,c,u,k,a
g,k,d,d,&,p,k,d,d,#,p,k,d,d,$,COPY	g,k,d,d
g,k,d,d,&,g,k,p,d,#,n,g,i,y,o,g,k,p,d,$,V,SG,1,FUT	n,g,i,y,o,g,k,d,d
c,s,l,a,&,c,s,n,w,#,c,s,n,w,$,COPY	c,s,l,a
c,s,l,a,&,n,s,l,a,#,n,g,i,n,s,l,e,$,V,SG,1,PST+RCT	n,g,i,c,s,l,e
c,o,a,l,a,&,c,d,a,l,a,#,c,d,a,l,a,$,COPY	c,o,a,l,a
c,o,a,l,a,&,d,i,a,f,p,#,n,g,i,y,a,d,i,a,f,p,$,V,SG,1,PRS	n,g,i,y,a,c,o,a,l,a
z,h,j,e,a,&,z,h,j,v,q,#,z,h,j,v,q,$,COPY	z,h,j,e,a
z,h,j,e,a,&,z,h,j,i,a,#,n,g,a,z,h,j,i,a,$,V,SG,1,PST+RMT	n,g,a,z,h,j,e,a
w,h,a,n,a,&,w,h,d,n,a,#,w,h,d,n,a,$,COPY	w,h,a,n,a
w,h,a,n,a,&,l,h,a,n,j,#,n,g,i,z,o,l,h,a,n,j,$,V,SG,1,FUT+IMMED	n,g,i,z,o,w,h,a,n,a
v,h,d,y,a,&,v,e,d,y,a,#,v,e,d,y,a,$,COPY	v,h,d,y,a
v,h,d,y,a,&,v,h,d,d,a,#,n,g,i,v,h,d,d,e,$,V,SG,1,PST+RCT	n,g,i,v,h,d,y,e
k,w,o,p,d,&,k,w,d,p,h,#,k,w,d,p,h,$,COPY	k,w,o,p,d
k,w,o,p,d,&,k,p,o,p,s,#,n,g,i,y,o,k,p,o,p,s,$,V,SG,1,FUT	n,g,i,y,o,k,w,o,p,d
e,u,w,a,&,e,n,w,d,#,e,n,w,d,$,COPY	e,u,w,a
e,u,w,a,&,e,a,w,a,#,n,g,i,e,a,w,e,$,V,SG,1,PST+RCT	n,g,i,e,u,w,e
f,u,n,a,&,m,u,n,a,#,n,g,i,m,u,n,a,$,V,SG,1,PRS	n,g,i,f,u,n,a
f,u,n,a,&,f,w,o,a,#,n,g,i,z,o,f,w,o,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,a
k,p,n,j,&,q,p,n,w,#,q,p,n,w,$,COPY	k,p,n,j
k,p,n,j,&,z,p,p,j,#,n,g,i,y,o,z,p,p,j,$,V,SG,1,FUT	n,g,i,y,o,k,p,n,j
v,u,n,v,&,m,u,n,v,#,m,u,n,v,$,COPY	v,u,n,v
v,u,n,v,&,v,u,v,j,#,n,g,a,v,u,v,j,$,V,SG,1,PST+RMT	n,g,a,v,u,n,v
c,n,b,a,y,w,a,&,c,n,b,a,h,w,a,#,c,n,b,a,h,w,a,$,COPY	c,n,b,a,y,w,a
c,n,b,a,y,w,a,&,c,n,b,e,y,w,a,#,n,g,i,c,n,b,e,y,w,a,$,V,SG,1,PRS	n,g,i,c,n,b,a,y,w,a
c,a,b,a,j,g,a,&,c,a,b,a,j,q,a,#,c,a,b,a,j,q,a,$,COPY	c,a,b,a,j,g,a
c,a,b,a,j,g,a,&,c,a,b,a,h,g,a,#,n,g,i,z,o,c,a,b,a,h,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,b,a,j,g,a
c,a,b,a,n,g,a,&,c,a,b,m,n,g,a,#,n,g,i,c,a,b,m,n,g,e,$,V,SG,1,PST+RCT	n,g,i,c,a,b,a,n,g,e
c,a,b,a,n,f,a,&,c,a,l,a,n,f,a,#,c,a,l,a,n,f,a,$,COPY	c,a,b,a,n,f,a
c,a,b,a,n,f,a,&,c,g,b,a,n,e,a,#,n,g,a,c,g,b,a,n,e,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,a,n,f,a
c,a,b,a,n,g,a,&,c,a,a,a,n,z,a,#,n,g,i,y,o,c,a,a,a,n,z,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,b,a,n,g,a
f,g,c,m,a, ,p,y,y,c,s,i,&,f,g,t,m,a, ,p,y,y,c,s,i,#,f,g,t,m,a, ,p,y,y,c,s,i,$,COPY	f,g,c,m,a, ,p,y,y,c,s,i
f,g,c,m,a, ,p,y,y,c,s,i,&,f,g,c,s,a, ,p,y,y,c,s,i,#,n,g,i,f,g,c,s,e, ,p,y,y,c,s,i,$,V,SG,1,PST+RCT	n,g,i,f,g,c,m,e, ,p,y,y,c,s,i
j,i,a,d,a, ,p,h,i,e,s,i,&,j,i,a,z,a, ,p,h,i,e,s,i,#,j,i,a,z,a, ,p,h,i,e,s,i,$,COPY	j,i,a,d,a, ,p,h,i,e,s,i
j,i,a,d,a, ,p,h,i,e,s,i,&,j,f,t,u,a, ,p,h,i,e,s,i,#,n,g,i,y,o,j,f,t,u,a, ,p,h,i,e,s,i,$,V,SG,1,FUT	n,g,i,y,o,j,i,a,d,a, ,p,h,i,e,s,i
h,o,t,l,z, ,p,h,a,n,u,i,&,i,o,t,l,z, ,p,h,a,n,u,i,#,i,o,t,l,z, ,p,h,a,n,u,i,$,COPY	h,o,t,l,z, ,p,h,a,n,u,i
h,o,t,l,z, ,p,h,a,n,u,i,&,j,o,t,l,z, ,p,h,a,n,u,i,#,n,g,i,j,o,t,l,z, ,p,h,a,n,u,i,$,V,SG,1,PRS	n,g,i,h,o,t,l,z, ,p,h,a,n,u,i
n,m,a,s,w, ,p,v,q,h,u,i,&,w,m,p,s,w, ,p,v,q,h,u,i,#,w,m,p,s,w, ,p,v,q,h,u,i,$,COPY	n,m,a,s,w, ,p,v,q,h,u,i
n,m,a,s,w, ,p,v,q,h,u,i,&,l,m,z,s,w, ,p,v,q,h,u,i,#,n,g,i,z,o,l,m,z,s,w, ,p,v,q,h,u,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,m,a,s,w, ,p,v,q,h,u,i
h,l,a,b,l, ,p,s,a,n,s,i,&,h,l,a,b,e, ,p,s,a,n,s,i,#,h,l,a,b,e, ,p,s,a,n,s,i,$,COPY	h,l,a,b,l, ,p,s,a,n,s,i
h,l,a,b,l, ,p,s,a,n,s,i,&,h,l,a,d,o, ,p,s,a,n,s,i,#,n,g,a,h,l,a,d,o, ,p,s,a,n,s,i,$,V,SG,1,PST+RMT	n,g,a,h,l,a,b,l, ,p,s,a,n,s,i
a,s,y,c,a,&,a,s,y,c,b,#,a,s,y,c,b,$,COPY	a,s,y,c,a
a,s,y,c,a,&,u,s,y,k,a,#,n,g,i,y,o,u,s,y,k,a,$,V,SG,1,FUT	n,g,i,y,o,a,s,y,c,a
f,d,t,g,a,&,f,d,t,g,j,#,f,d,t,g,j,$,COPY	f,d,t,g,a
f,d,t,g,a,&,f,d,l,g,a,#,n,g,i,z,o,f,d,l,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,d,t,g,a
o,h,o,a,a,&,o,o,o,e,y,#,o,o,o,e,y,$,COPY	o,h,o,a,a
o,h,o,a,a,&,o,c,o,a,a,#,n,g,a,o,c,o,a,a,$,V,SG,1,PST+RMT	n,g,a,o,h,o,a,a
t,h,k,l,y,&,t,h,k,l,i,#,t,h,k,l,i,$,COPY	t,h,k,l,y
t,h,k,l,y,&,t,z,k,l,t,#,n,g,i,t,z,k,l,t,$,V,SG,1,PRS	n,g,i,t,h,k,l,y
s,h,o,a,a,&,s,h,o,t,a,#,s,h,o,t,a,$,COPY	s,h,o,a,a
s,h,o,a,a,&,s,h,o,e,a,#,n,g,i,s,h,o,e,e,$,V,SG,1,PST+RCT	n,g,i,s,h,o,a,e
l,a,l,e,l,a,&,l,a,l,c,l,a,#,n,g,a,l,a,l,c,l,a,$,V,SG,1,PST+RMT	n,g,a,l,a,l,e,l,a
l,a,l,w,l,a,&,l,q,l,w,m,a,#,l,q,l,w,m,a,$,COPY	l,a,l,w,l,a
l,a,l,w,l,a,&,l,a,t,w,l,a,#,n,g,i,z,o,l,a,t,w,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,l,w,l,a
l,h,l,e,y,a,&,l,h,l,f,y,a,#,l,h,l,f,y,a,$,COPY	l,h,l,e,y,a
l,h,l,e,y,a,&,l,o,y,e,y,a,#,n,g,i,l,o,y,e,y,a,$,V,SG,1,PRS	n,g,i,l,h,l,e,y,a
l,a,l,n,l,a,&,l,a,v,n,l,a,#,l,a,v,n,l,a,$,COPY	l,a,l,n,l,a
l,a,l,n,l,a,&,l,a,l,n,n,a,#,n,g,i,y,o,l,a,l,n,n,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,n,l,a
l,z,l,d,w,a,&,l,z,l,d,i,a,#,l,z,l,d,i,a,$,COPY	l,z,l,d,w,a
l,z,l,d,w,a,&,l,d,l,d,w,a,#,n,g,i,l,d,l,d,w,e,$,V,SG,1,PST+RCT	n,g,i,l,z,l,d,w,e
t,d,z,m,a,&,t,d,z,s,a,#,t,d,z,s,a,$,COPY	t,d,z,m,a
t,d,z,m,a,&,s,e,z,y,a,#,n,g,i,y,o,s,e,z,y,a,$,V,SG,1,FUT	n,g,i,y,o,t,d,z,m,a
t,y,u,c,a,&,t,v,u,c,a,#,t,v,u,c,a,$,COPY	t,y,u,c,a
t,y,u,c,a,&,e,y,u,c,a,#,n,g,i,e,y,u,c,e,$,V,SG,1,PST+RCT	n,g,i,t,y,u,c,e
j,h,u,a,a,&,v,h,k,a,a,#,v,h,k,a,a,$,COPY	j,h,u,a,a
j,h,u,a,a,&,j,z,u,a,a,#,n,g,a,j,z,u,a,a,$,V,SG,1,PST+RMT	n,g,a,j,h,u,a,a
l,g,e,m,f,&,l,g,n,v,f,#,l,g,n,v,f,$,COPY	l,g,e,m,f
l,g,e,m,f,&,l,g,o,j,f,#,n,g,i,l,g,o,j,f,$,V,SG,1,PRS	n,g,i,l,g,e,m,f
t,h,p,m,a,&,t,h,a,m,n,#,n,g,i,z,o,t,h,a,m,n,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,p,m,a
n,g,e,n,a,&,n,g,e,o,a,#,n,g,i,n,g,e,o,e,$,V,SG,1,PST+RCT	n,g,i,n,g,e,n,e
n,d,p,n,t,&,n,v,p,n,t,#,n,v,p,n,t,$,COPY	n,d,p,n,t
n,d,p,n,t,&,n,d,f,u,t,#,n,g,i,z,o,n,d,f,u,t,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,d,p,n,t
n,p,e,n,a,&,n,p,e,j,t,#,n,g,a,n,p,e,j,t,$,V,SG,1,PST+RMT	n,g,a,n,p,e,n,a
n,g,e,z,g,&,n,h,e,s,e,#,n,h,e,s,e,$,COPY	n,g,e,z,g
n,g,e,z,g,&,n,g,c,z,i,#,n,g,i,y,o,n,g,c,z,i,$,V,SG,1,FUT	n,g,i,y,o,n,g,e,z,g
z,g,e,n,a,&,m,g,w,g,a,#,m,g,w,g,a,$,COPY	z,g,e,n,a
z,g,e,n,a,&,z,g,o,n,a,#,n,g,i,z,g,o,n,a,$,V,SG,1,PRS	n,g,i,z,g,e,n,a
b,h,e,p,a,&,b,h,e,p,i,#,b,h,e,p,i,$,COPY	b,h,e,p,a
b,h,e,p,a,&,b,h,o,m,d,#,n,g,i,z,o,b,h,o,m,d,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,e,p,a
v,o,t,q,a,&,v,g,t,k,l,#,v,g,t,k,l,$,COPY	v,o,t,q,a
v,o,t,q,a,&,d,o,t,q,a,#,n,g,i,d,o,t,q,e,$,V,SG,1,PST+RCT	n,g,i,v,o,t,q,e
c,h,e,k,a,&,c,h,e,i,u,#,c,h,e,i,u,$,COPY	c,h,e,k,a
c,h,e,k,a,&,c,h,e,t,a,#,n,g,i,c,h,e,t,a,$,V,SG,1,PRS	n,g,i,c,h,e,k,a
d,i,e,z,a,&,d,i,v,z,k,#,d,i,v,z,k,$,COPY	d,i,e,z,a
d,i,e,z,a,&,d,g,e,z,a,#,n,g,a,d,g,e,z,a,$,V,SG,1,PST+RMT	n,g,a,d,i,e,z,a
b,h,e,a,a,&,a,h,e,a,a,#,a,h,e,a,a,$,COPY	b,h,e,a,a
b,h,e,a,a,&,b,g,e,h,a,#,n,g,i,y,o,b,g,e,h,a,$,V,SG,1,FUT	n,g,i,y,o,b,h,e,a,a
t,h,z,u,g,f,s,a,&,t,h,z,g,j,f,s,a,#,t,h,z,g,j,f,s,a,$,COPY	t,h,z,u,g,f,s,a
t,h,z,u,g,f,s,a,&,t,h,z,d,g,f,s,a,#,n,g,i,z,o,t,h,z,d,g,f,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,z,u,g,f,s,a
t,c,l,s,g,w,s,a,&,t,q,p,s,g,w,s,a,#,t,q,p,s,g,w,s,a,$,COPY	t,c,l,s,g,w,s,a
t,c,l,s,g,w,s,a,&,t,c,l,s,j,w,s,a,#,n,g,i,t,c,l,s,j,w,s,a,$,V,SG,1,PRS	n,g,i,t,c,l,s,g,w,s,a
t,p,h,k,q,i,n,a,&,t,u,f,a,v,i,n,a,#,t,u,f,a,v,i,n,a,$,COPY	t,p,h,k,q,i,n,a
t,p,h,k,q,i,n,a,&,t,p,h,k,v,i,n,a,#,n,g,i,y,o,t,p,h,k,v,i,n,a,$,V,SG,1,FUT	n,g,i,y,o,t,p,h,k,q,i,n,a
t,h,e,n,c,i,s,a,&,t,h,t,d,c,i,s,a,#,t,h,t,d,c,i,s,a,$,COPY	t,h,e,n,c,i,s,a
t,h,e,n,c,i,s,a,&,t,h,e,n,c,e,s,a,#,n,g,i,t,h,e,n,c,e,s,e,$,V,SG,1,PST+RCT	n,g,i,t,h,e,n,c,i,s,e
t,h,e,z,g,g,s,a,&,t,c,e,z,g,p,n,a,#,t,c,e,z,g,p,n,a,$,COPY	t,h,e,z,g,g,s,a
t,h,e,z,g,g,s,a,&,t,h,b,z,g,g,s,a,#,n,g,a,t,h,b,z,g,g,s,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,z,g,g,s,a
i,g,h,a,&,i,g,w,e,#,i,g,w,e,$,COPY	i,g,h,a
i,g,h,a,&,i,k,h,a,#,n,g,i,y,o,i,k,h,a,$,V,SG,1,FUT	n,g,i,y,o,i,g,h,a
a,b,n,a,&,o,s,n,a,#,o,s,n,a,$,COPY	a,b,n,a
a,b,n,a,&,a,b,m,a,#,n,g,a,a,b,m,a,$,V,SG,1,PST+RMT	n,g,a,a,b,n,a
e,h,v,a,&,g,h,v,a,#,g,h,v,a,$,COPY	e,h,v,a
e,h,v,a,&,a,k,b,a,#,n,g,i,z,o,a,k,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,e,h,v,a
t,a,j,a,&,p,a,j,l,#,p,a,j,l,$,COPY	t,a,j,a
t,a,j,a,&,v,j,j,a,#,n,g,i,v,j,j,a,$,V,SG,1,PRS	n,g,i,t,a,j,a
t,a,l,a,&,t,a,l,m,#,t,a,l,m,$,COPY	t,a,l,a
t,a,l,a,&,t,f,l,a,#,n,g,i,t,f,l,e,$,V,SG,1,PST+RCT	n,g,i,t,a,l,e
s,m,u,&,s,m,f,#,s,m,f,$,COPY	s,m,u
s,m,u,&,s,u,n,#,n,g,a,s,u,n,$,V,SG,1,PST+RMT	n,g,a,s,m,u
o,d,f,&,l,d,t,#,l,d,t,$,COPY	o,d,f
o,d,f,&,j,d,f,#,n,g,i,z,o,k,w,a,j,d,f,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,o,d,f
n,o,a,&,n,z,a,#,n,g,e,n,z,a,$,V,SG,1,PRS	n,g,i,n,o,a
n,k,f,&,n,d,f,#,n,d,f,$,COPY	n,k,f
n,k,f,&,n,f,k,f,#,n,g,i,y,o,n,f,k,f,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,n,k,f
s,k,b,e,g,q,a,&,s,k,b,k,g,q,a,#,s,k,b,k,g,q,a,$,COPY	s,k,b,e,g,q,a
s,k,b,e,g,q,a,&,s,n,b,l,d,q,a,#,n,g,i,y,o,s,n,b,l,d,q,a,$,V,SG,1,FUT	n,g,i,y,o,s,k,b,e,g,q,a
s,w,b,o,u,s,a,&,s,w,y,o,u,s,a,#,s,w,y,o,u,s,a,$,COPY	s,w,b,o,u,s,a
s,w,b,o,u,s,a,&,s,w,b,o,u,q,a,#,n,g,i,z,o,s,w,b,o,u,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,w,b,o,u,s,a
s,o,z,u,n,z,a,&,s,o,z,v,n,e,a,#,s,o,z,v,n,e,a,$,COPY	s,o,z,u,n,z,a
s,o,z,u,n,z,a,&,s,o,z,f,b,f,a,#,n,g,a,s,o,z,f,b,f,a,$,V,SG,1,PST+RMT	n,g,a,s,o,z,u,n,z,a
s,y,n,e,q,n,a,&,s,b,e,e,q,n,a,#,s,b,e,e,q,n,a,$,COPY	s,y,n,e,q,n,a
s,y,n,e,q,n,a,&,s,y,u,e,q,n,a,#,n,g,i,s,y,u,e,q,n,a,$,V,SG,1,PRS	n,g,i,s,y,n,e,q,n,a
s,e,b,e,k,z,a,&,s,t,b,e,k,z,a,#,s,t,b,e,k,z,a,$,COPY	s,e,b,e,k,z,a
s,e,b,e,k,z,a,&,s,e,c,e,k,z,a,#,n,g,i,s,e,c,e,k,z,e,$,V,SG,1,PST+RCT	n,g,i,s,e,b,e,k,z,e
k,o,l,g,&,k,o,l,h,#,k,o,l,h,$,COPY	k,o,l,g
k,o,l,g,&,p,o,g,g,#,n,g,i,p,o,g,g,$,V,SG,1,PRS	n,g,i,k,o,l,g
z,h,s,y,&,z,h,s,c,#,z,h,s,c,$,COPY	z,h,s,y
z,h,s,y,&,z,h,s,u,#,n,g,i,y,o,k,w,a,z,h,s,u,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,h,s,y
z,i,s,v,&,z,u,s,v,#,z,u,s,v,$,COPY	z,i,s,v
z,i,s,v,&,z,l,s,v,#,n,g,i,z,o,k,w,a,z,l,s,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,z,i,s,v
s,i,g,a,&,s,q,h,v,#,s,q,h,v,$,COPY	s,i,g,a
s,i,g,a,&,a,i,l,b,#,n,g,a,a,i,l,b,$,V,SG,1,PST+RMT	n,g,a,s,i,g,a
z,b,e,a,&,c,b,d,a,#,c,b,d,a,$,COPY	z,b,e,a
z,b,e,a,&,z,b,q,a,#,n,g,i,y,a,z,b,q,e,$,V,SG,1,PST+RCT	n,g,i,y,a,z,b,e,e
n,a,o,k,a,&,n,u,o,k,c,#,n,u,o,k,c,$,COPY	n,a,o,k,a
n,a,o,k,a,&,n,a,c,k,a,#,n,g,e,n,a,c,k,a,$,V,SG,1,PRS	n,g,e,n,a,o,k,a
n,u,e,g,m,&,o,u,e,g,m,#,o,u,e,g,m,$,COPY	n,u,e,g,m
n,u,e,g,m,&,n,u,e,q,m,#,n,g,i,y,o,k,w,e,n,u,e,q,m,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,u,e,g,m
n,n,i,p,a,&,n,n,i,p,m,#,n,n,i,p,m,$,COPY	n,n,i,p,a
n,n,i,p,a,&,n,n,u,p,a,#,n,g,e,n,n,u,p,e,$,V,SG,1,PST+RCT	n,g,e,n,n,i,p,e
n,d,e,i,w,&,n,d,e,i,s,#,n,d,e,i,s,$,COPY	n,d,e,i,w
n,d,e,i,w,&,n,d,e,p,w,#,n,g,i,z,o,k,w,e,n,d,e,p,w,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,d,e,i,w
f,z,z,k,a,&,z,z,n,k,f,#,z,z,n,k,f,$,COPY	f,z,z,k,a
f,z,z,k,a,&,f,z,w,k,a,#,n,g,a,f,z,w,k,a,$,V,SG,1,PST+RMT	n,g,a,f,z,z,k,a
k,h,l,f,p,m,a,&,k,f,l,f,p,m,a,#,k,f,l,f,p,m,a,$,COPY	k,h,l,f,p,m,a
k,h,l,f,p,m,a,&,k,h,l,e,p,m,a,#,n,g,i,z,o,k,h,l,e,p,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,l,f,p,m,a
k,m,h,i,e,m,a,&,k,m,h,f,e,m,a,#,k,m,h,f,e,m,a,$,COPY	k,m,h,i,e,m,a
k,m,h,i,e,m,a,&,k,m,h,u,u,m,a,#,n,g,i,k,m,h,u,u,m,e,$,V,SG,1,PST+RCT	n,g,i,k,m,h,i,e,m,e
k,h,t,l,u,f,a,&,k,k,t,l,u,f,a,#,k,k,t,l,u,f,a,$,COPY	k,h,t,l,u,f,a
k,h,t,l,u,f,a,&,k,h,m,q,s,f,a,#,n,g,i,y,o,k,h,m,q,s,f,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,t,l,u,f,a
k,t,u,l,u,u,a,&,k,h,e,l,u,u,a,#,k,h,e,l,u,u,a,$,COPY	k,t,u,l,u,u,a
k,t,u,l,u,u,a,&,k,d,u,l,u,u,a,#,n,g,i,k,d,u,l,u,u,a,$,V,SG,1,PRS	n,g,i,k,t,u,l,u,u,a
k,h,u,d,k,m,a,&,k,z,u,d,k,m,a,#,k,z,u,d,k,m,a,$,COPY	k,h,u,d,k,m,a
k,h,u,d,k,m,a,&,k,h,s,i,k,m,a,#,n,g,a,k,h,s,i,k,m,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,d,k,m,a
m,g,q,w,l,a,&,m,g,u,w,l,a,#,m,g,u,w,l,a,$,COPY	m,g,q,w,l,a
