s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
b,g,u,z,o,v,u,y,a,&,b,m,v,z,o,c,u,y,a,#,n,d,i,c,h,a,b,m,v,z,o,c,u,y,a,$,V,SG,1,FUT	n,d,i,c,h,a,b,g,u,z,o,v,u,y,a
b,h,r,r,d,m,u,a,a,&,b,h,u,r,d,m,u,w,a,#,b,h,u,r,d,m,u,w,a,$,COPY	b,h,r,r,d,m,u,a,a
b,h,r,r,d,m,u,a,a,&,b,h,r,r,r,r,u,a,a,#,v,a,b,h,r,r,r,r,u,a,a,$,V,PL,3,HOD	v,a,b,h,r,r,d,m,u,a,a
b,k,u,r,g,r,u,k,a,&,b,k,u,r,r,r,z,i,a,#,b,k,u,r,r,r,z,i,a,$,COPY	b,k,u,r,g,r,u,k,a
b,k,u,r,g,r,u,k,a,&,b,y,u,r,g,r,u,d,a,#,a,k,a,b,y,u,r,g,r,u,d,a,$,V,SG,3,PST	a,k,a,b,k,u,r,g,r,u,k,a
b,e,a,c,f,p,u,h,a,&,b,e,a,c,f,p,k,h,a,#,b,e,a,c,f,p,k,h,a,$,COPY	b,e,a,c,f,p,u,h,a
b,e,a,c,f,p,u,h,a,&,b,e,a,c,r,p,u,i,a,#,n,d,i,r,i,k,u,b,e,a,c,r,p,u,i,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,b,e,a,c,f,p,u,h,a
b,i,o,g,f,r,u,k,a,&,b,i,o,g,f,y,v,k,a,#,b,i,o,g,f,y,v,k,a,$,COPY	b,i,o,g,f,r,u,k,a
b,i,o,g,f,r,u,k,a,&,b,i,o,g,f,r,u,o,a,#,a,n,o,b,i,o,g,f,r,u,o,a,$,V,SG,3,PRS	a,n,o,b,i,o,g,f,r,u,k,a
b,h,u,r,y,r,u,k,a,&,b,h,t,r,y,r,u,k,a,#,b,h,t,r,y,r,u,k,a,$,COPY	b,h,u,r,y,r,u,k,a
b,h,u,r,y,r,u,k,a,&,b,k,r,r,y,r,u,k,a,#,w,a,b,k,r,r,y,r,u,k,a,$,V,SG,2,HOD	w,a,b,h,u,r,y,r,u,k,a
b,s,u,r,k,i,u,k,a,&,b,s,z,r,k,n,u,k,a,#,b,s,z,r,k,n,u,k,a,$,COPY	b,s,u,r,k,i,u,k,a
b,s,u,r,k,i,u,k,a,&,b,s,u,r,k,k,u,k,a,#,m,u,r,i,k,u,b,s,u,r,k,k,u,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,b,s,u,r,k,i,u,k,a
b,n,u,r,u,m,u,k,a,&,b,w,s,o,u,m,u,k,a,#,b,w,s,o,u,m,u,k,a,$,COPY	b,n,u,r,u,m,u,k,a
b,n,u,r,u,m,u,k,a,&,b,n,u,r,u,t,u,k,a,#,t,i,c,h,a,b,n,u,r,u,t,u,k,a,$,V,PL,1,FUT	t,i,c,h,a,b,n,u,r,u,m,u,k,a
b,a,y,r,u,r,u,k,a,&,b,a,y,r,a,h,p,k,a,#,b,a,y,r,a,h,p,k,a,$,COPY	b,a,y,r,u,r,u,k,a
b,a,y,r,u,r,u,k,a,&,b,a,w,r,u,b,u,k,a,#,m,u,n,o,b,a,w,r,u,b,u,k,a,$,V,PL,2,PRS	m,u,n,o,b,a,y,r,u,r,u,k,a
b,h,u,r,u,r,u,k,a,&,b,p,u,y,u,r,u,k,a,#,m,u,c,h,a,b,p,u,y,u,r,u,k,a,$,V,PL,2,FUT	m,u,c,h,a,b,h,u,r,u,r,u,k,a
b,h,t,f,u,b,r,b,a,&,b,c,t,f,u,o,o,b,a,#,b,c,t,f,u,o,o,b,a,$,COPY	b,h,t,f,u,b,r,b,a
b,h,t,f,u,b,r,b,a,&,b,h,t,v,u,h,r,b,a,#,v,a,r,i,k,u,b,h,t,v,u,h,r,b,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,b,h,t,f,u,b,r,b,a
s,e,n,p,c,a,&,s,e,n,o,c,a,#,s,e,n,o,c,a,$,COPY	s,e,n,p,c,a
s,e,n,p,c,a,&,s,e,n,p,w,a,#,a,s,e,n,p,w,a,$,V,SG,3,HOD	a,s,e,n,p,c,a
s,h,h,i,y,a,&,s,w,c,i,y,a,#,s,w,c,i,y,a,$,COPY	s,h,h,i,y,a
s,h,h,i,y,a,&,s,u,h,i,y,a,#,t,i,r,i,k,u,s,u,h,i,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,h,h,i,y,a
s,h,c,n,g,a,&,s,b,c,n,g,a,#,s,b,c,n,g,a,$,COPY	s,h,c,n,g,a
s,h,c,n,g,a,&,s,h,c,v,g,a,#,n,d,i,r,i,k,u,s,h,c,v,g,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,h,c,n,g,a
s,h,c,n,s,a,&,s,h,h,n,g,a,#,s,h,h,n,g,a,$,COPY	s,h,c,n,s,a
s,h,c,n,s,a,&,s,h,h,n,s,a,#,t,i,n,o,s,h,h,n,s,a,$,V,PL,1,PRS	t,i,n,o,s,h,c,n,s,a
s,h,a,u,d,a,&,s,h,b,u,d,a,#,s,h,b,u,d,a,$,COPY	s,h,a,u,d,a
s,h,a,u,d,a,&,s,f,a,u,r,a,#,a,c,h,a,s,f,a,u,r,a,$,V,SG,3,FUT	a,c,h,a,s,h,a,u,d,a
s,n,u,a,d,a,&,s,n,u,f,d,a,#,s,n,u,f,d,a,$,COPY	s,n,u,a,d,a
s,n,u,a,d,a,&,s,n,u,a,r,a,#,m,u,c,h,a,s,n,u,a,r,a,$,V,PL,2,FUT	m,u,c,h,a,s,n,u,a,d,a
s,h,a,n,d,a,&,s,h,a,u,d,a,#,a,k,a,s,h,a,u,d,a,$,V,SG,3,PST	a,k,a,s,h,a,n,d,a
s,h,k,g,w,a,&,s,h,k,g,h,a,#,s,h,k,g,h,a,$,COPY	s,h,k,g,w,a
s,h,k,g,w,a,&,s,h,k,n,b,a,#,m,a,k,a,s,h,k,n,b,a,$,V,PL,2,PST	m,a,k,a,s,h,k,g,w,a
s,k,a,i,d,a,&,s,w,a,t,d,a,#,s,w,a,t,d,a,$,COPY	s,k,a,i,d,a
s,k,a,i,d,a,&,s,k,a,i,w,a,#,u,n,o,s,k,a,i,w,a,$,V,SG,2,PRS	u,n,o,s,k,a,i,d,a
s,h,k,n,i,a,&,s,h,o,n,b,a,#,s,h,o,n,b,a,$,COPY	s,h,k,n,i,a
s,h,k,n,i,a,&,s,h,k,s,i,a,#,a,n,o,s,h,k,s,i,a,$,V,SG,3,PRS	a,n,o,s,h,k,n,i,a
s,r,a,a,d,a,&,s,r,a,m,d,a,#,s,r,a,m,d,a,$,COPY	s,r,a,a,d,a
s,r,a,a,d,a,&,s,h,a,a,d,a,#,m,u,r,i,k,u,s,h,a,a,d,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,s,r,a,a,d,a
s,h,a,n,o,a,&,s,h,a,k,o,a,#,m,a,s,h,a,k,o,a,$,V,PL,2,HOD	m,a,s,h,a,n,o,a
s,h,b,v,d,a,&,s,h,b,v,p,a,#,s,h,b,v,p,a,$,COPY	s,h,b,v,d,a
s,h,b,v,d,a,&,s,h,b,s,d,a,#,t,i,c,h,a,s,h,b,s,d,a,$,V,PL,1,FUT	t,i,c,h,a,s,h,b,v,d,a
s,s,t,s,d,a,&,s,w,t,i,d,a,#,s,w,t,i,d,a,$,COPY	s,s,t,s,d,a
s,s,t,s,d,a,&,s,s,t,a,d,a,#,v,a,r,i,k,u,s,s,t,a,d,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,s,t,s,d,a
s,u,o,h,d,a,&,s,u,c,h,d,a,#,s,u,c,h,d,a,$,COPY	s,u,o,h,d,a
s,u,o,h,d,a,&,s,g,o,h,d,a,#,n,d,i,c,h,a,s,g,o,h,d,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,u,o,h,d,a
s,d,g,k,s,a,&,s,t,g,u,s,a,#,s,t,g,u,s,a,$,COPY	s,d,g,k,s,a
s,d,g,k,s,a,&,s,w,u,k,s,a,#,t,a,s,w,u,k,s,a,$,V,PL,1,HOD	t,a,s,d,g,k,s,a
s,d,a,n,d,a,&,s,d,g,n,d,a,#,s,d,g,n,d,a,$,COPY	s,d,a,n,d,a
s,d,a,n,d,a,&,s,v,a,v,d,a,#,n,d,a,k,a,s,v,a,v,d,a,$,V,SG,1,PST	n,d,a,k,a,s,d,a,n,d,a
s,b,a,n,r,a,&,s,b,n,n,d,a,#,s,b,n,n,d,a,$,COPY	s,b,a,n,r,a
s,b,a,n,r,a,&,s,b,c,i,r,a,#,w,a,k,a,s,b,c,i,r,a,$,V,SG,2,PST	w,a,k,a,s,b,a,n,r,a
s,h,g,w,u,a,&,s,h,g,w,v,a,#,s,h,g,w,v,a,$,COPY	s,h,g,w,u,a
s,h,g,w,u,a,&,s,h,o,m,u,a,#,u,c,h,a,s,h,o,m,u,a,$,V,SG,2,FUT	u,c,h,a,s,h,g,w,u,a
s,h,a,h,w,a,&,s,s,a,h,w,a,#,s,s,a,h,w,a,$,COPY	s,h,a,h,w,a
s,h,a,h,w,a,&,s,s,v,h,w,a,#,m,u,n,o,s,s,v,h,w,a,$,V,PL,2,PRS	m,u,n,o,s,h,a,h,w,a
s,o,y,k,d,a,&,s,o,y,k,i,a,#,s,o,y,k,i,a,$,COPY	s,o,y,k,d,a
s,o,y,k,d,a,&,s,v,y,k,d,a,#,t,a,k,a,s,v,y,k,d,a,$,V,PL,1,PST	t,a,k,a,s,o,y,k,d,a
s,h,a,n,d,a,&,s,h,a,b,d,a,#,u,r,i,k,u,s,h,a,b,d,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,h,a,n,d,a
s,p,v,i,d,a,&,s,p,z,i,d,a,#,s,p,z,i,d,a,$,COPY	s,p,v,i,d,a
s,p,v,i,d,a,&,s,f,v,i,d,a,#,w,a,s,f,v,i,d,a,$,V,SG,2,HOD	w,a,s,p,v,i,d,a
s,h,s,n,d,a,&,s,f,s,n,d,a,#,s,f,s,n,d,a,$,COPY	s,h,s,n,d,a
s,h,s,n,d,a,&,s,h,y,n,k,a,#,v,a,c,h,a,s,h,y,n,k,a,$,V,PL,3,FUT	v,a,c,h,a,s,h,s,n,d,a
s,h,b,o,h,a,&,s,m,b,s,s,a,#,s,m,b,s,s,a,$,COPY	s,h,b,o,h,a
s,h,b,o,h,a,&,s,h,f,o,m,a,#,v,a,n,o,s,h,f,o,m,a,$,V,PL,3,PRS	v,a,n,o,s,h,b,o,h,a
s,h,a,v,h,a,&,s,h,a,n,c,a,#,s,h,a,n,c,a,$,COPY	s,h,a,v,h,a
s,h,a,v,h,a,&,s,h,a,v,b,a,#,n,d,a,s,h,a,v,b,a,$,V,SG,1,HOD	n,d,a,s,h,a,v,h,a
s,k,t,n,y,a,&,s,z,i,n,y,a,#,s,z,i,n,y,a,$,COPY	s,k,t,n,y,a
s,k,t,n,y,a,&,s,h,t,n,v,a,#,v,a,s,h,t,n,v,a,$,V,PL,3,HOD	v,a,s,k,t,n,y,a
s,h,p,n,d,a,&,s,o,p,n,d,a,#,s,o,p,n,d,a,$,COPY	s,h,p,n,d,a
s,h,p,n,d,a,&,s,p,p,r,m,a,#,n,d,i,n,o,s,p,p,r,m,a,$,V,SG,1,PRS	n,d,i,n,o,s,h,p,n,d,a
s,h,s,y,s,a,&,s,h,s,m,f,a,#,s,h,s,m,f,a,$,COPY	s,h,s,y,s,a
s,h,s,y,s,a,&,s,i,s,y,s,a,#,v,a,k,a,s,i,s,y,s,a,$,V,PL,3,PST	v,a,k,a,s,h,s,y,s,a
s,u,w,m,a,a,&,s,u,w,v,g,a,#,s,u,w,v,g,a,$,COPY	s,u,w,m,a,a
s,u,w,m,a,a,&,s,e,z,w,a,a,#,a,r,i,k,u,s,e,z,w,a,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,u,w,m,a,a
n,i,t,n,s,i,s,a,&,n,i,o,y,s,i,s,a,#,n,i,o,y,s,i,s,a,$,COPY	n,i,t,n,s,i,s,a
n,i,t,n,s,i,s,a,&,n,i,t,n,s,i,n,a,#,t,i,r,i,k,u,n,i,t,n,s,i,n,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,n,i,t,n,s,i,s,a
n,z,e,w,z,z,t,a,&,n,z,e,w,s,z,h,a,#,n,z,e,w,s,z,h,a,$,COPY	n,z,e,w,z,z,t,a
n,z,e,w,z,z,t,a,&,n,z,o,w,z,t,t,a,#,t,i,c,h,a,n,z,o,w,z,t,t,a,$,V,PL,1,FUT	t,i,c,h,a,n,z,e,w,z,z,t,a
n,g,t,p,s,g,b,a,&,n,g,t,p,s,c,b,a,#,n,g,t,p,s,c,b,a,$,COPY	n,g,t,p,s,g,b,a
n,g,t,p,s,g,b,a,&,n,g,t,p,s,g,n,a,#,a,n,g,t,p,s,g,n,a,$,V,SG,3,HOD	a,n,g,t,p,s,g,b,a
n,z,w,m,s,y,s,a,&,n,z,t,m,a,y,s,a,#,n,z,t,m,a,y,s,a,$,COPY	n,z,w,m,s,y,s,a
n,z,w,m,s,y,s,a,&,n,z,z,c,s,y,s,a,#,n,d,i,n,o,n,z,z,c,s,y,s,a,$,V,SG,1,PRS	n,d,i,n,o,n,z,w,m,s,y,s,a
n,z,z,i,s,i,s,a,&,n,z,p,i,s,i,s,a,#,n,z,p,i,s,i,s,a,$,COPY	n,z,z,i,s,i,s,a
n,z,z,i,s,i,s,a,&,n,k,z,i,s,i,s,a,#,t,a,k,a,n,k,z,i,s,i,s,a,$,V,PL,1,PST	t,a,k,a,n,z,z,i,s,i,s,a
n,c,n,e,s,i,u,a,&,n,c,b,e,k,i,u,a,#,n,c,b,e,k,i,u,a,$,COPY	n,c,n,e,s,i,u,a
n,c,n,e,s,i,u,a,&,n,c,h,e,s,i,u,a,#,u,n,o,n,c,h,e,s,i,u,a,$,V,SG,2,PRS	u,n,o,n,c,n,e,s,i,u,a
n,z,w,i,y,o,s,a,&,n,z,w,i,m,o,s,a,#,n,z,w,i,m,o,s,a,$,COPY	n,z,w,i,y,o,s,a
n,z,w,i,y,o,s,a,&,n,z,w,i,r,m,s,a,#,a,n,o,n,z,w,i,r,m,s,a,$,V,SG,3,PRS	a,n,o,n,z,w,i,y,o,s,a
n,z,p,h,h,i,a,a,&,n,z,w,h,u,v,a,a,#,n,z,w,h,u,v,a,a,$,COPY	n,z,p,h,h,i,a,a
n,z,p,h,h,i,a,a,&,n,z,p,h,h,i,d,a,#,n,d,a,n,z,p,h,h,i,d,a,$,V,SG,1,HOD	n,d,a,n,z,p,h,h,i,a,a
n,z,w,i,d,i,p,a,&,n,k,w,t,d,g,p,a,#,n,k,w,t,d,g,p,a,$,COPY	n,z,w,i,d,i,p,a
n,z,w,i,d,i,p,a,&,n,m,w,i,d,i,p,a,#,v,a,r,i,k,u,n,m,w,i,d,i,p,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,n,z,w,i,d,i,p,a
n,k,w,c,v,i,h,a,&,n,k,h,b,t,i,h,a,#,n,k,h,b,t,i,h,a,$,COPY	n,k,w,c,v,i,h,a
n,k,w,c,v,i,h,a,&,n,z,b,c,v,i,h,a,#,v,a,n,z,b,c,v,i,h,a,$,V,PL,3,HOD	v,a,n,k,w,c,v,i,h,a
n,z,i,w,t,f,s,a,&,n,z,t,z,t,f,s,a,#,n,z,t,z,t,f,s,a,$,COPY	n,z,i,w,t,f,s,a
n,z,i,w,t,f,s,a,&,n,a,i,w,t,f,s,a,#,m,u,c,h,a,n,a,i,w,t,f,s,a,$,V,PL,2,FUT	m,u,c,h,a,n,z,i,w,t,f,s,a
n,z,g,t,s,b,m,a,&,n,z,g,t,s,a,f,a,#,n,z,g,t,s,a,f,a,$,COPY	n,z,g,t,s,b,m,a
n,z,g,t,s,b,m,a,&,n,z,g,t,f,b,m,a,#,a,r,i,k,u,n,z,g,t,f,b,m,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,n,z,g,t,s,b,m,a
n,z,w,i,s,u,g,a,&,n,z,y,i,s,u,g,a,#,n,z,y,i,s,u,g,a,$,COPY	n,z,w,i,s,u,g,a
n,z,w,i,s,u,g,a,&,n,z,b,i,t,u,g,a,#,v,a,n,o,n,z,b,i,t,u,g,a,$,V,PL,3,PRS	v,a,n,o,n,z,w,i,s,u,g,a
n,r,w,i,s,v,k,a,&,n,b,e,i,s,v,k,a,#,n,b,e,i,s,v,k,a,$,COPY	n,r,w,i,s,v,k,a
n,r,w,i,s,v,k,a,&,n,r,w,o,t,v,k,a,#,u,r,i,k,u,n,r,w,o,t,v,k,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,n,r,w,i,s,v,k,a
n,z,w,i,s,i,r,a,&,n,z,w,i,s,d,r,a,#,n,z,w,i,s,d,r,a,$,COPY	n,z,w,i,s,i,r,a
n,z,w,i,s,i,r,a,&,n,m,v,i,f,i,r,a,#,t,a,n,m,v,i,f,i,r,a,$,V,PL,1,HOD	t,a,n,z,w,i,s,i,r,a
n,y,b,i,i,i,f,a,&,n,y,b,k,i,i,p,a,#,n,y,b,k,i,i,p,a,$,COPY	n,y,b,i,i,i,f,a
n,y,b,i,i,i,f,a,&,n,a,b,i,z,i,f,a,#,m,a,k,a,n,a,b,i,z,i,f,a,$,V,PL,2,PST	m,a,k,a,n,y,b,i,i,i,f,a
n,f,w,t,s,i,s,a,&,n,y,w,t,b,h,s,a,#,n,y,w,t,b,h,s,a,$,COPY	n,f,w,t,s,i,s,a
n,f,w,t,s,i,s,a,&,n,h,w,t,s,i,s,a,#,n,d,i,r,i,k,u,n,h,w,t,s,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,n,f,w,t,s,i,s,a
n,z,w,y,k,i,s,a,&,n,z,w,y,k,i,f,a,#,n,z,w,y,k,i,f,a,$,COPY	n,z,w,y,k,i,s,a
n,z,w,y,k,i,s,a,&,n,c,w,y,k,i,s,a,#,w,a,k,a,n,c,w,y,k,i,s,a,$,V,SG,2,PST	w,a,k,a,n,z,w,y,k,i,s,a
n,z,w,i,s,i,s,a,&,n,z,h,i,s,i,s,a,#,v,a,c,h,a,n,z,h,i,s,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,n,z,w,i,s,i,s,a
n,z,w,g,s,i,s,a,&,n,z,w,p,s,i,s,a,#,n,z,w,p,s,i,s,a,$,COPY	n,z,w,g,s,i,s,a
n,z,w,g,s,i,s,a,&,n,s,w,y,o,i,s,a,#,n,d,i,c,h,a,n,s,w,y,o,i,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,n,z,w,g,s,i,s,a
n,w,w,i,y,i,b,a,&,n,s,w,i,y,z,b,a,#,n,s,w,i,y,z,b,a,$,COPY	n,w,w,i,y,i,b,a
n,w,w,i,y,i,b,a,&,n,a,w,i,o,i,b,a,#,u,c,h,a,n,a,w,i,o,i,b,a,$,V,SG,2,FUT	u,c,h,a,n,w,w,i,y,i,b,a
n,v,r,i,s,i,h,a,&,n,k,r,i,s,i,h,a,#,n,k,r,i,s,i,h,a,$,COPY	n,v,r,i,s,i,h,a
n,v,r,i,s,i,h,a,&,n,z,u,i,s,i,h,a,#,a,c,h,a,n,z,u,i,s,i,h,a,$,V,SG,3,FUT	a,c,h,a,n,v,r,i,s,i,h,a
n,t,w,i,v,i,b,a,&,n,t,b,k,v,i,b,a,#,n,t,b,k,v,i,b,a,$,COPY	n,t,w,i,v,i,b,a
n,t,w,i,v,i,b,a,&,n,t,p,i,v,i,i,a,#,n,d,a,k,a,n,t,p,i,v,i,i,a,$,V,SG,1,PST	n,d,a,k,a,n,t,w,i,v,i,b,a
n,c,c,i,t,w,s,a,&,n,i,c,i,t,w,s,a,#,n,i,c,i,t,w,s,a,$,COPY	n,c,c,i,t,w,s,a
n,c,c,i,t,w,s,a,&,n,i,c,i,t,o,t,a,#,w,a,n,i,c,i,t,o,t,a,$,V,SG,2,HOD	w,a,n,c,c,i,t,w,s,a
n,z,a,i,g,i,z,a,&,n,z,a,i,g,i,s,a,#,n,z,a,i,g,i,s,a,$,COPY	n,z,a,i,g,i,z,a
n,z,a,i,g,i,z,a,&,n,y,a,u,g,v,z,a,#,m,u,r,i,k,u,n,y,a,u,g,v,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,n,z,a,i,g,i,z,a
n,k,b,c,s,i,s,a,&,n,k,n,s,s,u,s,a,#,n,k,n,s,s,u,s,a,$,COPY	n,k,b,c,s,i,s,a
n,k,b,c,s,i,s,a,&,n,k,b,c,s,i,v,a,#,v,a,k,a,n,k,b,c,s,i,v,a,$,V,PL,3,PST	v,a,k,a,n,k,b,c,s,i,s,a
n,z,w,i,s,i,i,a,&,n,z,w,e,s,i,i,a,#,n,z,w,e,s,i,i,a,$,COPY	n,z,w,i,s,i,i,a
n,z,w,i,s,i,i,a,&,n,z,z,i,s,r,i,a,#,m,u,n,o,n,z,z,i,s,r,i,a,$,V,PL,2,PRS	m,u,n,o,n,z,w,i,s,i,i,a
n,d,w,s,d,u,m,a,&,n,d,k,s,i,u,m,a,#,n,d,k,s,i,u,m,a,$,COPY	n,d,w,s,d,u,m,a
n,d,w,s,d,u,m,a,&,n,d,w,s,m,u,m,a,#,a,k,a,n,d,w,s,m,u,m,a,$,V,SG,3,PST	a,k,a,n,d,w,s,d,u,m,a
n,z,w,c,s,y,s,a,&,n,z,f,c,s,y,s,a,#,n,z,f,c,s,y,s,a,$,COPY	n,z,w,c,s,y,s,a
n,z,w,c,s,y,s,a,&,n,z,b,c,s,y,v,a,#,m,a,n,z,b,c,s,y,v,a,$,V,PL,2,HOD	m,a,n,z,w,c,s,y,s,a
n,t,w,v,n,i,k,a,&,n,t,w,v,g,i,k,a,#,n,t,w,v,g,i,k,a,$,COPY	n,t,w,v,n,i,k,a
n,t,w,v,n,i,k,a,&,n,t,w,v,n,e,m,a,#,t,i,n,o,n,t,w,v,n,e,m,a,$,V,PL,1,PRS	t,i,n,o,n,t,w,v,n,i,k,a
p,a,r,s,r,a,&,p,a,r,h,r,a,#,p,a,r,h,r,a,$,COPY	p,a,r,s,r,a
p,a,r,s,r,a,&,p,p,r,s,a,a,#,m,a,p,p,r,s,a,a,$,V,PL,2,HOD	m,a,p,a,r,s,r,a
p,k,r,u,m,a,&,p,h,r,c,m,a,#,p,h,r,c,m,a,$,COPY	p,k,r,u,m,a
p,k,r,u,m,a,&,p,i,r,m,b,a,#,a,p,i,r,m,b,a,$,V,SG,3,HOD	a,p,k,r,u,m,a
p,a,r,u,r,a,&,p,a,r,s,k,a,#,t,i,c,h,a,p,a,r,s,k,a,$,V,PL,1,FUT	t,i,c,h,a,p,a,r,u,r,a
p,a,m,u,y,a,&,p,a,d,u,y,a,#,p,a,d,u,y,a,$,COPY	p,a,m,u,y,a
p,a,m,u,y,a,&,p,t,m,s,d,a,#,n,d,a,k,a,p,t,m,s,d,a,$,V,SG,1,PST	n,d,a,k,a,p,a,m,u,y,a
p,m,o,u,k,a,&,p,m,o,e,k,a,#,p,m,o,e,k,a,$,COPY	p,m,o,u,k,a
p,m,o,u,k,a,&,p,t,o,u,k,a,#,w,a,k,a,p,t,o,u,k,a,$,V,SG,2,PST	w,a,k,a,p,m,o,u,k,a
p,b,p,p,t,a,&,p,b,z,i,k,a,#,p,b,z,i,k,a,$,COPY	p,b,p,p,t,a
p,b,p,p,t,a,&,p,b,g,p,t,a,#,a,n,o,p,b,g,p,t,a,$,V,SG,3,PRS	a,n,o,p,b,p,p,t,a
p,a,r,u,o,a,&,p,a,s,z,o,a,#,p,a,s,z,o,a,$,COPY	p,a,r,u,o,a
p,a,r,u,o,a,&,p,a,u,a,o,a,#,v,a,r,i,k,u,p,a,u,a,o,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,p,a,r,u,o,a
p,y,r,c,r,a,&,p,y,r,c,n,a,#,p,y,r,c,n,a,$,COPY	p,y,r,c,r,a
p,y,r,c,r,a,&,p,y,u,c,e,a,#,n,d,i,c,h,a,p,y,u,c,e,a,$,V,SG,1,FUT	n,d,i,c,h,a,p,y,r,c,r,a
p,t,r,u,r,a,&,p,t,r,u,h,a,#,p,t,r,u,h,a,$,COPY	p,t,r,u,r,a
p,t,r,u,r,a,&,p,f,r,u,c,a,#,t,a,k,a,p,f,r,u,c,a,$,V,PL,1,PST	t,a,k,a,p,t,r,u,r,a
p,w,r,w,i,a,&,p,w,r,w,k,a,#,p,w,r,w,k,a,$,COPY	p,w,r,w,i,a
p,w,r,w,i,a,&,p,w,r,m,i,a,#,v,a,p,w,r,m,i,a,$,V,PL,3,HOD	v,a,p,w,r,w,i,a
p,a,w,a,n,a,&,p,a,w,a,s,a,#,p,a,w,a,s,a,$,COPY	p,a,w,a,n,a
p,a,w,a,n,a,&,p,a,m,a,n,a,#,u,n,o,p,a,m,a,n,a,$,V,SG,2,PRS	u,n,o,p,a,w,a,n,a
p,a,p,n,r,a,&,p,f,p,n,o,a,#,p,f,p,n,o,a,$,COPY	p,a,p,n,r,a
p,a,p,n,r,a,&,p,a,k,n,r,a,#,w,a,p,a,k,n,r,a,$,V,SG,2,HOD	w,a,p,a,p,n,r,a
p,h,i,b,y,a,&,p,h,i,t,y,a,#,p,h,i,t,y,a,$,COPY	p,h,i,b,y,a
p,h,i,b,y,a,&,p,m,z,g,n,a,#,m,u,n,o,p,m,z,g,n,a,$,V,PL,2,PRS	m,u,n,o,p,h,i,b,y,a
p,z,y,u,r,a,&,p,z,y,u,m,a,#,p,z,y,u,m,a,$,COPY	p,z,y,u,r,a
p,z,y,u,r,a,&,p,v,y,r,r,a,#,v,a,c,h,a,p,v,y,r,r,a,$,V,PL,3,FUT	v,a,c,h,a,p,z,y,u,r,a
p,u,e,u,z,a,&,p,w,e,u,z,a,#,p,w,e,u,z,a,$,COPY	p,u,e,u,z,a
p,u,e,u,z,a,&,p,t,e,u,z,a,#,n,d,a,p,t,e,u,z,a,$,V,SG,1,HOD	n,d,a,p,u,e,u,z,a
p,a,r,u,r,a,&,p,y,r,r,r,a,#,t,i,r,i,k,u,p,y,r,r,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,p,a,r,u,r,a
p,v,r,y,r,a,&,p,r,r,y,r,a,#,p,r,r,y,r,a,$,COPY	p,v,r,y,r,a
p,v,r,y,r,a,&,p,w,r,y,r,a,#,m,a,k,a,p,w,r,y,r,a,$,V,PL,2,PST	m,a,k,a,p,v,r,y,r,a
p,a,c,r,r,a,&,p,r,c,r,b,a,#,p,r,c,r,b,a,$,COPY	p,a,c,r,r,a
p,a,c,r,r,a,&,p,a,c,m,r,a,#,u,c,h,a,p,a,c,m,r,a,$,V,SG,2,FUT	u,c,h,a,p,a,c,r,r,a
p,t,r,t,r,a,&,p,t,z,t,r,a,#,p,t,z,t,r,a,$,COPY	p,t,r,t,r,a
p,t,r,t,r,a,&,p,t,n,t,r,a,#,u,r,i,k,u,p,t,n,t,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,t,r,t,r,a
p,y,r,u,n,a,&,p,y,f,u,n,a,#,p,y,f,u,n,a,$,COPY	p,y,r,u,n,a
p,y,r,u,n,a,&,p,g,r,u,n,a,#,v,a,n,o,p,g,r,u,n,a,$,V,PL,3,PRS	v,a,n,o,p,y,r,u,n,a
p,c,m,u,r,a,&,p,z,m,u,r,a,#,p,z,m,u,r,a,$,COPY	p,c,m,u,r,a
p,c,m,u,r,a,&,p,c,m,i,r,a,#,t,a,p,c,m,i,r,a,$,V,PL,1,HOD	t,a,p,c,m,u,r,a
p,a,f,b,r,a,&,p,a,f,b,t,a,#,p,a,f,b,t,a,$,COPY	p,a,f,b,r,a
