হ,ও,য,়,া,&,হ,ৃ,য,়,া,#,হ,ৃ,য,়,া,$,COPY	হ,ও,য,়,া
য,চ,ণ,য,া, ,হ,ও,য,়,া,&,য,ণ,ণ,য,া, ,হ,ও,য,়,া,#,য,ণ,ণ,য,া, ,হ,ও,য,়,া,$,COPY	য,চ,ণ,য,া, ,হ,ও,য,়,া
য,চ,ণ,য,া, ,হ,ও,য,়,া,&,য,চ,ণ,গ,া, ,হ,ও,য,়,া,#,য,চ,ণ,গ,া, ,হ,চ,্,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	য,চ,ণ,য,া, ,হ,চ,্,ছ,ি,স
ই,চ,ষ,ষ,ন, ,হ,ও,য,়,া,&,ই,চ,ও,ষ,ঁ, ,হ,ও,য,়,া,#,ই,চ,ও,ষ,ঁ, ,হ,ও,য,়,া,$,COPY	ই,চ,ষ,ষ,ন, ,হ,ও,য,়,া
ই,চ,ষ,ষ,ন, ,হ,ও,য,়,া,&,ই,ম,ষ,ষ,ন, ,হ,ও,য,়,া,#,ই,ম,ষ,ষ,ন, ,হ,ব,ি,$,V,2,FUT,LGSPEC1	ই,চ,ষ,ষ,ন, ,হ,ব,ি
ভ,চ,ন,খ,া, ,হ,ও,য,়,া,&,ভ,চ,ন,খ,ছ, ,হ,ও,য,়,া,#,ভ,চ,ন,খ,ছ, ,হ,ও,য,়,া,$,COPY	ভ,চ,ন,খ,া, ,হ,ও,য,়,া
ভ,চ,ন,খ,া, ,হ,ও,য,়,া,&,ঝ,শ,ন,খ,া, ,হ,ও,য,়,া,#,ঝ,শ,ন,খ,া, ,হ,য,়,ে,ছ,ি,ল,ো,$,V,PRF,2,POL,PST	ভ,চ,ন,খ,া, ,হ,য,়,ে,ছ,ি,ল,ো
উ,চ,়,ল,া, ,হ,ও,য,়,া,&,উ,চ,়,শ,ঘ, ,হ,ও,য,়,া,#,উ,চ,়,শ,ঘ, ,হ,ও,য,়,া,$,COPY	উ,চ,়,ল,া, ,হ,ও,য,়,া
উ,চ,়,ল,া, ,হ,ও,য,়,া,&,এ,ন,়,ল,া, ,হ,ও,য,়,া,#,এ,ন,়,ল,া, ,হ,চ,্,ছ,ি,$,V,PROG,1,PRS	উ,চ,়,ল,া, ,হ,চ,্,ছ,ি
ি,চ,্,প,ঠ, ,হ,ও,য,়,া,&,ি,আ,্,প,ণ, ,হ,ও,য,়,া,#,ি,আ,্,প,ণ, ,হ,ও,য,়,া,$,COPY	ি,চ,্,প,ঠ, ,হ,ও,য,়,া
ি,চ,্,প,ঠ, ,হ,ও,য,়,া,&,স,চ,্,ভ,ঠ, ,হ,ও,য,়,া,#,স,চ,্,ভ,ঠ, ,হ,ব,ো,$,V,1,FUT	ি,চ,্,প,ঠ, ,হ,ব,ো
া,ধ,ট,া,&,ৃ,ধ,স,ি,#,ৃ,ধ,স,ি,$,COPY	া,ধ,ট,া
া,ধ,ট,া,&,া,ব,ট,া,#,া,ব,ট,ি,স,$,V,2,PRS,LGSPEC1	া,ধ,ট,ি,স
ে,া,ি,া,&,ে,া,অ,া,#,ে,া,অ,া,$,COPY	ে,া,ি,া
ে,া,ি,া,&,স,ী,ি,া,#,স,ী,ি,ত,ো,$,V,HAB,2,POL,PST	ে,া,ি,ত,ো
র,য,ম,া,&,র,য,়,া,#,র,য,়,া,$,COPY	র,য,ম,া
র,য,ম,া,&,র,য,্,া,#,র,য,্,ছ,ি,ল,া,ম,$,V,PROG,1,PST	র,য,ম,ছ,ি,ল,া,ম
হ,ঁ,ট,া,&,ভ,ঁ,ট,া,#,ভ,ঁ,ট,া,$,COPY	হ,ঁ,ট,া
হ,ঁ,ট,া,&,র,ঁ,ট,া,#,র,ঁ,ট,ত,ে,$,V,HAB,3,INFM,PST	হ,ঁ,ট,ত,ে
ব,্,ৃ,া,&,ব,্,ৃ,জ,#,ব,্,ৃ,জ,$,COPY	ব,্,ৃ,া
ব,্,ৃ,া,&,ব,এ,ৃ,া,#,ব,এ,ৃ,ত,ে,$,V,NFIN	ব,্,ৃ,ত,ে
ক,শ,ট,া,&,ক,প,ট,া,#,ক,প,ট,া,$,COPY	ক,শ,ট,া
ক,শ,ট,া,&,ক,ঠ,ট,া,#,ক,ঠ,ট,ল,ো,$,V,2,POL,PST	ক,শ,ট,ল,ো
ক,া,খ,া,&,আ,া,ট,ো,#,আ,া,ট,ো,$,COPY	ক,া,খ,া
ক,া,খ,া,&,ক,া,ব,া,#,ক,া,ব,ছ,ি,$,V,PROG,1,PRS	ক,া,খ,ছ,ি
ৃ,জ,ট,া,&,উ,জ,ট,ৃ,#,উ,জ,ট,ৃ,$,COPY	ৃ,জ,ট,া
ৃ,জ,ট,া,&,ৃ,জ,ী,া,#,ৃ,জ,ী,ছ,ে,$,V,PROG,2,POL,PRS	ৃ,জ,ট,ছ,ে
ন,ু,ম,া,&,ন,ছ,ম,ৃ,#,ন,ছ,ম,ৃ,$,COPY	ন,ু,ম,া
ন,ু,ম,া,&,ন,ু,ঁ,া,#,ন,ু,ঁ,ল,ি,$,V,2,PST,LGSPEC1	ন,ু,ম,ল,ি
ঠ,ু,দ,া,&,ক,ু,দ,া,#,ক,ু,দ,া,$,COPY	ঠ,ু,দ,া
ঠ,ু,দ,া,&,ফ,ু,দ,া,#,ফ,ু,দ,ছ,ি,ল,ি,$,V,PROG,2,PST,LGSPEC1	ঠ,ু,দ,ছ,ি,ল,ি
ক,া,ৃ,া,&,ন,া,ৃ,া,#,ন,া,ৃ,া,$,COPY	ক,া,ৃ,া
ক,া,ৃ,া,&,ঝ,া,চ,া,#,ঝ,া,চ,ত,ে,ন,$,V,HAB,3,POL,PST	ক,া,ৃ,ত,ে,ন
ঝ,া,ট,া,&,ঝ,া,ত,া,#,ঝ,া,ত,ে,ন,$,V,3,POL,PRS	ঝ,া,ট,ে,ন
ক,ে,ট,া,&,ক,ে,ট,র,#,ক,ে,ট,র,$,COPY	ক,ে,ট,া
ক,ে,ট,া,&,ক,আ,ট,া,#,ক,আ,ট,ব,ে,$,V,2,POL,FUT	ক,ে,ট,ব,ে
ক,ী,আ,া,&,ক,ী,আ,ফ,#,ক,ী,আ,ফ,$,COPY	ক,ী,আ,া
ক,ী,আ,া,&,ঠ,ী,আ,া,#,ঠ,ী,আ,ছ,ে,ন,$,V,PROG,3,POL,PRS	ক,ী,আ,ছ,ে,ন
ক,ি,উ,া,&,ক,ি,অ,া,#,ক,ি,অ,া,$,COPY	ক,ি,উ,া
ক,ি,উ,া,&,ক,ি,য,া,#,ক,ি,য,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	ক,ি,উ,ছ,ি,স
্,া,ল,া,&,্,ৃ,ল,া,#,্,ৃ,ল,া,$,COPY	্,া,ল,া
্,া,ল,া,&,র,া,খ,া,#,র,া,খ,ল,ে,ন,$,V,3,POL,PST	্,া,ল,ল,ে,ন
ু,ছ,ট,া,&,ঠ,ছ,ট,া,#,ঠ,ছ,ট,া,$,COPY	ু,ছ,ট,া
ু,ছ,ট,া,&,ু,ছ,ও,া,#,ু,ছ,ও,ে,$,V,2,POL,PRS	ু,ছ,ট,ে
ক,া,ি,া,&,ক,উ,ি,ও,#,ক,উ,ি,ও,$,COPY	ক,া,ি,া
ক,া,ি,া,&,ক,খ,উ,া,#,ক,খ,উ,ি,$,V,1,PRS	ক,া,ি,ি
অ,ঘ,ট,া,&,অ,ঘ,ন,া,#,অ,ঘ,ন,া,$,COPY	অ,ঘ,ট,া
অ,ঘ,ট,া,&,গ,ড,ট,া,#,গ,ড,ট,ল,া,ম,$,V,1,PST	অ,ঘ,ট,ল,া,ম
দ,া,ট,া,&,ক,া,গ,া,#,ক,া,গ,ব,ে,ন,$,V,3,POL,FUT	দ,া,ট,ব,ে,ন
ক,া,ট,া,&,ক,ে,ট,া,#,ক,ে,ট,ত,ি,স,$,V,HAB,2,PST,LGSPEC1	ক,া,ট,ত,ি,স
ি,এ,ট,া,&,ি,অ,ফ,ী,#,ি,অ,ফ,ী,$,COPY	ি,এ,ট,া
ি,এ,ট,া,&,ি,ব,ট,া,#,ি,ব,ট,ল,ে,$,V,3,INFM,PST	ি,এ,ট,ল,ে
ক,া,উ,া,&,র,ই,উ,গ,#,র,ই,উ,গ,$,COPY	ক,া,উ,া
ক,া,উ,া,&,র,া,উ,া,#,র,া,উ,ত,া,ম,$,V,HAB,1,PST	ক,া,উ,ত,া,ম
ঘ,া,ট,া,&,ব,ই,ট,া,#,ব,ই,ট,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	ঘ,া,ট,ছ,ি,ল,ে,ন
ক,া,ট,া,&,ক,া,ঝ,া,#,ক,া,ঝ,ছ,ি,ল,ো,$,V,PROG,2,POL,PST	ক,া,ট,ছ,ি,ল,ো
ক,ো,ট,া,&,ক,ো,ট,আ,#,ক,ো,ট,আ,$,COPY	ক,ো,ট,া
ক,ো,ট,া,&,ক,ো,া,া,#,ক,ো,া,ব,ি,$,V,2,FUT,LGSPEC1	ক,ো,ট,ব,ি
স,ঠ,গ,া,&,স,ক,গ,া,#,স,ক,গ,া,$,COPY	স,ঠ,গ,া
স,ঠ,গ,া,&,ম,ভ,গ,া,#,ম,ভ,গ,ছ,ো,$,V,PROG,3,INFM,PRS	স,ঠ,গ,ছ,ো
আ,া,ট,া,&,স,া,ট,া,#,স,া,ট,া,$,COPY	আ,া,ট,া
আ,া,ট,া,&,আ,া,ম,া,#,আ,া,ম,ব,ে,$,V,3,INFM,FUT	আ,া,ট,ব,ে
ড,ছ,ট,া,&,ড,ছ,ধ,ঘ,#,ড,ছ,ধ,ঘ,$,COPY	ড,ছ,ট,া
ড,ছ,ট,া,&,গ,ছ,ট,া,#,গ,ছ,ট,ো,$,V,3,INFM,PRS	ড,ছ,ট,ো
ঠ,়,ত,া,&,ঠ,়,ত,ড,#,ঠ,়,ত,ড,$,COPY	ঠ,়,ত,া
ঠ,়,ত,া,&,ঠ,জ,ী,া,#,ঠ,জ,ী,ছ,ি,ল,ে,$,V,PROG,3,INFM,PST	ঠ,়,ত,ছ,ি,ল,ে
ন,া,ট,া,&,ৃ,া,ষ,া,#,ৃ,া,ষ,ব,ো,$,V,1,FUT	ন,া,ট,ব,ো
ক,ে,গ,া,&,ক,ব,গ,া,#,ক,ব,গ,া,$,COPY	ক,ে,গ,া
ক,ে,গ,া,&,ক,ে,জ,া,#,ক,ে,জ,ে,ন,$,V,3,POL,PRS	ক,ে,গ,ে,ন
ধ,ে,ন,া,&,ি,ে,ন,া,#,ি,ে,ন,া,$,COPY	ধ,ে,ন,া
ধ,ে,ন,া,&,প,ে,উ,া,#,প,ে,উ,ো,$,V,3,INFM,PRS	ধ,ে,ন,ো
এ,ে,ন,া,&,এ,ে,া,া,#,এ,ে,া,া,$,COPY	এ,ে,ন,া
এ,ে,ন,া,&,এ,ে,ড,া,#,এ,ে,ড,ে,$,V,2,POL,PRS	এ,ে,ন,ে
শ,ঁ,খ,া,&,শ,ঁ,ছ,া,#,শ,ঁ,ছ,া,$,COPY	শ,ঁ,খ,া
শ,ঁ,খ,া,&,শ,ক,খ,া,#,শ,ক,খ,ো,$,V,3,INFM,PRS	শ,ঁ,খ,ো
শ,আ,খ,া,&,শ,আ,দ,া,#,শ,আ,দ,া,$,COPY	শ,আ,খ,া
শ,আ,খ,া,&,শ,খ,খ,া,#,শ,খ,খ,ে,$,V,2,POL,PRS	শ,আ,খ,ে
ঝ,ে,খ,া,&,ী,ে,খ,া,#,ী,ে,খ,ে,ন,$,V,3,POL,PRS	ঝ,ে,খ,ে,ন
ন,য,ণ,া,&,ন,য,ফ,া,#,ন,য,ফ,া,$,COPY	ন,য,ণ,া
ন,য,ণ,া,&,ড,য,্,া,#,ড,য,্,ত,ি,স,$,V,HAB,2,PST,LGSPEC1	ন,য,ণ,ত,ি,স
ন,উ,চ,া,&,ন,ফ,ষ,া,#,ন,ফ,ষ,া,$,COPY	ন,উ,চ,া
ন,উ,চ,া,&,ন,উ,ত,া,#,ন,উ,ত,ব,ো,$,V,1,FUT	ন,উ,চ,ব,ো
ন,গ,চ,া,&,ে,গ,ব,া,#,ে,গ,ব,া,$,COPY	ন,গ,চ,া
ন,গ,চ,া,&,ৃ,গ,চ,া,#,ৃ,গ,চ,ল,া,ম,$,V,1,PST	ন,গ,চ,ল,া,ম
ন,ঘ,ঁ,া,&,ন,ঘ,জ,া,#,ন,ঘ,জ,া,$,COPY	ন,ঘ,ঁ,া
ন,ঘ,ঁ,া,&,ভ,ঘ,ঁ,া,#,ভ,ঘ,ঁ,ল,ে,ন,$,V,3,POL,PST	ন,ঘ,ঁ,ল,ে,ন
য,া,ক,া,&,য,ও,ঢ,া,#,য,ও,ঢ,া,$,COPY	য,া,ক,া
য,া,ক,া,&,ত,া,ক,া,#,ত,া,ক,ছ,ি,ল,ি,$,V,PROG,2,PST,LGSPEC1	য,া,ক,ছ,ি,ল,ি
ন,ো,ু,া,&,ু,ো,ু,া,#,ু,ো,ু,া,$,COPY	ন,ো,ু,া
ন,ো,ু,া,&,অ,ো,ু,া,#,অ,ো,ু,ব,ে,ন,$,V,3,POL,FUT	ন,ো,ু,ব,ে,ন
ন,া,উ,া,&,ন,আ,উ,ষ,#,ন,আ,উ,ষ,$,COPY	ন,া,উ,া
ন,া,উ,া,&,্,া,ী,া,#,্,া,ী,ল,ি,$,V,2,PST,LGSPEC1	ন,া,উ,ল,ি
ন,ম,চ,া,&,ফ,ম,চ,া,#,ফ,ম,চ,া,$,COPY	ন,ম,চ,া
ন,ম,চ,া,&,ন,ঝ,ত,া,#,ন,ঝ,ত,ছ,ি,ল,ে,$,V,PROG,3,INFM,PST	ন,ম,চ,ছ,ি,ল,ে
ি,ক,চ,া,&,ি,ছ,ব,া,#,ি,ছ,ব,া,$,COPY	ি,ক,চ,া
ি,ক,চ,া,&,ি,ে,চ,া,#,ি,ে,চ,ব,ে,$,V,3,INFM,FUT	ি,ক,চ,ব,ে
ন,ধ,চ,া,&,ঙ,ধ,চ,া,#,ঙ,ধ,চ,া,$,COPY	ন,ধ,চ,া
ন,ধ,চ,া,&,ন,ধ,ণ,া,#,ন,ধ,ণ,ছ,ি,ল,ো,$,V,PROG,2,POL,PST	ন,ধ,চ,ছ,ি,ল,ো
ন,া,চ,া,&,ন,্,উ,া,#,ন,্,উ,ে,$,V,2,POL,PRS	ন,া,চ,ে
ন,া,চ,া,&,ও,উ,অ,া,#,ও,উ,অ,ে,ন,$,V,3,POL,PRS	ন,া,চ,ে,ন
ন,ু,চ,া,&,ভ,ড,ড,া,#,ভ,ড,ড,া,$,COPY	ন,ু,চ,া
ন,ু,চ,া,&,ন,ু,গ,া,#,ন,ু,গ,ি,$,V,1,PRS	ন,ু,চ,ি
্,র,চ,া,&,ো,ই,ভ,উ,#,ো,ই,ভ,উ,$,COPY	্,র,চ,া
্,র,চ,া,&,ো,র,গ,া,#,ো,র,গ,ছ,ে,$,V,PROG,2,POL,PRS	্,র,চ,ছ,ে
়,ই,ষ,া,&,়,ল,ষ,া,#,়,ল,ষ,া,$,COPY	়,ই,ষ,া
়,ই,ষ,া,&,ভ,ভ,ষ,া,#,ভ,ভ,ষ,ল,ো,$,V,2,POL,PST	়,ই,ষ,ল,ো
ন,া,চ,া,&,গ,া,ি,া,#,গ,া,ি,ো,$,V,3,INFM,PRS	ন,া,চ,ো
ন,া,চ,া,&,়,া,ৃ,া,#,়,া,ৃ,ল,ে,$,V,3,INFM,PST	ন,া,চ,ল,ে
ন,শ,চ,া,&,ন,ন,ক,া,#,ন,ন,ক,া,$,COPY	ন,শ,চ,া
ন,শ,চ,া,&,ন,অ,চ,া,#,ন,অ,চ,ত,ে,ন,$,V,HAB,3,POL,PST	ন,শ,চ,ত,ে,ন
ন,া,চ,া,&,ন,ু,ক,া,#,ন,ু,ক,ছ,ে,ন,$,V,PROG,3,POL,PRS	ন,া,চ,ছ,ে,ন
ক,া,চ,া,&,ক,ি,চ,া,#,ক,ি,চ,ছ,ি,$,V,PROG,1,PRS	ক,া,চ,ছ,ি
ন,ৃ,ত,া,&,ন,স,ছ,া,#,ন,স,ছ,া,$,COPY	ন,ৃ,ত,া
ন,ৃ,ত,া,&,ন,র,ত,া,#,ন,র,ত,ত,ে,$,V,HAB,3,INFM,PST	ন,ৃ,ত,ত,ে
়,ঘ,চ,া,&,়,ঘ,ণ,া,#,়,ঘ,ণ,া,$,COPY	়,ঘ,চ,া
়,ঘ,চ,া,&,়,়,চ,া,#,়,়,চ,ত,ো,$,V,HAB,2,POL,PST	়,ঘ,চ,ত,ো
ন,া,জ,া,&,ন,়,জ,ে,#,ন,়,জ,ে,$,COPY	ন,া,জ,া
ন,া,জ,া,&,খ,া,ে,া,#,খ,া,ে,ত,ে,$,V,NFIN	ন,া,জ,ত,ে
া,়,চ,া,&,া,়,এ,া,#,া,়,এ,া,$,COPY	া,়,চ,া
া,়,চ,া,&,া,ী,চ,া,#,া,ী,চ,ছ,ি,ল,ে,ন,$,V,PROG,3,POL,PST	া,়,চ,ছ,ি,ল,ে,ন
ণ,ধ,চ,া,&,ণ,়,চ,া,#,ণ,়,চ,া,$,COPY	ণ,ধ,চ,া
ণ,ধ,চ,া,&,ণ,ধ,ট,া,#,ণ,ধ,ট,ছ,ো,$,V,PROG,3,INFM,PRS	ণ,ধ,চ,ছ,ো
ন,ছ,চ,া,&,ন,ছ,া,া,#,ন,ছ,া,া,$,COPY	ন,ছ,চ,া
ন,ছ,চ,া,&,ন,ঘ,র,া,#,ন,ঘ,র,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	ন,ছ,চ,ছ,ি,স
ৃ,া,ী,া,&,ৃ,া,ী,ে,#,ৃ,া,ী,ে,$,COPY	ৃ,া,ী,া
ৃ,া,ী,া,&,ন,ো,ঠ,া,#,ন,ো,ঠ,ব,ি,$,V,2,FUT,LGSPEC1	ৃ,া,ী,ব,ি
া,ধ,চ,া,&,া,ই,চ,া,#,া,ই,চ,া,$,COPY	া,ধ,চ,া
া,ধ,চ,া,&,শ,ু,চ,া,#,শ,ু,চ,ছ,ি,ল,া,ম,$,V,PROG,1,PST	া,ধ,চ,ছ,ি,ল,া,ম
ধ,ি,চ,া,&,ধ,ভ,চ,া,#,ধ,ভ,চ,া,$,COPY	ধ,ি,চ,া
ধ,ি,চ,া,&,ধ,ি,া,া,#,ধ,ি,া,ব,ে,$,V,2,POL,FUT	ধ,ি,চ,ব,ে
ন,া,চ,া,&,ন,ত,চ,া,#,ন,ত,চ,ি,স,$,V,2,PRS,LGSPEC1	ন,া,চ,ি,স
ন,া,ধ,া,&,ম,ঁ,ত,া,#,ম,ঁ,ত,া,$,COPY	ন,া,ধ,া
ন,া,ধ,া,&,ঙ,া,ধ,া,#,ঙ,া,ধ,ত,া,ম,$,V,HAB,1,PST	ন,া,ধ,ত,া,ম
জ,্,ব,আ,ল,া,ত,ন, ,ক,র,া,&,জ,ট,ব,আ,ল,ট,ত,ন, ,ক,র,া,#,জ,ট,ব,আ,ল,ট,ত,ন, ,ক,র,া,$,COPY	জ,্,ব,আ,ল,া,ত,ন, ,ক,র,া
জ,্,ব,আ,ল,া,ত,ন, ,ক,র,া,&,জ,্,ব,আ,ল,া,স,ন, ,ক,র,া,#,জ,্,ব,আ,ল,া,স,ন, ,ক,র,ব,ে,$,V,3,INFM,FUT	জ,্,ব,আ,ল,া,ত,ন, ,ক,র,ব,ে
জ,ণ,ফ,া,ে,ঘ,ঘ,ন, ,ক,র,া,&,জ,ণ,ফ,া,খ,ো,ঘ,ন, ,ক,র,া,#,জ,ণ,ফ,া,খ,ো,ঘ,ন, ,ক,র,া,$,COPY	জ,ণ,ফ,া,ে,ঘ,ঘ,ন, ,ক,র,া
জ,ণ,ফ,া,ে,ঘ,ঘ,ন, ,ক,র,া,&,জ,ণ,ফ,া,ে,ঘ,ী,ন, ,ক,র,া,#,জ,ণ,ফ,া,ে,ঘ,ী,ন, ,ক,র,ল,ে,ন,$,V,3,POL,PST	জ,ণ,ফ,া,ে,ঘ,ঘ,ন, ,ক,র,ল,ে,ন
জ,্,ব,ে,ঘ,ু,হ,ন, ,ক,র,া,&,জ,্,ব,ে,়,ু,হ,ন, ,ক,র,া,#,জ,্,ব,ে,়,ু,হ,ন, ,ক,র,া,$,COPY	জ,্,ব,ে,ঘ,ু,হ,ন, ,ক,র,া
জ,্,ব,ে,ঘ,ু,হ,ন, ,ক,র,া,&,জ,্,া,ে,ঘ,ু,হ,ন, ,ক,র,া,#,জ,্,া,ে,ঘ,ু,হ,ন, ,ক,র,ব,ে,$,V,2,POL,FUT	জ,্,ব,ে,ঘ,ু,হ,ন, ,ক,র,ব,ে
জ,ই,ব,া,ল,া,ত,ন, ,ক,র,া,&,জ,ই,ব,া,ল,া,ন,ন, ,ক,র,া,#,জ,ই,ব,া,ল,া,ন,ন, ,ক,র,ছ,ি,স,$,V,PROG,2,PRS,LGSPEC1	জ,ই,ব,া,ল,া,ত,ন, ,ক,র,ছ,ি,স
জ,ঁ,ব,া,ত,দ,ত,ন, ,ক,র,া,&,জ,্,ব,া,ত,দ,ত,ন, ,ক,র,া,#,জ,্,ব,া,ত,দ,ত,ন, ,ক,র,া,$,COPY	জ,ঁ,ব,া,ত,দ,ত,ন, ,ক,র,া
জ,ঁ,ব,া,ত,দ,ত,ন, ,ক,র,া,&,জ,ঁ,ব,া,ত,চ,ট,ন, ,ক,র,া,#,জ,ঁ,ব,া,ত,চ,ট,ন, ,ক,র,ছ,ি,ল,া,ম,$,V,PROG,1,PST	জ,ঁ,ব,া,ত,দ,ত,ন, ,ক,র,ছ,ি,ল,া,ম
জ,ন,ব,া,ল,ো,ঘ,ন, ,ক,র,া,&,জ,ন,ম,া,ল,ো,ো,ন, ,ক,র,া,#,জ,ন,ম,া,ল,ো,ো,ন, ,ক,র,া,$,COPY	জ,ন,ব,া,ল,ো,ঘ,ন, ,ক,র,া
জ,ন,ব,া,ল,ো,ঘ,ন, ,ক,র,া,&,জ,ন,ব,ষ,ল,ো,ঘ,ন, ,ক,র,া,#,জ,ন,ব,ষ,ল,ো,ঘ,ন, ,ক,র,ছ,ো,$,V,PROG,3,INFM,PRS	জ,ন,ব,া,ল,ো,ঘ,ন, ,ক,র,ছ,ো
জ,্,স,ধ,ল,গ,ু,ন, ,ক,র,া,&,জ,্,ষ,ঠ,ল,অ,ু,ন, ,ক,র,া,#,জ,্,ষ,ঠ,ল,অ,ু,ন, ,ক,র,া,$,COPY	জ,্,স,ধ,ল,গ,ু,ন, ,ক,র,া
জ,্,স,ধ,ল,গ,ু,ন, ,ক,র,া,&,জ,ঁ,স,ধ,ল,ই,ু,ন, ,ক,র,া,#,জ,ঁ,স,ধ,ল,ই,ু,ন, ,ক,র,ল,ি,$,V,2,PST,LGSPEC1	জ,্,স,ধ,ল,গ,ু,ন, ,ক,র,ল,ি
জ,ফ,া,া,ষ,ধ,ঢ,ন, ,ক,র,া,&,জ,ফ,া,া,ষ,ধ,ে,ন, ,ক,র,া,#,জ,ফ,া,া,ষ,ধ,ে,ন, ,ক,র,া,$,COPY	জ,ফ,া,া,ষ,ধ,ঢ,ন, ,ক,র,া
জ,ফ,া,া,ষ,ধ,ঢ,ন, ,ক,র,া,&,জ,ক,া,া,ষ,ধ,ঢ,ন, ,ক,র,া,#,জ,ক,া,া,ষ,ধ,ঢ,ন, ,ক,র,ি,$,V,1,PRS	জ,ফ,া,া,ষ,ধ,ঢ,ন, ,ক,র,ি
জ,্,স,া,ু,া,ঠ,ন, ,ক,র,া,&,জ,্,স,া,ি,া,ঠ,ন, ,ক,র,া,#,জ,্,স,া,ি,া,ঠ,ন, ,ক,র,া,$,COPY	জ,্,স,া,ু,া,ঠ,ন, ,ক,র,া
জ,্,স,া,ু,া,ঠ,ন, ,ক,র,া,&,জ,ড,স,া,প,া,ঠ,ন, ,ক,র,া,#,জ,ড,স,া,প,া,ঠ,ন, ,ক,র,ল,ো,$,V,2,POL,PST	জ,্,স,া,ু,া,ঠ,ন, ,ক,র,ল,ো
জ,্,ব,া,ল,ট,ণ,ন, ,ক,র,া,&,জ,্,ষ,া,ন,ট,স,ন, ,ক,র,া,#,জ,্,ষ,া,ন,ট,স,ন, ,ক,র,া,$,COPY	জ,্,ব,া,ল,ট,ণ,ন, ,ক,র,া
জ,্,ব,া,ল,ট,ণ,ন, ,ক,র,া,&,জ,্,ব,য,ল,ট,ণ,ন, ,ক,র,া,#,জ,্,ব,য,ল,ট,ণ,ন, ,ক,র,ে,$,V,2,POL,PRS	জ,্,ব,া,ল,ট,ণ,ন, ,ক,র,ে
জ,্,ব,এ,ল,া,ত,ন, ,ক,র,া,&,জ,্,ধ,এ,ল,ই,ত,ন, ,ক,র,া,#,জ,্,ধ,এ,ল,ই,ত,ন, ,ক,র,া,$,COPY	জ,্,ব,এ,ল,া,ত,ন, ,ক,র,া
জ,্,ব,এ,ল,া,ত,ন, ,ক,র,া,&,জ,্,ব,এ,ল,ু,ত,ন, ,ক,র,া,#,জ,্,ব,এ,ল,ু,ত,ন, ,ক,র,ল,া,ম,$,V,1,PST	জ,্,ব,এ,ল,া,ত,ন, ,ক,র,ল,া,ম
জ,ন,ী,া,ল,ফ,ত,ন, ,ক,র,া,&,জ,ভ,ী,া,ল,ফ,অ,ন, ,ক,র,া,#,জ,ভ,ী,া,ল,ফ,অ,ন, ,ক,র,া,$,COPY	জ,ন,ী,া,ল,ফ,ত,ন, ,ক,র,া
জ,ন,ী,া,ল,ফ,ত,ন, ,ক,র,া,&,জ,ন,ী,া,ল,়,়,ন, ,ক,র,া,#,জ,ন,ী,া,ল,়,়,ন, ,ক,র,ে,ছ,ি,ল,ি,$,V,PRF,2,PST,LGSPEC1	জ,ন,ী,া,ল,ফ,ত,ন, ,ক,র,ে,ছ,ি,ল,ি
জ,ড,ব,া,ৃ,ো,ত,ন, ,ক,র,া,&,জ,ড,ব,া,ধ,ো,ত,ন, ,ক,র,া,#,জ,ড,ব,া,ধ,ো,ত,ন, ,ক,র,া,$,COPY	জ,ড,ব,া,ৃ,ো,ত,ন, ,ক,র,া
জ,ড,ব,া,ৃ,ো,ত,ন, ,ক,র,া,&,জ,ড,ব,ব,ৃ,ো,ত,ন, ,ক,র,া,#,জ,ড,ব,ব,ৃ,ো,ত,ন, ,ক,র,ে,ছ,ে,$,V,PRF,2,POL,PRS	জ,ড,ব,া,ৃ,ো,ত,ন, ,ক,র,ে,ছ,ে
জ,্,ব,া,য,া,র,ন, ,ক,র,া,&,জ,ো,ব,া,য,গ,র,ন, ,ক,র,া,#,জ,ো,ব,া,য,গ,র,ন, ,ক,র,া,$,COPY	জ,্,ব,া,য,া,র,ন, ,ক,র,া
জ,্,ব,া,য,া,র,ন, ,ক,র,া,&,জ,্,ব,ঘ,য,া,র,ন, ,ক,র,া,#,জ,্,ব,ঘ,য,া,র,ন, ,ক,র,ত,া,ম,$,V,HAB,1,PST	জ,্,ব,া,য,া,র,ন, ,ক,র,ত,া,ম
জ,্,ক,া,ল,ষ,ট,ন, ,ক,র,া,&,জ,্,ক,ঢ,ল,ষ,স,ন, ,ক,র,া,#,জ,্,ক,ঢ,ল,ষ,স,ন, ,ক,র,া,$,COPY	জ,্,ক,া,ল,ষ,ট,ন, ,ক,র,া
জ,্,ক,া,ল,ষ,ট,ন, ,ক,র,া,&,জ,্,ক,ম,ল,ষ,ট,ন, ,ক,র,া,#,জ,্,ক,ম,ল,ষ,ট,ন, ,ক,র,ে,ন,$,V,3,POL,PRS	জ,্,ক,া,ল,ষ,ট,ন, ,ক,র,ে,ন
