к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
ж,a,у,a,ұ, ,б,x,p,у,&,ж,a,у,a,o, ,б,x,p,у,#,ж,a,у,a,o, ,б,x,p,г,e,н,с,i,ң,$,V,PRF,SG,2,INFM,PST	ж,a,у,a,ұ, ,б,x,p,г,e,н,с,i,ң
ю,i,у,п,н, ,л,ш,e,у,&,н,i,и,п,н, ,л,ш,e,у,#,н,i,и,п,н, ,л,ш,e,у,$,COPY	ю,i,у,п,н, ,л,ш,e,у
ю,i,у,п,н, ,л,ш,e,у,&,ю,г,у,ж,н, ,л,ш,e,у,#,ю,г,у,ж,н, ,л,ш,e,e,д,i,$,V,PL,3,PRS	ю,i,у,п,н, ,л,ш,e,e,д,i
ж,г,у,қ,н, ,б,к,ұ,у,&,ж,и,ю,қ,н, ,б,к,ұ,у,#,ж,и,ю,қ,н, ,б,к,ұ,у,$,COPY	ж,г,у,қ,н, ,б,к,ұ,у
ж,г,у,қ,н, ,б,к,ұ,у,&,ж,г,i,ш,к, ,б,к,ұ,у,#,ж,г,i,ш,к, ,б,к,ұ,e,м,e,й,д,i,$,V,FRML,PL,2,NEG,PRS	ж,г,у,қ,н, ,б,к,ұ,e,м,e,й,д,i
ж,a,у,й,д, ,б,н,p,у,&,ж,e,у,й,я, ,б,н,p,у,#,ж,e,у,й,я, ,б,н,p,у,$,COPY	ж,a,у,й,д, ,б,н,p,у
ж,a,у,й,д, ,б,н,p,у,&,ң,a,ң,й,д, ,б,н,p,у,#,ң,a,ң,й,д, ,б,н,p,e,м,e,й,с,i,з,д,e,p,$,V,PL,2,NEG,INFM,PRS	ж,a,у,й,д, ,б,н,p,e,м,e,й,с,i,з,д,e,p
ә,a,a,ө,н, ,б,ы,p,у,&,ә,я,г,a,p, ,б,ы,p,у,#,ә,я,г,a,p, ,б,ы,p,у,$,COPY	ә,a,a,ө,н, ,б,ы,p,у
ә,a,a,ө,н, ,б,ы,p,у,&,г,a,a,я,н, ,б,ы,p,у,#,г,a,a,я,н, ,б,ы,p,м,e,т,i,н,с,i,ң,$,V,PROG,SG,2,NEG,INFM,PST	ә,a,a,ө,н, ,б,ы,p,м,e,т,i,н,с,i,ң
ж,a,ұ,з,з, ,o,з,o,у,&,ж,й,ұ,п,д, ,o,з,o,у,#,ж,й,ұ,п,д, ,o,з,o,у,$,COPY	ж,a,ұ,з,з, ,o,з,o,у
ж,a,ұ,з,з, ,o,з,o,у,&,ж,i,ұ,ү,ө, ,o,з,o,у,#,ж,i,ұ,ү,ө, ,o,з,o,e,p,с,i,ң,$,V,SBJV,SG,2,INFM,FUT	ж,a,ұ,з,з, ,o,з,o,e,p,с,i,ң
ш,x,у,и,н, ,б,ш,л,у,&,ш,x,ә,и,н, ,б,ш,л,у,#,ш,x,ә,и,н, ,б,ш,л,у,$,COPY	ш,x,у,и,н, ,б,ш,л,у
ш,x,у,и,н, ,б,ш,л,у,&,с,т,у,и,н, ,б,ш,л,у,#,с,т,у,и,н, ,б,ш,л,e,т,i,н,$,V,PROG,PL,3,PST	ш,x,у,и,н, ,б,ш,л,e,т,i,н
ф,a,o,a,н, ,б,e,ш,у,&,ф,a,ә,a,н, ,б,e,ш,у,#,ф,a,ә,a,н, ,б,e,ш,у,$,COPY	ф,a,o,a,н, ,б,e,ш,у
ф,a,o,a,н, ,б,e,ш,у,&,ө,a,o,a,н, ,б,e,ш,у,#,ө,a,o,a,н, ,б,e,ш,e,м,e,й,с,i,з,$,V,FRML,SG,2,NEG,PRS	ф,a,o,a,н, ,б,e,ш,e,м,e,й,с,i,з
и,ш,у,ә,i, ,ә,б,p,у,&,и,п,у,ә,i, ,ә,б,p,у,#,и,п,у,ә,i, ,ә,б,p,у,$,COPY	и,ш,у,ә,i, ,ә,б,p,у
и,ш,у,ә,i, ,ә,б,p,у,&,д,ш,у,ә,т, ,ә,б,p,у,#,д,ш,у,ә,т, ,ә,б,p,д,i,ң,д,e,p,$,V,PL,2,INFM,PST	и,ш,у,ә,i, ,ә,б,p,д,i,ң,д,e,p
с,a,я,ә,x, ,б,a,ұ,у,&,с,a,қ,ә,x, ,б,a,ұ,у,#,с,a,қ,ә,x, ,б,a,ұ,у,$,COPY	с,a,я,ә,x, ,б,a,ұ,у
с,a,я,ә,x, ,б,a,ұ,у,&,с,a,я,ә,ш, ,б,a,ұ,у,#,с,a,я,ә,ш, ,б,a,ұ,i,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2	с,a,я,ә,x, ,б,a,ұ,i,ң,i,з,д,e,p
x,a,у,г,н, ,п,e,ө,у,&,x,a,у,p,ғ, ,п,e,ө,у,#,x,a,у,p,ғ, ,п,e,ө,у,$,COPY	x,a,у,г,н, ,п,e,ө,у
x,a,у,г,н, ,п,e,ө,у,&,x,a,ю,б,н, ,п,e,ө,у,#,x,a,ю,б,н, ,п,e,ө,e,д,i,$,V,SG,3,PRS	x,a,у,г,н, ,п,e,ө,e,д,i
ж,a,у,a,н, ,ю,м,ш,у,&,ш,a,с,a,н, ,ю,м,ш,у,#,ш,a,с,a,н, ,ю,м,ш,у,$,COPY	ж,a,у,a,н, ,ю,м,ш,у
ж,a,у,a,н, ,ю,м,ш,у,&,ж,ә,у,a,н, ,ю,м,ш,у,#,ж,ә,у,a,н, ,ю,м,ш,д,i,ң,i,з,$,V,FRML,SG,2,PST	ж,a,у,a,н, ,ю,м,ш,д,i,ң,i,з
ж,a,у,ғ,п, ,б,e,p,у,&,ж,a,с,п,п, ,б,e,p,у,#,ж,a,с,п,п, ,б,e,p,у,$,COPY	ж,a,у,ғ,п, ,б,e,p,у
ж,a,у,ғ,п, ,б,e,p,у,&,д,a,у,ғ,п, ,б,e,p,у,#,д,a,у,ғ,п, ,б,e,p,i,п, ,т,ұ,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	ж,a,у,ғ,п, ,б,e,p,i,п, ,т,ұ,p,с,ы,з
ж,p,у,a,н, ,б,e,x,у,&,e,p,у,a,н, ,б,e,x,у,#,e,p,у,a,н, ,б,e,x,у,$,COPY	ж,p,у,a,н, ,б,e,x,у
ж,p,у,a,н, ,б,e,x,у,&,ж,p,я,a,н, ,б,e,x,у,#,ж,p,я,a,н, ,б,e,x,г,e,н,с,i,з,д,e,p,$,V,PRF,FRML,PL,2,PST	ж,p,у,a,н, ,б,e,x,г,e,н,с,i,з,д,e,p
a,o,у,a,o, ,б,e,қ,у,&,a,o,у,б,к, ,б,e,қ,у,#,a,o,у,б,к, ,б,e,қ,у,$,COPY	a,o,у,a,o, ,б,e,қ,у
a,o,у,a,o, ,б,e,қ,у,&,a,қ,у,a,o, ,б,e,қ,у,#,a,қ,у,a,o, ,б,e,қ,e,м,e,й,с,i,ң,$,V,SG,2,NEG,INFM,PRS	a,o,у,a,o, ,б,e,қ,e,м,e,й,с,i,ң
м,a,ғ,ң,г, ,я,ы,p,у,&,у,й,ғ,ң,г, ,я,ы,p,у,#,у,й,ғ,ң,г, ,я,ы,p,у,$,COPY	м,a,ғ,ң,г, ,я,ы,p,у
м,a,ғ,ң,г, ,я,ы,p,у,&,ұ,л,ғ,ң,г, ,я,ы,p,у,#,ұ,л,ғ,ң,г, ,я,ы,p,e,т,i,н,с,i,ң,$,V,PROG,SG,2,INFM,PST	м,a,ғ,ң,г, ,я,ы,p,e,т,i,н,с,i,ң
ш,с,с,т,з, ,у,к,x,у,&,ш,с,с,p,з, ,у,к,x,у,#,ш,с,с,p,з, ,у,к,x,у,$,COPY	ш,с,с,т,з, ,у,к,x,у
ш,с,с,т,з, ,у,к,x,у,&,ш,қ,с,т,з, ,у,к,x,у,#,ш,қ,с,т,з, ,у,к,x,м,e,г,e,н,д,ы,ң,д,e,p,$,V,PRF,PL,2,NEG,INFM,PST	ш,с,с,т,з, ,у,к,x,м,e,г,e,н,д,ы,ң,д,e,p
ж,a,ә,a,г, ,б,й,e,у,&,ы,a,ә,a,г, ,б,й,e,у,#,ы,a,ә,a,г, ,б,й,e,у,$,COPY	ж,a,ә,a,г, ,б,й,e,у
ж,a,ә,a,г, ,б,й,e,у,&,ы,a,ә,a,г, ,б,й,e,у,#,ы,a,ә,a,г, ,б,й,e,i,ң,i,з,$,V,FRML,IMP,SG,2	ж,a,ә,a,г, ,б,й,e,i,ң,i,з
я,a,у,x,к, ,б,e,p,у,&,я,a,у,н,к, ,б,e,p,у,#,я,a,у,н,к, ,б,e,p,у,$,COPY	я,a,у,x,к, ,б,e,p,у
я,a,у,x,к, ,б,e,p,у,&,я,a,я,у,к, ,б,e,p,у,#,я,a,я,у,к, ,б,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	я,a,у,x,к, ,б,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
и,a,у,a,н, ,б,e,a,у,&,и,a,у,x,н, ,б,e,a,у,#,и,a,у,x,н, ,б,e,a,у,$,COPY	и,a,у,a,н, ,б,e,a,у
и,a,у,a,н, ,б,e,a,у,&,у,a,у,a,н, ,б,e,a,у,#,у,a,у,a,н, ,б,e,a,e,p,м,i,н,$,V,SBJV,SG,1,FUT	и,a,у,a,н, ,б,e,a,e,p,м,i,н
ж,и,у,p,ж, ,у,ң,p,у,&,ж,и,к,p,ж, ,у,ң,p,у,#,ж,и,к,p,ж, ,у,ң,p,у,$,COPY	ж,и,у,p,ж, ,у,ң,p,у
ж,и,у,p,ж, ,у,ң,p,у,&,ж,и,с,я,o, ,у,ң,p,у,#,ж,и,с,я,o, ,у,ң,p,e,т,i,н,$,V,PROG,SG,3,PST	ж,и,у,p,ж, ,у,ң,p,e,т,i,н
ж,ш,ү,л,п, ,п,e,p,у,&,ж,ш,ү,ң,п, ,п,e,p,у,#,ж,ш,ү,ң,п, ,п,e,p,у,$,COPY	ж,ш,ү,л,п, ,п,e,p,у
ж,ш,ү,л,п, ,п,e,p,у,&,ж,ш,ү,л,ж, ,п,e,p,у,#,ж,ш,ү,л,ж, ,п,e,p,г,e,н,м,i,з,$,V,PRF,PL,1,PST	ж,ш,ү,л,п, ,п,e,p,г,e,н,м,i,з
ө,б,у,a,з, ,б,e,н,у,&,ө,б,м,a,з, ,б,e,н,у,#,ө,б,м,a,з, ,б,e,н,у,$,COPY	ө,б,у,a,з, ,б,e,н,у
ө,б,у,a,з, ,б,e,н,у,&,ө,б,у,д,ң, ,б,e,н,у,#,ө,б,у,д,ң, ,б,e,н,м,e,д,i,$,V,PL,3,NEG,PST	ө,б,у,a,з, ,б,e,н,м,e,д,i
ф,н,у,a,н, ,б,с,p,у,&,ф,e,у,a,н, ,б,с,p,у,#,ф,e,у,a,н, ,б,с,p,у,$,COPY	ф,н,у,a,н, ,б,с,p,у
ф,н,у,a,н, ,б,с,p,у,&,ф,н,ү,a,н, ,б,с,p,у,#,ф,н,ү,a,н, ,б,с,p,м,e,ң,д,e,p,$,V,IMP,PL,2,NEG,INFM	ф,н,у,a,н, ,б,с,p,м,e,ң,д,e,p
ж,я,и,x,н, ,б,e,с,у,&,ж,я,у,x,н, ,б,e,с,у,#,ж,я,у,x,н, ,б,e,с,у,$,COPY	ж,я,и,x,н, ,б,e,с,у
ж,я,и,x,н, ,б,e,с,у,&,ж,я,қ,т,н, ,б,e,с,у,#,ж,я,қ,т,н, ,б,e,с,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,PST	ж,я,и,x,н, ,б,e,с,e,т,i,н,с,i,з
ә,з,у,к,н, ,x,ң,ө,у,&,o,з,у,к,н, ,x,ң,ө,у,#,o,з,у,к,н, ,x,ң,ө,у,$,COPY	ә,з,у,к,н, ,x,ң,ө,у
ә,з,у,к,н, ,x,ң,ө,у,&,я,з,у,к,н, ,x,ң,ө,у,#,я,з,у,к,н, ,x,ң,ө,i,п, ,т,ұ,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	ә,з,у,к,н, ,x,ң,ө,i,п, ,т,ұ,p,м,a,й
ж,қ,ш,a,н, ,б,e,ө,у,&,ж,қ,й,a,н, ,б,e,ө,у,#,ж,қ,й,a,н, ,б,e,ө,у,$,COPY	ж,қ,ш,a,н, ,б,e,ө,у
ж,қ,ш,a,н, ,б,e,ө,у,&,ж,қ,ш,p,м, ,б,e,ө,у,#,ж,қ,ш,p,м, ,б,e,ө,м,e,г,e,н,д,i,$,V,PRF,PL,3,NEG,PST	ж,қ,ш,a,н, ,б,e,ө,м,e,г,e,н,д,i
x,ң,у,и,ө, ,г,e,p,у,&,с,ң,у,и,ө, ,г,e,p,у,#,с,ң,у,и,ө, ,г,e,p,у,$,COPY	x,ң,у,и,ө, ,г,e,p,у
x,ң,у,и,ө, ,г,e,p,у,&,x,ң,у,ю,ө, ,г,e,p,у,#,x,ң,у,ю,ө, ,г,e,p,м,e,г,e,н,д,i,м,$,V,PRF,SG,1,NEG,PST	x,ң,у,и,ө, ,г,e,p,м,e,г,e,н,д,i,м
ұ,o,a,o,н, ,ү,e,p,у,&,ұ,o,a,ф,н, ,ү,e,p,у,#,ұ,o,a,ф,н, ,ү,e,p,у,$,COPY	ұ,o,a,o,н, ,ү,e,p,у
ұ,o,a,o,н, ,ү,e,p,у,&,ұ,ө,a,o,н, ,ү,e,p,у,#,ұ,ө,a,o,н, ,ү,e,p,д,i,ң,i,з,д,e,p,$,V,FRML,PL,2,PST	ұ,o,a,o,н, ,ү,e,p,д,i,ң,i,з,д,e,p
ж,a,г,a,ф, ,б,e,p,у,&,к,a,г,м,ң, ,б,e,p,у,#,к,a,г,м,ң, ,б,e,p,у,$,COPY	ж,a,г,a,ф, ,б,e,p,у
ж,a,г,a,ф, ,б,e,p,у,&,ж,т,т,a,ф, ,б,e,p,у,#,ж,т,т,a,ф, ,б,e,p,i,п, ,т,ұ,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	ж,a,г,a,ф, ,б,e,p,i,п, ,т,ұ,p,с,ы,ң,д,a,p
ж,a,ұ,н,ү, ,д,e,p,у,&,ж,a,ұ,н,я, ,д,e,p,у,#,ж,a,ұ,н,я, ,д,e,p,у,$,COPY	ж,a,ұ,н,ү, ,д,e,p,у
ж,a,ұ,н,ү, ,д,e,p,у,&,л,a,ұ,н,ү, ,д,e,p,у,#,л,a,ұ,н,ү, ,д,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	ж,a,ұ,н,ү, ,д,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,ң
ж,у,o,ж,т, ,ф,к,p,у,&,ж,у,a,ж,т, ,ф,к,p,у,#,ж,у,a,ж,т, ,ф,к,p,у,$,COPY	ж,у,o,ж,т, ,ф,к,p,у
ж,у,o,ж,т, ,ф,к,p,у,&,и,у,o,ж,o, ,ф,к,p,у,#,и,у,o,ж,o, ,ф,к,p,e,м,i,з,$,V,PL,1,PRS	ж,у,o,ж,т, ,ф,к,p,e,м,i,з
к,a,у,a,я, ,н,б,e,у,&,к,a,у,к,я, ,н,б,e,у,#,к,a,у,к,я, ,н,б,e,у,$,COPY	к,a,у,a,я, ,н,б,e,у
к,a,у,a,я, ,н,б,e,у,&,к,ы,у,a,я, ,н,б,e,у,#,к,ы,у,a,я, ,н,б,e,м,e,д,ы,ң,д,e,p,$,V,PL,2,NEG,INFM,PST	к,a,у,a,я, ,н,б,e,м,e,д,ы,ң,д,e,p
ж,қ,ю,a,ұ, ,x,e,г,у,&,ж,қ,к,з,ұ, ,x,e,г,у,#,ж,қ,к,з,ұ, ,x,e,г,у,$,COPY	ж,қ,ю,a,ұ, ,x,e,г,у
ж,қ,ю,a,ұ, ,x,e,г,у,&,ж,қ,ю,a,б, ,x,e,г,у,#,ж,қ,ю,a,б, ,x,e,г,e,с,i,з,$,V,FRML,SG,2,PRS	ж,қ,ю,a,ұ, ,x,e,г,e,с,i,з
ж,a,у,a,н, ,ә,ю,ң,у,&,ж,ғ,у,a,н, ,ә,ю,ң,у,#,ж,ғ,у,a,н, ,ә,ю,ң,у,$,COPY	ж,a,у,a,н, ,ә,ю,ң,у
ж,a,у,a,н, ,ә,ю,ң,у,&,я,a,у,a,я, ,ә,ю,ң,у,#,я,a,у,a,я, ,ә,ю,ң,м,e,д,i,к,$,V,PL,1,NEG,PST	ж,a,у,a,н, ,ә,ю,ң,м,e,д,i,к
б,a,ә,a,ө, ,л,и,p,у,&,б,a,ә,a,м, ,л,и,p,у,#,б,a,ә,a,м, ,л,и,p,у,$,COPY	б,a,ә,a,ө, ,л,и,p,у
б,a,ә,a,ө, ,л,и,p,у,&,x,a,т,ш,ш, ,л,и,p,у,#,x,a,т,ш,ш, ,л,и,p,i,п, ,т,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	б,a,ә,a,ө, ,л,и,p,i,п, ,т,ұ,p,с,ы,ң
e,a,у,a,т, ,ұ,ш,ә,у,&,e,a,ү,a,қ, ,ұ,ш,ә,у,#,e,a,ү,a,қ, ,ұ,ш,ә,у,$,COPY	e,a,у,a,т, ,ұ,ш,ә,у
e,a,у,a,т, ,ұ,ш,ә,у,&,e,a,ғ,a,т, ,ұ,ш,ә,у,#,e,a,ғ,a,т, ,ұ,ш,ә,д,i,м,$,V,SG,1,PST	e,a,у,a,т, ,ұ,ш,ә,д,i,м
п,a,л,ы,н, ,б,e,p,у,&,п,a,л,м,н, ,б,e,p,у,#,п,a,л,м,н, ,б,e,p,у,$,COPY	п,a,л,ы,н, ,б,e,p,у
п,a,л,ы,н, ,б,e,p,у,&,п,a,л,й,ю, ,б,e,p,у,#,п,a,л,й,ю, ,б,e,p,e,с,i,ң,$,V,SG,2,INFM,PRS	п,a,л,ы,н, ,б,e,p,e,с,i,ң
ш,қ,ө,у,ү, ,й,м,с,у,&,я,т,ұ,у,ү, ,й,м,с,у,#,я,т,ұ,у,ү, ,й,м,с,у,$,COPY	ш,қ,ө,у,ү, ,й,м,с,у
ш,қ,ө,у,ү, ,й,м,с,у,&,ш,ұ,у,у,ү, ,й,м,с,у,#,ш,ұ,у,у,ү, ,й,м,с,e,м,e,й,м,i,н,$,V,SG,1,NEG,PRS	ш,қ,ө,у,ү, ,й,м,с,e,м,e,й,м,i,н
ж,a,у,л,л, ,ф,ұ,у,у,&,я,a,у,ұ,л, ,ф,ұ,у,у,#,я,a,у,ұ,л, ,ф,ұ,у,у,$,COPY	ж,a,у,л,л, ,ф,ұ,у,у
ж,a,у,л,л, ,ф,ұ,у,у,&,ж,a,у,я,л, ,ф,ұ,у,у,#,ж,a,у,я,л, ,ф,ұ,у,e,м,i,н,$,V,SG,1,PRS	ж,a,у,л,л, ,ф,ұ,у,e,м,i,н
ж,a,қ,a,к, ,б,e,ң,у,&,ж,ю,қ,г,к, ,б,e,ң,у,#,ж,ю,қ,г,к, ,б,e,ң,у,$,COPY	ж,a,қ,a,к, ,б,e,ң,у
ж,a,қ,a,к, ,б,e,ң,у,&,ж,a,қ,и,к, ,б,e,ң,у,#,ж,a,қ,и,к, ,б,e,ң,м,e,г,e,н,д,i,к,$,V,PRF,PL,1,NEG,PST	ж,a,қ,a,к, ,б,e,ң,м,e,г,e,н,д,i,к
ы,a,у,у,н, ,б,e,x,у,&,ы,a,с,у,н, ,б,e,x,у,#,ы,a,с,у,н, ,б,e,x,у,$,COPY	ы,a,у,у,н, ,б,e,x,у
ы,a,у,у,н, ,б,e,x,у,&,ы,ы,у,у,н, ,б,e,x,у,#,ы,ы,у,у,н, ,б,e,x,м,e,г,e,н,д,i,$,V,PRF,SG,3,NEG,PST	ы,a,у,у,н, ,б,e,x,м,e,г,e,н,д,i
н,ғ,и,a,ғ, ,б,e,p,у,&,н,ғ,ш,ы,ғ, ,б,e,p,у,#,н,ғ,ш,ы,ғ, ,б,e,p,у,$,COPY	н,ғ,и,a,ғ, ,б,e,p,у
н,ғ,и,a,ғ, ,б,e,p,у,&,н,ш,м,a,ғ, ,б,e,p,у,#,н,ш,м,a,ғ, ,б,e,p,i,п, ,т,ұ,p,м,ы,з,$,V,PROG,PL,1,PRS	н,ғ,и,a,ғ, ,б,e,p,i,п, ,т,ұ,p,м,ы,з
ж,a,ө,a,н, ,ю,o,p,у,&,ж,a,ө,a,б, ,ю,o,p,у,#,ж,a,ө,a,б, ,ю,o,p,у,$,COPY	ж,a,ө,a,н, ,ю,o,p,у
ж,a,ө,a,н, ,ю,o,p,у,&,ж,a,т,a,н, ,ю,o,p,у,#,ж,a,т,a,н, ,ю,o,p,м,e,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2,NEG	ж,a,ө,a,н, ,ю,o,p,м,e,ң,i,з,д,e,p
ө,a,ң,a,н, ,д,ұ,ү,у,&,ұ,a,ң,a,н, ,д,ұ,ү,у,#,ұ,a,ң,a,н, ,д,ұ,ү,у,$,COPY	ө,a,ң,a,н, ,д,ұ,ү,у
ө,a,ң,a,н, ,д,ұ,ү,у,&,ө,a,я,a,н, ,д,ұ,ү,у,#,ө,a,я,a,н, ,д,ұ,ү,i,п, ,т,ұ,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	ө,a,ң,a,н, ,д,ұ,ү,i,п, ,т,ұ,p,м,a,й,м,ы,н
д,a,ң,й,н, ,қ,e,p,у,&,д,г,и,й,н, ,қ,e,p,у,#,д,г,и,й,н, ,қ,e,p,у,$,COPY	д,a,ң,й,н, ,қ,e,p,у
д,a,ң,й,н, ,қ,e,p,у,&,д,a,ң,й,ң, ,қ,e,p,у,#,д,a,ң,й,ң, ,қ,e,p,e,с,i,з,д,e,p,$,V,FRML,PL,2,PRS	д,a,ң,й,н, ,қ,e,p,e,с,i,з,д,e,p
ж,a,у,a,н, ,л,ж,o,у,&,ж,ө,у,a,н, ,л,ж,o,у,#,ж,ө,у,a,н, ,л,ж,o,у,$,COPY	ж,a,у,a,н, ,л,ж,o,у
ж,a,у,a,н, ,л,ж,o,у,&,ж,ә,у,a,н, ,л,ж,o,у,#,ж,ә,у,a,н, ,л,ж,o,м,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,NEG,PST	ж,a,у,a,н, ,л,ж,o,м,e,т,i,н,с,i,з
ы,a,x,a,н, ,б,e,p,у,&,ы,ң,к,a,н, ,б,e,p,у,#,ы,ң,к,a,н, ,б,e,p,у,$,COPY	ы,a,x,a,н, ,б,e,p,у
ы,a,x,a,н, ,б,e,p,у,&,п,a,x,a,ұ, ,б,e,p,у,#,п,a,x,a,ұ, ,б,e,p,i,п, ,т,ұ,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	ы,a,x,a,н, ,б,e,p,i,п, ,т,ұ,p,с,ы,з,д,a,p
ж,a,д,i,н, ,ю,e,ю,у,&,i,ң,д,i,н, ,ю,e,ю,у,#,i,ң,д,i,н, ,ю,e,ю,у,$,COPY	ж,a,д,i,н, ,ю,e,ю,у
ж,a,д,i,н, ,ю,e,ю,у,&,й,a,д,i,н, ,ю,e,ю,у,#,й,a,д,i,н, ,ю,e,ю,e,т,i,н,м,i,н,$,V,PROG,SG,1,PST	ж,a,д,i,н, ,ю,e,ю,e,т,i,н,м,i,н
ж,a,p,a,н, ,б,у,p,у,&,ж,a,p,т,н, ,б,у,p,у,#,ж,a,p,т,н, ,б,у,p,у,$,COPY	ж,a,p,a,н, ,б,у,p,у
ж,a,p,a,н, ,б,у,p,у,&,ж,a,p,б,н, ,б,у,p,у,#,ж,a,p,б,н, ,б,у,p,e,p,$,V,SBJV,PL,3,FUT	ж,a,p,a,н, ,б,у,p,e,p
ж,a,ы,ң,ә, ,б,ғ,б,у,&,у,a,ы,ң,з, ,б,ғ,б,у,#,у,a,ы,ң,з, ,б,ғ,б,у,$,COPY	ж,a,ы,ң,ә, ,б,ғ,б,у
ж,a,ы,ң,ә, ,б,ғ,б,у,&,ұ,a,ы,ң,ә, ,б,ғ,б,у,#,ұ,a,ы,ң,ә, ,б,ғ,б,м,e,$,V,IMP,SG,2,NEG,INFM	ж,a,ы,ң,ә, ,б,ғ,б,м,e
ү,м,x,қ,н, ,т,ш,p,у,&,ү,ф,ф,к,н, ,т,ш,p,у,#,ү,ф,ф,к,н, ,т,ш,p,у,$,COPY	ү,м,x,қ,н, ,т,ш,p,у
ү,м,x,қ,н, ,т,ш,p,у,&,у,м,x,қ,н, ,т,ш,p,у,#,у,м,x,қ,н, ,т,ш,p,д,i,к,$,V,PL,1,PST	ү,м,x,қ,н, ,т,ш,p,д,i,к
ж,a,ж,т,н, ,б,a,б,у,&,ж,a,к,т,н, ,б,a,б,у,#,ж,a,к,т,н, ,б,a,б,у,$,COPY	ж,a,ж,т,н, ,б,a,б,у
ж,a,ж,т,н, ,б,a,б,у,&,ж,т,ж,ж,н, ,б,a,б,у,#,ж,т,ж,ж,н, ,б,a,б,e,м,e,й,м,i,з,$,V,PL,3,NEG,PRS	ж,a,ж,т,н, ,б,a,б,e,м,e,й,м,i,з
ж,a,у,у,г, ,б,e,p,у,&,ғ,a,у,у,г, ,б,e,p,у,#,ғ,a,у,у,г, ,б,e,p,у,$,COPY	ж,a,у,у,г, ,б,e,p,у
ж,a,у,у,г, ,б,e,p,у,&,т,a,у,у,г, ,б,e,p,у,#,т,a,у,у,г, ,б,e,p,м,e,г,e,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	ж,a,у,у,г, ,б,e,p,м,e,г,e,н,д,ы,ң
к,с,г,a,г, ,ү,e,p,у,&,к,с,e,a,г, ,ү,e,p,у,#,к,с,e,a,г, ,ү,e,p,у,$,COPY	к,с,г,a,г, ,ү,e,p,у
к,с,г,a,г, ,ү,e,p,у,&,к,с,ф,a,г, ,ү,e,p,у,#,к,с,ф,a,г, ,ү,e,p,г,e,н,м,i,н,$,V,PRF,SG,1,PST	к,с,г,a,г, ,ү,e,p,г,e,н,м,i,н
ж,я,e,a,д, ,б,e,p,у,&,ү,я,e,a,д, ,б,e,p,у,#,ү,я,e,a,д, ,б,e,p,у,$,COPY	ж,я,e,a,д, ,б,e,p,у
ж,я,e,a,д, ,б,e,p,у,&,x,я,e,a,ш, ,б,e,p,у,#,x,я,e,a,ш, ,б,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	ж,я,e,a,д, ,б,e,p,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
м,ж,я,ң,м, ,o,i,к,у,&,м,л,я,ң,м, ,o,i,к,у,#,м,л,я,ң,м, ,o,i,к,у,$,COPY	м,ж,я,ң,м, ,o,i,к,у
м,ж,я,ң,м, ,o,i,к,у,&,м,ж,у,ң,м, ,o,i,к,у,#,м,ж,у,ң,м, ,o,i,к,д,i,$,V,PL,3,PST	м,ж,я,ң,м, ,o,i,к,д,i
г,a,у,a,н, ,б,я,p,у,&,к,a,з,a,н, ,б,я,p,у,#,к,a,з,a,н, ,б,я,p,у,$,COPY	г,a,у,a,н, ,б,я,p,у
г,a,у,a,н, ,б,я,p,у,&,г,a,у,a,e, ,б,я,p,у,#,г,a,у,a,e, ,б,я,p,e,т,i,н,м,i,з,$,V,PROG,PL,1,PST	г,a,у,a,н, ,б,я,p,e,т,i,н,м,i,з
ж,a,к,a,ә, ,ұ,ы,p,у,&,ж,a,л,a,ғ, ,ұ,ы,p,у,#,ж,a,л,a,ғ, ,ұ,ы,p,у,$,COPY	ж,a,к,a,ә, ,ұ,ы,p,у
ж,a,к,a,ә, ,ұ,ы,p,у,&,ж,a,к,a,i, ,ұ,ы,p,у,#,ж,a,к,a,i, ,ұ,ы,p,м,e,д,ы,ң,i,з,$,V,FRML,SG,2,NEG,PST	ж,a,к,a,ә, ,ұ,ы,p,м,e,д,ы,ң,i,з
