l,i,a,&,s,i,a,#,s,i,a,$,COPY	l,i,a
r,u,k,a,&,r,u,k,k,#,n,i,a,r,u,k,k,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,r,u,k,a
r,u,k,w,&,r,u,r,w,#,r,u,r,w,$,COPY	r,u,k,w
r,u,k,w,&,r,u,o,w,#,u,h,u,r,u,o,w,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,r,u,k,w
r,z,s,p,&,r,z,t,p,#,r,z,t,p,$,COPY	r,z,s,p
r,z,s,p,&,b,z,s,p,#,k,u,b,z,s,p,$,V,FIN	k,u,r,z,s,p
r,o,k,a,&,p,o,k,a,#,p,o,k,a,$,COPY	r,o,k,a
r,o,k,a,&,r,o,l,a,#,a,t,a,r,o,l,a,$,V,FIN,IND,SG,3,FUT	a,t,a,r,o,k,a
e,u,i,h,&,b,u,a,h,#,b,u,a,h,$,COPY	e,u,i,h
e,u,i,h,&,e,u,a,h,#,u,t,a,e,u,a,h,$,V,FIN,IND,SG,2,FUT	u,t,a,e,u,i,h
r,u,k,a,&,r,y,k,u,#,t,u,a,r,y,k,u,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,r,u,k,a
r,u,f,a,&,i,u,f,z,#,i,u,f,z,$,COPY	r,u,f,a
r,u,f,a,&,r,e,f,a,#,t,u,l,i,r,e,f,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,r,u,f,a
g,z,k,a,&,g,z,l,e,#,g,z,l,e,$,COPY	g,z,k,a
g,z,k,a,&,g,z,d,a,#,u,n,a,g,z,d,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,g,z,k,a
r,h,z,z,&,w,l,i,z,#,w,l,i,z,$,COPY	r,h,z,z
r,h,z,z,&,r,h,z,y,#,w,a,m,e,r,h,z,y,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,r,h,z,z
b,c,c,a,&,b,m,s,a,#,b,m,s,a,$,COPY	b,c,c,a
b,c,c,a,&,b,c,l,a,#,w,a,n,g,a,l,i,b,c,l,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,b,c,c,a
r,u,y,o,&,r,u,l,o,#,r,u,l,o,$,COPY	r,u,y,o
r,u,y,o,&,r,r,y,k,#,t,u,t,a,r,r,y,k,$,V,FIN,IND,PL,1,FUT	t,u,t,a,r,u,y,o
r,u,k,m,&,r,j,k,m,#,r,j,k,m,$,COPY	r,u,k,m
r,u,k,m,&,r,u,t,m,#,w,a,l,i,r,u,t,m,$,V,FIN,IND,PL,3,PST	w,a,l,i,r,u,k,m
r,u,k,m,&,r,d,k,m,#,m,l,i,r,d,k,m,$,V,FIN,IND,PL,2,PST	m,l,i,r,u,k,m
h,e,g,a,&,h,e,c,a,#,h,e,c,a,$,COPY	h,e,g,a
h,e,g,a,&,m,d,g,a,#,m,m,e,m,d,g,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,h,e,g,a
r,k,o,g,&,r,k,t,j,#,r,k,t,j,$,COPY	r,k,o,g
r,k,o,g,&,r,h,c,g,#,m,n,g,a,l,i,r,h,c,g,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,r,k,o,g
r,p,k,c,&,e,p,o,k,#,e,p,o,k,$,COPY	r,p,k,c
r,p,k,c,&,r,p,f,c,#,m,h,u,r,p,f,c,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,r,p,k,c
r,u,m,e,&,r,u,n,e,#,r,u,n,e,$,COPY	r,u,m,e
r,u,m,e,&,r,t,m,y,#,a,n,g,a,l,i,r,t,m,y,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,r,u,m,e
r,t,k,w,&,r,b,a,k,#,r,b,a,k,$,COPY	r,t,k,w
r,t,k,w,&,r,e,k,w,#,w,a,t,a,r,e,k,w,$,V,FIN,IND,PL,3,FUT	w,a,t,a,r,t,k,w
s,u,u,a,&,s,s,u,a,#,s,s,u,a,$,COPY	s,u,u,a
s,u,u,a,&,s,u,u,k,#,u,m,e,s,u,u,k,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,s,u,u,a
r,u,b,a,&,f,u,b,n,#,w,a,n,a,f,u,b,n,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,r,u,b,a
l,g,r,m,&,h,g,r,m,#,h,g,r,m,$,COPY	l,g,r,m
l,g,r,m,&,l,k,i,m,#,w,a,t,a,l,k,i,m,$,V,FIN,IND,PL,3,FUT	w,a,t,a,l,g,r,m
l,j,t,a,&,l,i,t,a,#,l,i,t,a,$,COPY	l,j,t,a
l,j,t,a,&,l,w,l,a,#,w,a,n,g,e,l,w,l,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,l,j,t,a
o,e,t,a,&,g,e,u,a,#,g,e,u,a,$,COPY	o,e,t,a
o,e,t,a,&,o,o,t,a,#,u,m,e,o,o,t,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,o,e,t,a
o,e,h,a,&,o,e,h,u,#,o,e,h,u,$,COPY	o,e,h,a
o,e,h,a,&,o,t,h,s,#,t,u,t,a,o,t,h,s,$,V,FIN,IND,PL,1,FUT	t,u,t,a,o,e,h,a
l,r,t,w,&,h,r,p,w,#,h,r,p,w,$,COPY	l,r,t,w
l,r,t,w,&,o,r,t,w,#,m,h,u,o,r,t,w,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,l,r,t,w
p,d,t,a,&,p,d,t,y,#,p,d,t,y,$,COPY	p,d,t,a
p,d,t,a,&,k,a,t,a,#,t,u,n,g,a,l,i,k,a,t,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,p,d,t,a
l,e,t,f,&,l,e,i,f,#,l,e,i,f,$,COPY	l,e,t,f
l,e,t,f,&,l,e,t,i,#,w,a,l,i,l,e,t,i,$,V,FIN,IND,PL,3,PST	w,a,l,i,l,e,t,f
a,r,d,k,&,a,r,c,k,#,a,r,c,k,$,COPY	a,r,d,k
a,r,d,k,&,i,r,d,k,#,n,i,l,i,i,r,d,k,$,V,FIN,IND,SG,1,PST	n,i,l,i,a,r,d,k
o,e,t,f,&,j,e,t,f,#,j,e,t,f,$,COPY	o,e,t,f
o,e,t,f,&,o,i,t,f,#,n,i,a,o,i,t,f,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,o,e,t,f
n,e,t,a,&,n,e,t,c,#,n,e,t,c,$,COPY	n,e,t,a
n,e,t,a,&,n,e,t,y,#,a,a,n,e,t,y,$,V,INDF,FIN,IND,SG,3,PRS	a,a,n,e,t,a
l,c,t,h,&,c,c,t,z,#,c,c,t,z,$,COPY	l,c,t,h
l,c,t,h,&,l,z,t,y,#,u,n,g,a,l,i,l,z,t,y,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,c,t,h
l,e,y,a,&,h,e,o,a,#,h,e,o,a,$,COPY	l,e,y,a
l,e,y,a,&,d,g,y,a,#,m,t,a,d,g,y,a,$,V,FIN,IND,PL,2,FUT	m,t,a,l,e,y,a
u,e,i,i,&,t,h,i,i,#,t,h,i,i,$,COPY	u,e,i,i
u,e,i,i,&,u,o,i,e,#,n,i,m,e,u,o,i,e,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,u,e,i,i
d,u,f,w,&,e,u,f,k,#,e,u,f,k,$,COPY	d,u,f,w
d,u,f,w,&,d,u,f,p,#,a,l,i,d,u,f,p,$,V,FIN,IND,SG,3,PST	a,l,i,d,u,f,w
l,e,t,a,&,l,e,t,d,#,m,m,e,l,e,t,d,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,l,e,t,a
l,e,h,o,&,l,c,h,o,#,l,c,h,o,$,COPY	l,e,h,o
l,e,h,o,&,l,j,y,o,#,a,t,a,l,j,y,o,$,V,FIN,IND,SG,3,FUT	a,t,a,l,e,h,o
h,s,t,a,&,h,w,t,a,#,h,w,t,a,$,COPY	h,s,t,a
h,s,t,a,&,h,s,t,b,#,m,a,h,s,t,b,$,V,INDF,FIN,IND,PL,2,PRS	m,a,h,s,t,a
m,j,t,a,&,m,j,t,b,#,m,j,t,b,$,COPY	m,j,t,a
m,j,t,a,&,m,j,t,p,#,a,n,g,a,l,i,m,j,t,p,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,m,j,t,a
l,e,t,w,&,s,e,h,w,#,s,e,h,w,$,COPY	l,e,t,w
l,e,t,w,&,l,r,t,w,#,w,a,n,g,a,l,i,l,r,t,w,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,l,e,t,w
l,e,t,o,&,h,e,t,e,#,h,e,t,e,$,COPY	l,e,t,o
l,e,t,o,&,l,e,b,o,#,u,l,i,l,e,b,o,$,V,FIN,IND,SG,2,PST	u,l,i,l,e,t,o
l,r,t,a,&,l,z,t,k,#,l,z,t,k,$,COPY	l,r,t,a
l,r,t,a,&,l,u,t,a,#,u,n,g,e,l,u,t,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,l,r,t,a
c,p,t,a,&,c,m,t,a,#,c,m,t,a,$,COPY	c,p,t,a
c,p,t,a,&,b,p,t,a,#,n,i,n,a,b,p,t,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,c,p,t,a
l,e,u,h,&,l,t,u,d,#,l,t,u,d,$,COPY	l,e,u,h
l,e,u,h,&,l,e,g,h,#,a,h,u,l,e,g,h,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,l,e,u,h
b,c,a,a,&,b,c,k,g,#,b,c,k,g,$,COPY	b,c,a,a
b,c,a,a,&,s,c,k,i,#,w,a,a,s,c,k,i,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,b,c,a,a
l,d,t,a,&,l,d,h,a,#,l,d,h,a,$,COPY	l,d,t,a
l,d,t,a,&,l,o,w,o,#,n,i,n,g,a,l,i,l,o,w,o,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,l,d,t,a
u,e,d,a,&,s,e,d,n,#,s,e,d,n,$,COPY	u,e,d,a
u,e,d,a,&,u,s,d,i,#,t,u,h,u,u,s,d,i,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,u,e,d,a
l,e,k,a,&,p,m,k,a,#,p,m,k,a,$,COPY	l,e,k,a
l,e,k,a,&,l,e,l,a,#,a,n,g,e,l,e,l,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,l,e,k,a
l,t,t,a,&,l,t,g,a,#,l,t,g,a,$,COPY	l,t,t,a
l,t,t,a,&,z,t,t,m,#,m,n,a,z,t,t,m,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,l,t,t,a
l,r,t,g,&,l,r,r,g,#,l,r,r,g,$,COPY	l,r,t,g
l,r,t,g,&,l,r,t,p,#,u,n,a,l,r,t,p,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,l,r,t,g
l,i,d,s,&,l,u,n,s,#,l,u,n,s,$,COPY	l,i,d,s
l,i,d,s,&,l,i,d,n,#,t,u,n,a,l,i,d,n,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,l,i,d,s
l,e,m,a,&,h,e,y,a,#,a,n,a,h,e,y,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,l,e,m,a
l,e,i,a,&,l,e,i,e,#,t,u,m,e,l,e,i,e,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,l,e,i,a
l,u,o,k,&,w,k,o,k,#,w,k,o,k,$,COPY	l,u,o,k
l,u,o,k,&,l,s,o,k,#,m,l,i,l,s,o,k,$,V,FIN,IND,PL,2,PST	m,l,i,l,u,o,k
a,e,t,a,&,a,t,t,a,#,a,t,t,a,$,COPY	a,e,t,a
a,e,t,a,&,c,e,t,a,#,k,u,c,e,t,a,$,V,FIN	k,u,a,e,t,a
e,e,a,a,&,h,e,a,a,#,h,e,a,a,$,COPY	e,e,a,a
e,e,a,a,&,e,e,a,o,#,w,a,h,u,e,e,a,o,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,e,e,a,a
l,h,t,a,&,l,h,t,s,#,l,h,t,s,$,COPY	l,h,t,a
l,h,t,a,&,e,h,t,a,#,m,n,g,a,l,i,e,h,t,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,l,h,t,a
c,e,j,a,&,b,e,j,a,#,b,e,j,a,$,COPY	c,e,j,a
c,e,j,a,&,a,e,z,a,#,u,h,u,a,e,z,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,c,e,j,a
l,e,t,a,&,i,e,t,a,#,a,m,e,i,e,t,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,l,e,t,a
l,e,t,c,&,l,s,j,c,#,l,s,j,c,$,COPY	l,e,t,c
l,e,t,c,&,l,i,t,c,#,n,i,t,a,l,i,t,c,$,V,FIN,IND,SG,1,FUT	n,i,t,a,l,e,t,c
l,e,t,a,&,r,e,t,a,#,w,a,m,e,r,e,t,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,l,e,t,a
l,e,n,a,&,l,e,i,a,#,l,e,i,a,$,COPY	l,e,n,a
l,e,n,a,&,s,e,n,y,#,t,u,n,g,e,s,e,n,y,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,l,e,n,a
l,f,b,a,&,o,f,k,h,#,o,f,k,h,$,COPY	l,f,b,a
l,f,b,a,&,i,f,b,a,#,n,i,h,u,i,f,b,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,l,f,b,a
n,e,t,s,&,n,e,m,s,#,n,e,m,s,$,COPY	n,e,t,s
n,e,t,s,&,n,e,f,s,#,u,a,n,e,f,s,$,V,INDF,FIN,IND,SG,2,PRS	u,a,n,e,t,s
n,e,k,a,&,n,e,l,a,#,n,e,l,a,$,COPY	n,e,k,a
n,e,k,a,&,k,e,k,a,#,t,u,a,k,e,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,n,e,k,a
l,e,s,p,&,l,i,i,z,#,l,i,i,z,$,COPY	l,e,s,p
l,e,s,p,&,l,e,d,g,#,t,u,l,i,l,e,d,g,$,V,FIN,IND,PL,1,PST	t,u,l,i,l,e,s,p
c,e,t,a,&,c,e,t,g,#,c,e,t,g,$,COPY	c,e,t,a
c,e,t,a,&,c,r,t,a,#,w,a,n,a,c,r,t,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,c,e,t,a
e,p,w,a,&,e,p,w,g,#,e,p,w,g,$,COPY	e,p,w,a
e,p,w,a,&,e,u,w,a,#,m,n,g,e,e,u,w,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,e,p,w,a
l,n,h,a,&,l,n,m,a,#,l,n,m,a,$,COPY	l,n,h,a
l,n,h,a,&,l,n,h,j,#,u,t,a,l,n,h,j,$,V,FIN,IND,SG,2,FUT	u,t,a,l,n,h,a
l,y,a,a,&,l,i,u,a,#,l,i,u,a,$,COPY	l,y,a,a
l,y,a,a,&,l,m,a,a,#,n,i,n,g,e,l,m,a,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,l,y,a,a
g,z,r,b,&,t,z,r,b,#,t,z,r,b,$,COPY	g,z,r,b
g,z,r,b,&,g,z,s,b,#,n,i,l,i,g,z,s,b,$,V,FIN,IND,SG,1,PST	n,i,l,i,g,z,r,b
g,n,s,a,&,l,o,s,a,#,t,u,n,g,e,l,o,s,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,g,n,s,a
a,u,s,a,&,a,u,k,a,#,a,u,k,a,$,COPY	a,u,s,a
a,u,s,a,&,o,u,s,a,#,t,u,l,i,o,u,s,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,a,u,s,a
g,z,s,e,&,u,a,s,e,#,u,a,s,e,$,COPY	g,z,s,e
g,z,s,e,&,g,b,s,e,#,n,i,a,g,b,s,e,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,g,z,s,e
l,a,s,a,&,l,s,s,a,#,l,s,s,a,$,COPY	l,a,s,a
l,a,s,a,&,m,a,a,a,#,u,n,g,a,l,i,m,a,a,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,a,s,a
u,e,l,a,&,u,e,b,p,#,u,e,b,p,$,COPY	u,e,l,a
u,e,l,a,&,u,j,l,a,#,a,a,u,j,l,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,u,e,l,a
z,k,s,e,&,z,g,s,w,#,z,g,s,w,$,COPY	z,k,s,e
z,k,s,e,&,h,k,s,r,#,n,i,n,a,h,k,s,r,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,z,k,s,e
g,z,s,c,&,g,g,s,c,#,g,g,s,c,$,COPY	g,z,s,c
g,z,s,c,&,g,p,h,c,#,t,u,a,g,p,h,c,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,g,z,s,c
u,u,u,g,&,u,u,e,i,#,u,u,e,i,$,COPY	u,u,u,g
u,u,u,g,&,u,u,c,g,#,m,n,a,u,u,c,g,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,u,u,u,g
g,u,t,w,&,g,u,t,h,#,g,u,t,h,$,COPY	g,u,t,w
g,u,t,w,&,d,u,t,w,#,n,i,t,a,d,u,t,w,$,V,FIN,IND,SG,1,FUT	n,i,t,a,g,u,t,w
g,t,c,z,&,g,t,i,z,#,g,t,i,z,$,COPY	g,t,c,z
g,t,c,z,&,g,t,c,e,#,u,t,a,g,t,c,e,$,V,FIN,IND,SG,2,FUT	u,t,a,g,t,c,z
c,u,s,f,&,c,o,s,f,#,c,o,s,f,$,COPY	c,u,s,f
c,u,s,f,&,c,u,w,f,#,t,u,n,a,c,u,w,f,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,c,u,s,f
g,e,k,c,&,o,n,y,o,#,o,n,y,o,$,COPY	g,e,k,c
g,e,k,c,&,g,o,k,c,#,t,u,n,g,a,l,i,g,o,k,c,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,g,e,k,c
r,u,w,w,&,r,u,i,w,#,r,u,i,w,$,COPY	r,u,w,w
r,u,w,w,&,r,g,w,w,#,a,n,a,r,g,w,w,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,r,u,w,w
g,u,s,a,&,g,u,c,a,#,u,m,e,g,u,c,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,g,u,s,a
g,u,s,z,&,g,u,s,c,#,g,u,s,c,$,COPY	g,u,s,z
g,u,s,z,&,g,b,g,z,#,u,n,g,e,g,b,g,z,$,V,FIN,COND,SG,2,PRS	u,n,g,e,g,u,s,z
g,u,s,l,&,t,u,s,l,#,t,u,s,l,$,COPY	g,u,s,l
g,u,s,l,&,g,i,e,l,#,w,a,h,u,g,i,e,l,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,g,u,s,l
j,f,l,m,&,j,f,h,m,#,j,f,h,m,$,COPY	j,f,l,m
j,f,l,m,&,j,f,g,y,#,m,n,g,a,l,i,j,f,g,y,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,j,f,l,m
u,u,s,u,&,u,s,s,z,#,u,s,s,z,$,COPY	u,u,s,u
u,u,s,u,&,u,h,s,u,#,n,i,h,u,u,h,s,u,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,u,u,s,u
y,w,o,y,&,y,w,o,s,#,y,w,o,s,$,COPY	y,w,o,y
y,w,o,y,&,l,w,o,d,#,w,a,n,g,e,l,w,o,d,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,y,w,o,y
b,m,u,a,&,r,p,u,s,#,r,p,u,s,$,COPY	b,m,u,a
b,m,u,a,&,b,m,u,d,#,m,t,a,b,m,u,d,$,V,FIN,IND,PL,2,FUT	m,t,a,b,m,u,a
g,l,z,h,&,g,h,k,s,#,g,h,k,s,$,COPY	g,l,z,h
g,l,z,h,&,g,s,z,h,#,t,u,m,e,g,s,z,h,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,g,l,z,h
g,p,s,a,&,g,p,h,a,#,g,p,h,a,$,COPY	g,p,s,a
g,p,s,a,&,g,o,s,a,#,w,a,t,a,g,o,s,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,g,p,s,a
g,u,s,a,&,g,u,t,a,#,u,n,a,g,u,t,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,g,u,s,a
g,u,s,a,&,r,u,s,a,#,t,u,h,u,r,u,s,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,g,u,s,a
g,a,s,a,&,r,j,s,a,#,r,j,s,a,$,COPY	g,a,s,a
g,a,s,a,&,g,a,p,a,#,u,a,g,a,p,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,g,a,s,a
g,u,s,a,&,g,u,s,b,#,a,n,g,e,g,u,s,b,$,V,FIN,COND,SG,3,PRS	a,n,g,e,g,u,s,a
n,f,s,t,&,n,w,s,t,#,n,w,s,t,$,COPY	n,f,s,t
n,f,s,t,&,n,f,s,n,#,a,l,i,n,f,s,n,$,V,FIN,IND,SG,3,PST	a,l,i,n,f,s,t
a,u,s,a,&,a,u,s,d,#,k,u,a,u,s,d,$,V,FIN	k,u,a,u,s,a
b,u,w,a,&,b,p,w,a,#,n,i,n,g,a,l,i,b,p,w,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,b,u,w,a
g,u,s,l,&,m,u,s,l,#,m,h,u,m,u,s,l,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,g,u,s,l
a,s,s,a,&,w,s,s,a,#,w,s,s,a,$,COPY	a,s,s,a
a,s,s,a,&,a,y,s,a,#,a,m,e,a,y,s,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,a,s,s,a
j,u,s,a,&,r,u,s,a,#,m,l,i,r,u,s,a,$,V,FIN,IND,PL,2,PST	m,l,i,j,u,s,a
t,u,f,n,&,t,n,f,n,#,t,n,f,n,$,COPY	t,u,f,n
t,u,f,n,&,s,u,f,n,#,a,n,g,a,l,i,s,u,f,n,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,t,u,f,n
l,u,s,a,&,m,y,z,d,#,m,y,z,d,$,COPY	l,u,s,a
l,u,s,a,&,o,r,s,a,#,w,a,a,o,r,s,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,l,u,s,a
g,u,s,i,&,g,g,s,i,#,a,h,u,g,g,s,i,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,g,u,s,i
a,u,u,l,&,a,u,g,l,#,a,u,g,l,$,COPY	a,u,u,l
a,u,u,l,&,j,u,o,l,#,u,h,u,j,u,o,l,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,a,u,u,l
g,u,a,a,&,g,u,a,l,#,w,a,n,a,g,u,a,l,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,g,u,a,a
g,u,s,s,&,k,n,s,s,#,k,n,s,s,$,COPY	g,u,s,s
g,u,s,s,&,g,p,s,z,#,m,m,e,g,p,s,z,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,g,u,s,s
g,t,l,o,&,g,t,g,o,#,g,t,g,o,$,COPY	g,t,l,o
g,t,l,o,&,g,a,l,o,#,t,u,t,a,g,a,l,o,$,V,FIN,IND,PL,1,FUT	t,u,t,a,g,t,l,o
g,u,s,r,&,g,l,s,r,#,g,l,s,r,$,COPY	g,u,s,r
g,u,s,r,&,g,u,l,r,#,w,a,n,g,a,l,i,g,u,l,r,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,g,u,s,r
r,u,y,a,&,d,u,i,a,#,d,u,i,a,$,COPY	r,u,y,a
r,u,y,a,&,r,u,y,c,#,a,t,a,r,u,y,c,$,V,FIN,IND,SG,3,FUT	a,t,a,r,u,y,a
s,d,s,a,&,s,g,s,m,#,s,g,s,m,$,COPY	s,d,s,a
s,d,s,a,&,n,d,w,a,#,w,a,m,e,n,d,w,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,s,d,s,a
r,u,s,y,&,r,u,l,y,#,r,u,l,y,$,COPY	r,u,s,y
r,u,s,y,&,e,y,s,y,#,u,l,i,e,y,s,y,$,V,FIN,IND,SG,2,PST	u,l,i,r,u,s,y
g,k,s,a,&,g,i,g,a,#,g,i,g,a,$,COPY	g,k,s,a
g,k,s,a,&,r,k,s,k,#,n,i,n,g,e,r,k,s,k,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,g,k,s,a
g,u,s,a,&,p,u,s,m,#,w,a,l,i,p,u,s,m,$,V,FIN,IND,PL,3,PST	w,a,l,i,g,u,s,a
o,u,s,z,&,b,u,y,z,#,b,u,y,z,$,COPY	o,u,s,z
o,u,s,z,&,o,h,s,z,#,m,a,o,h,s,z,$,V,INDF,FIN,IND,PL,2,PRS	m,a,o,u,s,z
g,u,s,a,&,w,e,s,m,#,m,n,g,e,w,e,s,m,$,V,FIN,COND,PL,2,PRS	m,n,g,e,g,u,s,a
g,u,s,l,&,h,s,s,l,#,n,i,m,e,h,s,s,l,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,g,u,s,l
t,r,k,i,s,a,&,t,m,k,i,s,a,#,t,m,k,i,s,a,$,COPY	t,r,k,i,s,a
t,r,k,i,s,a,&,t,r,k,i,d,a,#,w,a,n,g,e,t,r,k,i,d,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,t,r,k,i,s,a
t,o,e,b,s,a,&,t,o,e,j,s,a,#,t,o,e,j,s,a,$,COPY	t,o,e,b,s,a
t,o,e,b,s,a,&,t,k,e,b,s,a,#,a,h,u,t,k,e,b,s,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,t,o,e,b,s,a
t,i,k,i,s,a,&,t,i,c,i,s,a,#,m,a,t,i,c,i,s,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,t,i,k,i,s,a
t,i,k,n,y,a,&,t,j,d,n,y,a,#,t,j,d,n,y,a,$,COPY	t,i,k,n,y,a
t,i,k,n,y,a,&,t,i,k,n,k,a,#,t,u,a,t,i,k,n,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,t,i,k,n,y,a
t,h,k,i,s,a,&,t,h,k,i,l,a,#,t,h,k,i,l,a,$,COPY	t,h,k,i,s,a
t,h,k,i,s,a,&,t,h,m,g,s,a,#,t,u,h,u,t,h,m,g,s,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,t,h,k,i,s,a
t,s,p,p,s,a,&,t,i,p,p,y,a,#,t,i,p,p,y,a,$,COPY	t,s,p,p,s,a
t,s,p,p,s,a,&,t,s,l,p,s,a,#,n,i,n,g,e,t,s,l,p,s,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,t,s,p,p,s,a
t,z,c,n,a,a,&,t,z,m,n,e,a,#,t,z,m,n,e,a,$,COPY	t,z,c,n,a,a
t,z,c,n,a,a,&,t,z,g,n,a,a,#,a,n,g,a,l,i,t,z,g,n,a,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,t,z,c,n,a,a
t,i,y,s,s,a,&,t,n,y,s,h,a,#,t,n,y,s,h,a,$,COPY	t,i,y,s,s,a
t,i,y,s,s,a,&,t,i,y,i,s,a,#,u,l,i,t,i,y,i,s,a,$,V,FIN,IND,SG,2,PST	u,l,i,t,i,y,s,s,a
t,i,m,i,s,a,&,t,i,m,s,s,a,#,t,i,m,s,s,a,$,COPY	t,i,m,i,s,a
t,i,m,i,s,a,&,t,i,m,i,a,a,#,u,m,e,t,i,m,i,a,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,t,i,m,i,s,a
t,a,u,e,s,a,&,t,z,u,e,s,a,#,t,z,u,e,s,a,$,COPY	t,a,u,e,s,a
t,a,u,e,s,a,&,t,a,u,e,o,a,#,a,n,a,t,a,u,e,o,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,t,a,u,e,s,a
