l,i,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,l,i,a
f,u,n,g,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,f,u,n,g,a
f,u,n,g,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,f,u,n,g,a
f,u,n,g,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,f,u,n,g,a
f,u,n,g,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,f,u,n,g,a
f,u,n,g,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,f,u,n,g,a
f,u,n,g,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,f,u,n,g,a
f,u,n,g,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,f,u,n,g,a
f,u,n,g,a,$,V,FIN,IND,SG,3,PST	a,l,i,f,u,n,g,a
f,u,n,g,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,f,u,n,g,a
f,u,n,g,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,f,u,n,g,a
f,u,n,g,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,f,u,n,g,a
f,u,n,g,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,f,u,n,g,a
f,u,n,g,a,$,V,FIN,IND,SG,2,PST	u,l,i,f,u,n,g,a
f,u,n,g,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,f,u,n,g,a
f,u,n,g,a,$,V,FIN,IND,SG,3,FUT	a,t,a,f,u,n,g,a
m,w,i,t,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,m,w,i,t,a
m,w,i,t,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,SG,3,PST	a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,m,w,i,t,a
m,w,i,t,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,SG,3,FUT	a,t,a,m,w,i,t,a
m,w,i,t,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,m,w,i,t,a
m,w,i,t,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,m,w,i,t,a
m,w,i,t,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,m,w,i,t,a
m,w,i,t,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,m,w,i,t,a
m,w,i,t,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,m,w,i,t,a
m,w,i,t,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,SG,2,FUT	u,t,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,PL,2,FUT	m,t,a,m,w,i,t,a
m,w,i,t,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,m,w,i,t,a
m,w,i,t,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,m,w,i,t,a
m,w,i,t,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,m,w,i,t,a
m,w,i,t,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,m,w,i,t,a
m,w,i,t,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,m,w,i,t,a
m,w,i,t,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,m,w,i,t,a
m,w,i,t,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,m,w,i,t,a
m,w,i,t,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,SG,2,PST	u,l,i,m,w,i,t,a
m,w,i,t,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,m,w,i,t,a
m,w,i,t,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,m,w,i,t,a
m,w,i,t,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,m,w,i,t,a
m,w,i,t,a,$,V,FIN	k,u,m,w,i,t,a
m,w,i,t,a,$,V,FIN,IND,PL,2,PST	m,l,i,m,w,i,t,a
m,w,i,t,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,m,w,i,t,a
k,o,p,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,k,o,p,a
k,o,p,a,$,V,FIN,IND,SG,3,PST	a,l,i,k,o,p,a
k,o,p,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,k,o,p,a
k,o,p,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,k,o,p,a
k,o,p,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,k,o,p,a
k,o,p,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,k,o,p,a
k,o,p,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,k,o,p,a
k,o,p,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,k,o,p,a
k,o,p,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,k,o,p,a
k,o,p,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,k,o,p,a
k,o,p,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,k,o,p,a
k,o,p,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,k,o,p,a
k,o,p,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,k,o,p,a
k,o,p,a,$,V,FIN,IND,PL,2,FUT	m,t,a,k,o,p,a
k,o,p,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,k,o,p,a
k,o,p,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,k,o,p,a
k,o,p,a,$,V,FIN,IND,SG,3,FUT	a,t,a,k,o,p,a
k,o,p,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,k,o,p,a
k,o,p,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,k,o,p,a
k,o,p,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,k,o,p,a
k,o,p,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,k,o,p,a
k,o,p,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,k,o,p,a
k,o,p,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,k,o,p,a
k,o,p,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,k,o,p,a
k,o,p,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,k,o,p,a
k,o,p,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,k,o,p,a
k,o,p,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,k,o,p,a
k,o,p,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,k,o,p,a
k,o,p,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,k,o,p,a
k,o,p,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,k,o,p,a
k,o,p,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,k,o,p,a
k,o,p,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,k,o,p,a
k,o,p,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,k,o,p,a
k,o,p,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,k,o,p,a
k,o,p,a,$,V,FIN,IND,SG,2,FUT	u,t,a,k,o,p,a
k,o,p,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,k,o,p,a
k,o,p,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,k,o,p,a
k,o,p,a,$,V,FIN	k,u,k,o,p,a
k,o,p,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,k,o,p,a
k,o,p,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,k,o,p,a
k,o,p,a,$,V,FIN,IND,PL,2,PST	m,l,i,k,o,p,a
k,o,p,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,k,o,p,a
k,o,p,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,k,o,p,a
k,o,p,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,k,o,p,a
k,o,p,a,$,V,FIN,IND,SG,2,PST	u,l,i,k,o,p,a
k,o,p,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,k,o,p,a
k,o,p,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,k,o,p,a
k,o,p,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,k,o,p,a
k,o,p,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,k,o,p,a
j,i,s,i,k,i,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,SG,2,FUT	u,t,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,SG,3,PST	a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,PL,2,FUT	m,t,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,SG,2,PST	u,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN	k,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,PL,2,PST	m,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,SG,3,FUT	a,t,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,j,i,s,i,k,i,a
j,i,s,i,k,i,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,j,i,s,i,k,i,a
e,n,d,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,e,n,d,a
e,n,d,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,e,n,d,a
e,n,d,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,e,n,d,a
e,n,d,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,e,n,d,a
e,n,d,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,e,n,d,a
e,n,d,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,e,n,d,a
e,n,d,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,e,n,d,a
e,n,d,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,e,n,d,a
e,n,d,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,e,n,d,a
e,n,d,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,e,n,d,a
e,n,d,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,e,n,d,a
e,n,d,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,e,n,d,a
e,n,d,a,$,V,FIN,IND,SG,2,FUT	u,t,a,e,n,d,a
e,n,d,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,e,n,d,a
e,n,d,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,e,n,d,a
e,n,d,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,e,n,d,a
e,n,d,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,e,n,d,a
e,n,d,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,e,n,d,a
e,n,d,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,e,n,d,a
e,n,d,a,$,V,FIN,IND,PL,2,FUT	m,t,a,e,n,d,a
e,n,d,a,$,V,FIN,IND,PL,2,PST	m,l,i,e,n,d,a
e,n,d,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,e,n,d,a
e,n,d,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,e,n,d,a
e,n,d,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,e,n,d,a
e,n,d,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,e,n,d,a
e,n,d,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,e,n,d,a
e,n,d,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,e,n,d,a
e,n,d,a,$,V,FIN	k,u,e,n,d,a
e,n,d,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,e,n,d,a
e,n,d,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,e,n,d,a
e,n,d,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,e,n,d,a
e,n,d,a,$,V,FIN,IND,SG,3,FUT	a,t,a,e,n,d,a
e,n,d,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,e,n,d,a
e,n,d,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,e,n,d,a
e,n,d,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,e,n,d,a
e,n,d,a,$,V,FIN,IND,SG,3,PST	a,l,i,e,n,d,a
e,n,d,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,e,n,d,a
e,n,d,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,e,n,d,a
e,n,d,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,e,n,d,a
e,n,d,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,e,n,d,a
e,n,d,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,e,n,d,a
e,n,d,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,e,n,d,a
e,n,d,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,e,n,d,a
e,n,d,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,e,n,d,a
e,n,d,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,e,n,d,a
e,n,d,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,e,n,d,a
e,n,d,a,$,V,FIN,IND,SG,2,PST	u,l,i,e,n,d,a
e,n,d,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,e,n,d,a
e,n,d,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,e,n,d,a
l,a,l,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,l,a,l,a
l,a,l,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,a,l,a
l,a,l,a,$,V,FIN,IND,SG,2,FUT	u,t,a,l,a,l,a
l,a,l,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,l,a,l,a
l,a,l,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,l,a,l,a
l,a,l,a,$,V,FIN,IND,PL,2,PST	m,l,i,l,a,l,a
l,a,l,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,l,a,l,a
l,a,l,a,$,V,FIN,IND,SG,3,PST	a,l,i,l,a,l,a
l,a,l,a,$,V,FIN,IND,SG,2,PST	u,l,i,l,a,l,a
l,a,l,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,l,a,l,a
l,a,l,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,l,a,l,a
l,a,l,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,l,a,l,a
l,a,l,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,l,a,l,a
l,a,l,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,l,a,l,a
l,a,l,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,l,a,l,a
l,a,l,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,l,a,l,a
l,a,l,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,l,a,l,a
l,a,l,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,l,a,l,a
l,a,l,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,l,a,l,a
l,a,l,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,l,a,l,a
l,a,l,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,l,a,l,a
l,a,l,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,l,a,l,a
l,a,l,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,l,a,l,a
l,a,l,a,$,V,FIN,IND,PL,2,FUT	m,t,a,l,a,l,a
l,a,l,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,l,a,l,a
l,a,l,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,l,a,l,a
l,a,l,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,l,a,l,a
l,a,l,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,l,a,l,a
l,a,l,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,l,a,l,a
l,a,l,a,$,V,FIN	k,u,l,a,l,a
l,a,l,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,l,a,l,a
l,a,l,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,l,a,l,a
l,a,l,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,l,a,l,a
l,a,l,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,l,a,l,a
l,a,l,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,l,a,l,a
l,a,l,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,l,a,l,a
l,a,l,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,l,a,l,a
l,a,l,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,l,a,l,a
l,a,l,a,$,V,FIN,IND,SG,3,FUT	a,t,a,l,a,l,a
l,a,l,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,l,a,l,a
l,a,l,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,l,a,l,a
l,a,l,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,l,a,l,a
l,a,l,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,l,a,l,a
l,a,l,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,l,a,l,a
l,a,l,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,l,a,l,a
l,a,l,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,l,a,l,a
l,a,l,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,l,a,l,a
l,a,l,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,l,a,l,a
l,a,l,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,l,a,l,a
s,h,i,n,d,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,IND,SG,2,FUT	u,t,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,IND,SG,2,PST	u,l,i,s,h,i,n,d,a
s,h,i,n,d,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN	k,u,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,IND,PL,2,PST	m,l,i,s,h,i,n,d,a
s,h,i,n,d,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,s,h,i,n,d,a
s,h,i,n,d,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,s,h,i,n,d,a
s,h,i,n,d,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,s,h,i,n,d,a
s,h,i,n,d,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,s,h,i,n,d,a
s,h,i,n,d,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,s,h,i,n,d,a
