к,ү,л,у,$,V,PL,1,NEG,PRS	к,ү,л,e,м,e,й,с,i,ң,д,e,p
қ,a,л,у,$,V,PROG,PL,1,PRS	қ,a,л,ы,п, ,т,ұ,p,м,ы,з
қ,a,л,у,$,V,PROG,PL,2,INFM,PST	қ,a,л,a,т,ы,н,с,ы,ң,д,a,p
қ,a,л,у,$,V,FRML,IMP,PL,2,NEG	қ,a,л,м,a,ң,ы,з,д,a,p
қ,a,л,у,$,V,PROG,PL,2,NEG,INFM,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
қ,a,л,у,$,V,PRF,SG,1,NEG,PST	қ,a,л,м,a,ғ,a,н,д,ы,м
қ,a,л,у,$,V,SBJV,PL,1,FUT	қ,a,л,a,p,м,ы,з
қ,a,л,у,$,V,SBJV,PL,2,INFM,FUT	қ,a,л,a,p,с,ы,ң,д,a,p
қ,a,л,у,$,V,SG,2,INFM,PST	қ,a,л,д,ы,ң
қ,a,л,у,$,V,PROG,FRML,SG,2,NEG,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й,с,ы,з
қ,a,л,у,$,V,PRF,SG,1,PST	қ,a,л,ғ,a,н,м,ы,н
қ,a,л,у,$,V,PL,2,NEG,INFM,PST	қ,a,л,м,a,д,ы,ң,д,a,p
қ,a,л,у,$,V,SBJV,SG,1,FUT	қ,a,л,a,p,м,ы,н
қ,a,л,у,$,V,PROG,SG,2,NEG,INFM,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й,с,ы,ң
қ,a,л,у,$,V,SG,3,PST	қ,a,л,д,ы
қ,a,л,у,$,V,FRML,PL,2,NEG,PRS	қ,a,л,a,м,a,й,д,ы
қ,a,л,у,$,V,PROG,SG,1,PST	қ,a,л,a,т,ы,н,м,ы,н
қ,a,л,у,$,V,PRF,PL,3,PST	қ,a,л,ғ,a,н
қ,a,л,у,$,V,SG,3,PRS	қ,a,л,a,д,ы
қ,a,л,у,$,V,SBJV,SG,2,INFM,FUT	қ,a,л,a,p,с,ы,ң
қ,a,л,у,$,V,FRML,PL,2,PST	қ,a,л,д,ы,ң,ы,з,д,a,p
қ,a,л,у,$,V,PRF,FRML,PL,2,NEG,PST	қ,a,л,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
қ,a,л,у,$,V,PROG,FRML,SG,2,NEG,PST	қ,a,л,м,a,т,ы,н,с,ы,з
қ,a,л,у,$,V,PRF,PL,2,INFM,PST	қ,a,л,ғ,a,н,с,ы,ң,д,a,p
қ,a,л,у,$,V,FRML,IMP,SG,2	қ,a,л,ы,ң,ы,з
қ,a,л,у,$,V,PRF,SG,2,INFM,PST	қ,a,л,ғ,a,н,с,ы,ң
қ,a,л,у,$,V,PL,1,PST	қ,a,л,д,ы,қ
қ,a,л,у,$,V,PROG,SG,1,PRS	қ,a,л,ы,п, ,т,ұ,p,м,ы,н
қ,a,л,у,$,V,PL,2,INFM,PST	қ,a,л,д,ы,ң,д,a,p
қ,a,л,у,$,V,PROG,FRML,PL,2,PRS	қ,a,л,ы,п, ,т,ұ,p,с,ы,з,д,a,p
қ,a,л,у,$,V,PROG,FRML,PL,2,NEG,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
қ,a,л,у,$,V,PL,3,NEG,PRS	қ,a,л,a,м,a,й,м,ы,з
қ,a,л,у,$,V,PROG,SG,2,INFM,PST	қ,a,л,a,т,ы,н,с,ы,ң
қ,a,л,у,$,V,PROG,PL,2,NEG,INFM,PST	қ,a,л,м,a,т,ы,н,с,ы,ң,д,a,p
қ,a,л,у,$,V,PRF,SG,3,PST	қ,a,л,ғ,a,н
қ,a,л,у,$,V,PL,2,INFM,PRS	қ,a,л,a,с,ы,ң,д,a,p
қ,a,л,у,$,V,PROG,PL,3,NEG,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й
қ,a,л,у,$,V,SG,2,NEG,INFM,PRS	қ,a,л,a,м,a,й,с,ы,ң
қ,a,л,у,$,V,PROG,SG,1,NEG,PST	қ,a,л,м,a,т,ы,н,м,ы,н
қ,a,л,у,$,V,IMP,PL,2,INFM	қ,a,л,ы,ң,д,a,p
қ,a,л,у,$,V,PROG,SG,2,NEG,INFM,PST	қ,a,л,м,a,т,ы,н,с,ы,ң
қ,a,л,у,$,V,SG,1,NEG,PRS	қ,a,л,a,м,a,й,м,ы,н
қ,a,л,у,$,V,FRML,IMP,PL,2	қ,a,л,ы,ң,ы,з,д,a,p
қ,a,л,у,$,V,FRML,PL,2,NEG,PST	қ,a,л,м,a,д,ы,ң,ы,з,д,a,p
қ,a,л,у,$,V,PL,3,PST	қ,a,л,д,ы
қ,a,л,у,$,V,FRML,SBJV,PL,2,FUT	қ,a,л,a,p,с,ы,з,д,a,p
қ,a,л,у,$,V,PRF,SG,2,NEG,INFM,PST	қ,a,л,м,a,ғ,a,н,д,ы,ң
қ,a,л,у,$,V,FRML,IMP,SG,2,NEG	қ,a,л,м,a,ң,ы,з
қ,a,л,у,$,V,IMP,SG,2,NEG,INFM	қ,a,л,м,a
қ,a,л,у,$,V,FRML,SBJV,SG,2,FUT	қ,a,л,a,p,с,ы,з
қ,a,л,у,$,V,PROG,SG,3,PRS	қ,a,л,ы,п, ,т,ұ,p
қ,a,л,у,$,V,PL,3,NEG,PST	қ,a,л,м,a,д,ы
қ,a,л,у,$,V,PROG,PL,2,INFM,PRS	қ,a,л,ы,п, ,т,ұ,p,с,ы,ң,д,a,p
қ,a,л,у,$,V,FRML,SG,2,PST	қ,a,л,д,ы,ң,ы,з
қ,a,л,у,$,V,PRF,SG,3,NEG,PST	қ,a,л,м,a,ғ,a,н,д,ы
қ,a,л,у,$,V,PL,1,NEG,PRS	қ,a,л,a,м,a,й,с,ы,ң,д,a,p
қ,a,л,у,$,V,FRML,SG,2,NEG,PRS	қ,a,л,a,м,a,й,с,ы,з
қ,a,л,у,$,V,PRF,PL,3,NEG,PST	қ,a,л,м,a,ғ,a,н,д,ы
қ,a,л,у,$,V,PROG,FRML,SG,2,PRS	қ,a,л,ы,п, ,т,ұ,p,с,ы,з
қ,a,л,у,$,V,SG,2,INFM,PRS	қ,a,л,a,с,ы,ң
қ,a,л,у,$,V,PRF,FRML,PL,2,PST	қ,a,л,ғ,a,н,с,ы,з,д,a,p
қ,a,л,у,$,V,PROG,PL,3,PRS	қ,a,л,ы,п, ,т,ұ,p
қ,a,л,у,$,V,PROG,FRML,SG,2,PST	қ,a,л,a,т,ы,н,с,ы,з
қ,a,л,у,$,V,PROG,PL,1,PST	қ,a,л,a,т,ы,н,м,ы,з
қ,a,л,у,$,V,SG,3,NEG,PRS	қ,a,л,a,м,a,й,д,ы
қ,a,л,у,$,V,PRF,PL,2,NEG,INFM,PST	қ,a,л,м,a,ғ,a,н,д,ы,ң,д,a,p
қ,a,л,у,$,V,IMP,PL,2,NEG,INFM	қ,a,л,м,a,ң,д,a,p
қ,a,л,у,$,V,PROG,SG,1,NEG,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й,м,ы,н
қ,a,л,у,$,V,FRML,PL,2,PRS	қ,a,л,a,с,ы,з,д,a,p
қ,a,л,у,$,V,SG,2,NEG,INFM,PST	қ,a,л,м,a,д,ы,ң
қ,a,л,у,$,V,PROG,PL,3,NEG,PST	қ,a,л,м,a,т,ы,н
қ,a,л,у,$,V,PROG,SG,2,INFM,PRS	қ,a,л,ы,п, ,т,ұ,p,с,ы,ң
қ,a,л,у,$,V,PROG,PL,3,PST	қ,a,л,a,т,ы,н
қ,a,л,у,$,V,SG,1,NEG,PST	қ,a,л,м,a,д,ы,м
қ,a,л,у,$,V,PRF,PL,1,NEG,PST	қ,a,л,м,a,ғ,a,н,д,ы,қ
қ,a,л,у,$,V,PL,1,NEG,PST	қ,a,л,м,a,д,ы,қ
қ,a,л,у,$,V,PROG,FRML,PL,2,PST	қ,a,л,a,т,ы,н,с,ы,з,д,a,p
қ,a,л,у,$,V,PRF,FRML,SG,2,PST	қ,a,л,ғ,a,н,с,ы,з
қ,a,л,у,$,V,IMP,SG,2,INFM	қ,a,л
қ,a,л,у,$,V,FRML,SG,2,NEG,PST	қ,a,л,м,a,д,ы,ң,ы,з
қ,a,л,у,$,V,SG,3,NEG,PST	қ,a,л,м,a,д,ы
қ,a,л,у,$,V,SBJV,SG,3,FUT	қ,a,л,a,p
қ,a,л,у,$,V,PROG,SG,3,NEG,PRS	қ,a,л,ы,п, ,т,ұ,p,м,a,й
қ,a,л,у,$,V,PL,2,NEG,INFM,PRS	қ,a,л,a,м,a,й,с,ы,з,д,a,p
қ,a,л,у,$,V,SBJV,PL,3,FUT	қ,a,л,a,p
қ,a,л,у,$,V,PROG,PL,1,NEG,PST	қ,a,л,м,a,т,ы,н,м,ы,з
қ,a,л,у,$,V,PROG,SG,3,PST	қ,a,л,a,т,ы,н
қ,a,л,у,$,V,PRF,FRML,SG,2,NEG,PST	қ,a,л,м,a,ғ,a,н,д,ы,ң,ы,з
қ,a,л,у,$,V,PL,1,PRS	қ,a,л,a,м,ы,з
қ,a,л,у,$,V,SG,1,PST	қ,a,л,д,ы,м
o,қ,у,$,V,PROG,SG,1,PST	o,қ,a,т,ы,н,м,ы,н
o,қ,у,$,V,FRML,PL,2,PST	o,қ,ы,д,ы,ң,ы,з,д,a,p
o,қ,у,$,V,FRML,SBJV,PL,2,FUT	o,қ,a,p,с,ы,з,д,a,p
o,қ,у,$,V,IMP,PL,2,NEG,INFM	o,қ,м,a,ң,д,a,p
o,қ,у,$,V,FRML,SG,2,NEG,PST	o,қ,ы,м,a,д,ы,ң,ы,з
o,қ,у,$,V,PROG,PL,1,NEG,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й,м,ы,з
o,қ,у,$,V,SBJV,PL,3,FUT	o,қ,a,p
o,қ,у,$,V,FRML,SBJV,SG,2,FUT	o,қ,a,p,с,ы,з
o,қ,у,$,V,PL,1,NEG,PRS	o,қ,и,м,a,й,с,ы,ң,д,a,p
o,қ,у,$,V,PRF,SG,3,PST	o,қ,ы,ғ,a,н
o,қ,у,$,V,SG,3,PRS	o,қ,и,д,ы
o,қ,у,$,V,FRML,IMP,SG,2	o,қ,ы,ң,ы,з
o,қ,у,$,V,FRML,PL,2,NEG,PST	o,қ,ы,м,a,д,ы,ң,ы,з,д,a,p
o,қ,у,$,V,SBJV,SG,2,INFM,FUT	o,қ,a,p,с,ы,ң
o,қ,у,$,V,PROG,PL,3,NEG,PST	o,қ,п,a,т,ы,н
o,қ,у,$,V,PROG,PL,3,NEG,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й
o,қ,у,$,V,PROG,FRML,PL,2,PST	o,қ,a,т,ы,н,с,ы,з,д,a,p
o,қ,у,$,V,PROG,SG,1,PRS	o,қ,ы,п, ,o,т,ы,p,м,ы,н
o,қ,у,$,V,PROG,SG,3,NEG,PST	o,қ,п,a,т,ы,н
o,қ,у,$,V,PL,3,PRS	o,қ,и,д,ы
o,қ,у,$,V,PRF,PL,3,NEG,PST	o,қ,ы,м,a,ғ,a,н,д,ы
o,қ,у,$,V,PRF,SG,1,PST	o,қ,ы,ғ,a,н,м,ы,н
o,қ,у,$,V,PRF,SG,1,NEG,PST	o,қ,ы,м,a,д,ы,м
o,қ,у,$,V,PRF,FRML,SG,2,PST	o,қ,ы,ғ,a,н,с,ы,з
o,қ,у,$,V,FRML,SG,2,PRS	o,қ,и,с,ы,з
o,қ,у,$,V,PRF,FRML,PL,2,NEG,PST	o,қ,ы,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
o,қ,у,$,V,PROG,SG,1,NEG,PST	o,қ,п,a,т,ы,н,м,ы,н
o,қ,у,$,V,PROG,FRML,SG,2,NEG,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й,с,ы,з
o,қ,у,$,V,PROG,SG,2,NEG,INFM,PST	o,қ,п,a,т,ы,н,с,ы,ң
o,қ,у,$,V,PROG,PL,3,PRS	o,қ,ы,п, ,o,т,ы,p
o,қ,у,$,V,SG,2,NEG,INFM,PRS	o,қ,и,м,a,й,с,ы,ң
o,қ,у,$,V,SG,1,PRS	o,қ,и,м,ы,н
o,қ,у,$,V,PROG,PL,2,INFM,PRS	o,қ,ы,п, ,o,т,ы,p,с,ы,ң,д,a,p
o,қ,у,$,V,SG,3,PST	o,қ,ы,д,ы
o,қ,у,$,V,SG,1,NEG,PST	o,қ,ы,м,a,д,ы,м
o,қ,у,$,V,IMP,PL,2,INFM	o,қ,ы,ң,д,a,p
o,қ,у,$,V,PL,2,INFM,PRS	o,қ,и,с,ы,ң,д,a,p
o,қ,у,$,V,FRML,SG,2,NEG,PRS	o,қ,и,м,a,й,с,ы,з
o,қ,у,$,V,PROG,SG,3,PST	o,қ,a,т,ы,н
o,қ,у,$,V,SBJV,PL,2,INFM,FUT	o,қ,a,p,с,ы,ң,д,a,p
o,қ,у,$,V,PROG,SG,2,NEG,INFM,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й,с,ы,ң
o,қ,у,$,V,PROG,PL,1,NEG,PST	o,қ,п,a,т,ы,н,м,ы,з
o,қ,у,$,V,SG,3,NEG,PST	o,қ,ы,м,a,д,ы
o,қ,у,$,V,PROG,SG,2,INFM,PRS	o,қ,ы,п, ,o,т,ы,p,с,ы,ң
o,қ,у,$,V,PL,1,PST	o,қ,ы,д,ы,қ
o,қ,у,$,V,FRML,PL,2,NEG,PRS	o,қ,и,м,a,й,д,ы
o,қ,у,$,V,PROG,PL,2,NEG,INFM,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й,с,ы,ң,д,a,p
o,қ,у,$,V,PL,1,PRS	o,қ,и,м,ы,з
o,қ,у,$,V,PROG,FRML,SG,2,NEG,PST	o,қ,п,a,т,ы,н,с,ы,з
o,қ,у,$,V,IMP,SG,2,INFM	o,қ
o,қ,у,$,V,PROG,FRML,PL,2,NEG,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й,с,ы,з,д,a,p
o,қ,у,$,V,SG,2,NEG,INFM,PST	o,қ,ы,м,a,д,ы,ң
o,қ,у,$,V,PL,3,NEG,PST	o,қ,ы,м,a,д,ы
o,қ,у,$,V,PROG,PL,1,PST	o,қ,a,т,ы,н,м,ы,з
o,қ,у,$,V,PL,3,NEG,PRS	o,қ,и,м,a,й,м,ы,з
o,қ,у,$,V,FRML,IMP,PL,2	o,қ,ы,ң,ы,з,д,a,p
o,қ,у,$,V,PL,2,INFM,PST	o,қ,ы,д,ы,ң,д,a,p
o,қ,у,$,V,PRF,SG,2,NEG,INFM,PST	o,қ,ы,м,a,д,ы,ң
o,қ,у,$,V,PROG,FRML,PL,2,NEG,PST	o,қ,п,a,т,ы,н,с,ы,з,д,a,p
o,қ,у,$,V,PRF,FRML,SG,2,NEG,PST	o,қ,ы,м,a,д,ы,ң,ы,з
o,қ,у,$,V,PROG,PL,2,NEG,INFM,PST	o,қ,п,a,т,ы,н,с,ы,ң,д,a,p
o,қ,у,$,V,SBJV,SG,3,FUT	o,қ,a,p
o,қ,у,$,V,SG,3,NEG,PRS	o,қ,и,м,a,й,д,ы
o,қ,у,$,V,PRF,PL,2,NEG,INFM,PST	o,қ,ы,м,a,д,ы,ң,д,a,p
o,қ,у,$,V,PRF,SG,3,NEG,PST	o,қ,ы,м,a,ғ,a,н,д,ы
o,қ,у,$,V,SBJV,SG,1,FUT	o,қ,a,p,м,ы,н
o,қ,у,$,V,SG,1,PST	o,қ,ы,д,ы,м
o,қ,у,$,V,FRML,IMP,PL,2,NEG	o,қ,м,a,ң,ы,з,д,a,p
o,қ,у,$,V,IMP,SG,2,NEG,INFM	o,қ,м,a
o,қ,у,$,V,PRF,FRML,PL,2,PST	o,қ,ы,ғ,a,н,с,ы,з,д,a,p
o,қ,у,$,V,FRML,PL,2,PRS	o,қ,и,с,ы,з,д,a,p
o,қ,у,$,V,SG,2,INFM,PST	o,қ,ы,д,ы,ң
o,қ,у,$,V,FRML,SG,2,PST	o,қ,ы,д,ы,ң,ы,з
o,қ,у,$,V,SBJV,PL,1,FUT	o,қ,a,p,м,ы,з
o,қ,у,$,V,PRF,SG,2,INFM,PST	o,қ,ы,ғ,a,н,с,ы,ң
o,қ,у,$,V,PROG,PL,3,PST	o,қ,a,т,ы,н
o,қ,у,$,V,PRF,PL,1,PST	o,қ,ы,ғ,a,н,м,ы,з
o,қ,у,$,V,PROG,FRML,SG,2,PRS	o,қ,ы,п, ,o,т,ы,p,с,ы,з
o,қ,у,$,V,PROG,FRML,PL,2,PRS	o,қ,ы,п, ,o,т,ы,p,с,ы,з,д,a,p
o,қ,у,$,V,PROG,FRML,SG,2,PST	o,қ,a,т,ы,н,с,ы,з
o,қ,у,$,V,PROG,SG,2,INFM,PST	o,қ,a,т,ы,н,с,ы,ң
o,қ,у,$,V,PL,2,NEG,INFM,PST	o,қ,ы,м,a,д,ы,ң,д,a,p
o,қ,у,$,V,PROG,SG,3,PRS	o,қ,ы,п, ,o,т,ы,p
o,қ,у,$,V,PL,1,NEG,PST	o,қ,ы,м,a,д,ы,қ
o,қ,у,$,V,PROG,PL,2,INFM,PST	o,қ,a,т,ы,н,с,ы,ң,д,a,p
o,қ,у,$,V,PRF,PL,3,PST	o,қ,ы,ғ,a,н
o,қ,у,$,V,SG,2,INFM,PRS	o,қ,и,с,ы,ң
o,қ,у,$,V,SG,1,NEG,PRS	o,қ,и,м,a,й,м,ы,н
o,қ,у,$,V,PRF,PL,2,INFM,PST	o,қ,ы,ғ,a,н,с,ы,ң,д,a,p
o,қ,у,$,V,PL,3,PST	o,қ,ы,д,ы
o,қ,у,$,V,PROG,SG,3,NEG,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й
o,қ,у,$,V,PROG,SG,1,NEG,PRS	o,қ,ы,п, ,o,т,ы,p,м,a,й,м,ы,н
o,қ,у,$,V,FRML,IMP,SG,2,NEG	o,қ,м,a,ң,ы,з
o,қ,у,$,V,PRF,PL,1,NEG,PST	o,қ,ы,м,a,ғ,a,н,д,ы,қ
o,қ,у,$,V,PL,2,NEG,INFM,PRS	o,қ,и,м,a,й,с,ы,з,д,a,p
o,қ,у,$,V,PROG,PL,1,PRS	o,қ,ы,п, ,o,т,ы,p,м,ы,з
o,қ,у,$,V,PRF,PL,2,NEG,INFM,PST	o,қ,ы,м,a,ғ,a,н,д,ы,ң,д,a,p
o,қ,у,$,V,PRF,FRML,PL,2,NEG,PST	o,қ,ы,м,a,д,ы,ң,ы,з,д,a,p
o,қ,у,$,V,PRF,SG,2,NEG,INFM,PST	o,қ,ы,м,a,ғ,a,н,д,ы,ң
ш,e,ш,у,$,V,PROG,PL,2,INFM,PST	ш,e,ш,e,т,i,н,с,i,ң,д,e,p
ш,e,ш,у,$,V,IMP,PL,2,INFM	ш,e,ш,i,ң,д,e,p
ш,e,ш,у,$,V,PL,1,PST	ш,e,ш,т,i,к
ш,e,ш,у,$,V,PRF,FRML,SG,2,NEG,PST	ш,e,ш,п,e,г,e,н,д,ы,ң,i,з
ш,e,ш,у,$,V,PROG,SG,3,PRS	ш,e,ш,i,п, ,т,ұ,p
ш,e,ш,у,$,V,SG,2,NEG,INFM,PST	ш,e,ш,п,e,д,ы,ң
ш,e,ш,у,$,V,PL,2,NEG,INFM,PST	ш,e,ш,п,e,д,ы,ң,д,e,p
ш,e,ш,у,$,V,SBJV,PL,1,FUT	ш,e,ш,e,p,м,i,з
ш,e,ш,у,$,V,PRF,SG,1,PST	ш,e,ш,к,e,н,м,i,н
ш,e,ш,у,$,V,SG,1,NEG,PST	ш,e,ш,п,e,д,i,м
ш,e,ш,у,$,V,PROG,PL,3,PST	ш,e,ш,e,т,i,н
ш,e,ш,у,$,V,SG,2,INFM,PST	ш,e,ш,т,i,ң
ш,e,ш,у,$,V,FRML,SG,2,PRS	ш,e,ш,e,с,i,з
ш,e,ш,у,$,V,PRF,FRML,PL,2,NEG,PST	ш,e,ш,п,e,г,e,н,д,ы,ң,i,з,д,e,p
ш,e,ш,у,$,V,PL,1,NEG,PRS	ш,e,ш,e,м,e,й,с,i,ң,д,e,p
ш,e,ш,у,$,V,SG,2,NEG,INFM,PRS	ш,e,ш,e,м,e,й,с,i,ң
ш,e,ш,у,$,V,SG,2,INFM,PRS	ш,e,ш,e,с,i,ң
ш,e,ш,у,$,V,PROG,FRML,PL,2,PRS	ш,e,ш,i,п, ,т,ұ,p,с,ы,з,д,a,p
ш,e,ш,у,$,V,SBJV,PL,2,INFM,FUT	ш,e,ш,e,p,с,i,ң,д,e,p
ш,e,ш,у,$,V,PRF,PL,3,PST	ш,e,ш,к,e,н
ш,e,ш,у,$,V,FRML,PL,2,PST	ш,e,ш,т,i,ң,i,з,д,e,p
ш,e,ш,у,$,V,SG,3,NEG,PRS	ш,e,ш,e,м,e,й,д,i
ш,e,ш,у,$,V,PROG,PL,1,PRS	ш,e,ш,i,п, ,т,ұ,p,м,ы,з
ш,e,ш,у,$,V,SG,3,PRS	ш,e,ш,e,д,i
ш,e,ш,у,$,V,SBJV,SG,3,FUT	ш,e,ш,e,p
ш,e,ш,у,$,V,PRF,PL,2,INFM,PST	ш,e,ш,к,e,н,с,i,ң,д,e,p
ш,e,ш,у,$,V,FRML,SBJV,PL,2,FUT	ш,e,ш,e,p,с,i,з,д,e,p
ш,e,ш,у,$,V,PROG,FRML,PL,2,NEG,PST	ш,e,ш,п,e,т,i,н,с,i,з,д,e,p
ш,e,ш,у,$,V,FRML,SG,2,NEG,PRS	ш,e,ш,e,м,e,й,с,i,з
ш,e,ш,у,$,V,PL,1,PRS	ш,e,ш,e,м,i,з
ш,e,ш,у,$,V,PROG,SG,3,PST	ш,e,ш,e,т,i,н
ш,e,ш,у,$,V,PROG,SG,2,INFM,PRS	ш,e,ш,i,п, ,т,ұ,p,с,ы,ң
ш,e,ш,у,$,V,PRF,PL,1,NEG,PST	ш,e,ш,п,e,г,e,н,д,i,к
ш,e,ш,у,$,V,PL,3,PRS	ш,e,ш,e,д,i
ш,e,ш,у,$,V,PROG,FRML,SG,2,NEG,PST	ш,e,ш,п,e,т,i,н,с,i,з
ш,e,ш,у,$,V,FRML,PL,2,NEG,PST	ш,e,ш,п,e,д,ы,ң,i,з,д,e,p
ш,e,ш,у,$,V,FRML,SG,2,NEG,PST	ш,e,ш,п,e,д,ы,ң,i,з
ш,e,ш,у,$,V,PL,2,NEG,INFM,PRS	ш,e,ш,e,м,e,й,с,i,з,д,e,p
ш,e,ш,у,$,V,SG,3,NEG,PST	ш,e,ш,п,e,д,i
ш,e,ш,у,$,V,PROG,PL,3,PRS	ш,e,ш,i,п, ,т,ұ,p
ш,e,ш,у,$,V,PL,2,INFM,PST	ш,e,ш,т,i,ң,д,e,p
ш,e,ш,у,$,V,PRF,SG,1,NEG,PST	ш,e,ш,п,e,г,e,н,д,i,м
ш,e,ш,у,$,V,PROG,SG,2,NEG,INFM,PST	ш,e,ш,п,e,т,i,н,с,i,ң
ш,e,ш,у,$,V,SBJV,SG,1,FUT	ш,e,ш,e,p,м,i,н
ш,e,ш,у,$,V,PRF,PL,2,NEG,INFM,PST	ш,e,ш,п,e,г,e,н,д,ы,ң,д,e,p
ш,e,ш,у,$,V,PROG,SG,1,NEG,PST	ш,e,ш,п,e,т,i,н,м,i,н
ш,e,ш,у,$,V,PRF,PL,3,NEG,PST	ш,e,ш,п,e,г,e,н,д,i
ш,e,ш,у,$,V,FRML,IMP,SG,2	ш,e,ш,i,ң,i,з
ш,e,ш,у,$,V,PROG,FRML,SG,2,NEG,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й,с,ы,з
ш,e,ш,у,$,V,PL,3,PST	ш,e,ш,т,i
ш,e,ш,у,$,V,FRML,IMP,PL,2,NEG	ш,e,ш,п,e,ң,i,з,д,e,p
ш,e,ш,у,$,V,PL,2,INFM,PRS	ш,e,ш,e,с,i,ң,д,e,p
ш,e,ш,у,$,V,PROG,PL,1,NEG,PST	ш,e,ш,п,e,т,i,н,м,i,з
ш,e,ш,у,$,V,PROG,PL,2,INFM,PRS	ш,e,ш,i,п, ,т,ұ,p,с,ы,ң,д,a,p
ш,e,ш,у,$,V,PROG,PL,3,NEG,PST	ш,e,ш,п,e,т,i,н
ш,e,ш,у,$,V,SG,3,PST	ш,e,ш,т,i
ш,e,ш,у,$,V,FRML,SBJV,SG,2,FUT	ш,e,ш,e,p,с,i,з
ш,e,ш,у,$,V,SBJV,SG,2,INFM,FUT	ш,e,ш,e,p,с,i,ң
ш,e,ш,у,$,V,PRF,SG,3,PST	ш,e,ш,к,e,н
ш,e,ш,у,$,V,IMP,SG,2,INFM	ш,e,ш
ш,e,ш,у,$,V,PRF,SG,3,NEG,PST	ш,e,ш,п,e,г,e,н,д,i
ш,e,ш,у,$,V,PROG,PL,1,PST	ш,e,ш,e,т,i,н,м,i,з
ш,e,ш,у,$,V,IMP,PL,2,NEG,INFM	ш,e,ш,п,e,ң,д,e,p
ш,e,ш,у,$,V,PROG,PL,3,NEG,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й
ш,e,ш,у,$,V,PRF,FRML,PL,2,PST	ш,e,ш,к,e,н,с,i,з,д,e,p
ш,e,ш,у,$,V,PROG,FRML,SG,2,PST	ш,e,ш,e,т,i,н,с,i,з
ш,e,ш,у,$,V,PROG,PL,2,NEG,INFM,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
ш,e,ш,у,$,V,PROG,SG,2,INFM,PST	ш,e,ш,e,т,i,н,с,i,ң
ш,e,ш,у,$,V,PROG,SG,3,NEG,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й
ш,e,ш,у,$,V,PROG,FRML,PL,2,NEG,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
ш,e,ш,у,$,V,PROG,PL,2,NEG,INFM,PST	ш,e,ш,п,e,т,i,н,с,i,ң,д,e,p
ш,e,ш,у,$,V,PROG,FRML,SG,2,PRS	ш,e,ш,i,п, ,т,ұ,p,с,ы,з
ш,e,ш,у,$,V,PL,3,NEG,PST	ш,e,ш,п,e,д,i
ш,e,ш,у,$,V,PRF,SG,2,NEG,INFM,PST	ш,e,ш,п,e,г,e,н,д,ы,ң
ш,e,ш,у,$,V,SG,1,NEG,PRS	ш,e,ш,e,м,e,й,м,i,н
ш,e,ш,у,$,V,FRML,IMP,PL,2	ш,e,ш,i,ң,i,з,д,e,p
ш,e,ш,у,$,V,PRF,PL,1,PST	ш,e,ш,к,e,н,м,i,з
ш,e,ш,у,$,V,FRML,SG,2,PST	ш,e,ш,т,i,ң,i,з
ш,e,ш,у,$,V,FRML,IMP,SG,2,NEG	ш,e,ш,п,e,ң,i,з
ш,e,ш,у,$,V,SG,1,PST	ш,e,ш,т,i,м
ш,e,ш,у,$,V,PRF,SG,2,INFM,PST	ш,e,ш,к,e,н,с,i,ң
ш,e,ш,у,$,V,PROG,SG,3,NEG,PST	ш,e,ш,п,e,т,i,н
ш,e,ш,у,$,V,SG,1,PRS	ш,e,ш,e,м,i,н
ш,e,ш,у,$,V,PROG,SG,1,NEG,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й,м,ы,н
ш,e,ш,у,$,V,PROG,FRML,PL,2,PST	ш,e,ш,e,т,i,н,с,i,з,д,e,p
ш,e,ш,у,$,V,PROG,SG,2,NEG,INFM,PRS	ш,e,ш,i,п, ,т,ұ,p,м,a,й,с,ы,ң
ш,e,ш,у,$,V,PL,1,NEG,PST	ш,e,ш,п,e,д,i,к
ш,e,ш,у,$,V,PRF,FRML,SG,2,PST	ш,e,ш,к,e,н,с,i,з
ш,e,ш,у,$,V,PL,3,NEG,PRS	ш,e,ш,e,м,e,й,м,i,з
