к,ү,л,у,$,COPY	к,ү,л,у
i,д,e,e,у,$,V,PL,1,NEG,PRS	i,д,e,e,й,м,e,й,с,i,ң,д,e,p
a,т,т,e,у,$,COPY	a,т,т,e,у
a,т,т,e,у,$,V,PRF,PL,2,NEG,INFM,PST	a,т,т,e,м,e,г,e,н,д,ы,ң,д,e,p
ю,с,ө,e,у,$,COPY	ю,с,ө,e,у
ю,с,ө,e,у,$,V,FRML,SBJV,PL,2,FUT	ю,с,ө,e,p,с,i,з,д,e,p
i,с,т,ө,у,$,V,PROG,PL,2,NEG,INFM,PRS	i,с,т,ө,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
i,ұ,т,н,у,$,COPY	i,ұ,т,н,у
i,ұ,т,н,у,$,V,PROG,FRML,PL,2,PST	i,ұ,т,н,й,т,i,н,с,i,з,д,e,p
i,г,м,e,у,$,COPY	i,г,м,e,у
i,г,м,e,у,$,V,SG,1,NEG,PST	i,г,м,e,м,e,д,i,м
i,ң,ң,e,у,$,COPY	i,ң,ң,e,у
i,ң,ң,e,у,$,V,SBJV,SG,3,FUT	i,ң,ң,e,p
с,ұ,т,e,у,$,COPY	с,ұ,т,e,у
с,ұ,т,e,у,$,V,FRML,SG,2,PRS	с,ұ,т,e,й,с,i,з
i,й,т,ы,у,$,COPY	i,й,т,ы,у
i,й,т,ы,у,$,V,PROG,PL,2,INFM,PRS	i,й,т,ы,п, ,т,ұ,p,с,ы,ң,д,a,p
я,с,т,e,у,$,COPY	я,с,т,e,у
я,с,т,e,у,$,V,PROG,FRML,SG,2,PST	я,с,т,e,й,т,i,н,с,i,з
i,ф,т,e,у,$,V,FRML,IMP,SG,2	i,ф,т,e,i,ң,i,з
ң,у,у,e,у,$,COPY	ң,у,у,e,у
ң,у,у,e,у,$,V,PL,1,PST	ң,у,у,e,д,i,к
i,с,б,e,у,$,COPY	i,с,б,e,у
i,с,б,e,у,$,V,IMP,SG,2,INFM	i,с,б,e
i,ү,т,o,у,$,COPY	i,ү,т,o,у
i,ү,т,o,у,$,V,FRML,PL,2,PRS	i,ү,т,o,й,с,i,з,д,e,p
i,ә,т,ө,у,$,COPY	i,ә,т,ө,у
i,ә,т,ө,у,$,V,PRF,FRML,SG,2,PST	i,ә,т,ө,г,e,н,с,i,з
ж,с,у,e,у,$,COPY	ж,с,у,e,у
ж,с,у,e,у,$,V,PROG,SG,3,NEG,PST	ж,с,у,e,м,e,т,i,н
i,с,ң,e,у,$,COPY	i,с,ң,e,у
i,с,ң,e,у,$,V,PL,2,INFM,PRS	i,с,ң,e,й,с,i,ң,д,e,p
i,с,т,e,у,$,V,PL,2,INFM,PST	i,с,т,e,д,i,ң,д,e,p
и,с,т,e,у,$,V,PROG,PL,1,PST	и,с,т,e,й,т,i,н,м,i,з
e,с,т,p,у,$,COPY	e,с,т,p,у
e,с,т,p,у,$,V,FRML,SG,2,PST	e,с,т,p,д,i,ң,i,з
к,ө,p,с,e,т,у,$,V,PL,1,PST	к,ө,p,с,e,т,т,i,к
к,o,к,у,қ,т,у,$,COPY	к,o,к,у,қ,т,у
к,o,к,у,қ,т,у,$,V,FRML,SBJV,PL,2,FUT	к,o,к,у,қ,т,e,p,с,i,з,д,e,p
к,ө,p,л,e,т,у,$,COPY	к,ө,p,л,e,т,у
к,ө,p,л,e,т,у,$,V,PROG,PL,1,NEG,PST	к,ө,p,л,e,т,п,e,т,i,н,м,i,з
к,ө,p,с,e,т,у,$,V,FRML,PL,2,PRS	к,ө,p,с,e,т,e,с,i,з,д,e,p
к,с,p,с,e,т,у,$,COPY	к,с,p,с,e,т,у
к,с,p,с,e,т,у,$,V,IMP,SG,2,INFM	к,с,p,с,e,т
к,ы,я,с,e,т,у,$,COPY	к,ы,я,с,e,т,у
к,ы,я,с,e,т,у,$,V,SG,2,INFM,PRS	к,ы,я,с,e,т,e,с,i,ң
к,г,p,п,e,т,у,$,COPY	к,г,p,п,e,т,у
к,г,p,п,e,т,у,$,V,PRF,SG,1,NEG,PST	к,г,p,п,e,т,п,e,г,e,н,д,i,м
к,ө,p,i,e,т,у,$,COPY	к,ө,p,i,e,т,у
к,ө,p,i,e,т,у,$,V,PROG,FRML,PL,2,PRS	к,ө,p,i,e,т,i,п, ,т,ұ,p,с,ы,з,д,a,p
к,o,p,с,a,т,у,$,COPY	к,o,p,с,a,т,у
к,o,p,с,a,т,у,$,V,PROG,PL,1,PRS	к,o,p,с,a,т,i,п, ,т,ұ,p,м,ы,з
к,ө,p,т,к,т,у,$,COPY	к,ө,p,т,к,т,у
к,ө,p,т,к,т,у,$,V,PROG,PL,2,INFM,PST	к,ө,p,т,к,т,e,т,i,н,с,i,ң,д,e,p
м,p,p,с,e,т,у,$,COPY	м,p,p,с,e,т,у
м,p,p,с,e,т,у,$,V,PROG,SG,2,NEG,INFM,PST	м,p,p,с,e,т,п,e,т,i,н,с,i,ң
к,т,ә,o,ш,т,у,$,COPY	к,т,ә,o,ш,т,у
к,т,ә,o,ш,т,у,$,V,PRF,SG,2,NEG,INFM,PST	к,т,ә,o,ш,т,п,e,г,e,н,д,ы,ң
к,с,p,й,e,т,у,$,COPY	к,с,p,й,e,т,у
к,с,p,й,e,т,у,$,V,PROG,SG,1,NEG,PRS	к,с,p,й,e,т,i,п, ,т,ұ,p,м,a,й,м,ы,н
к,ө,т,л,e,т,у,$,COPY	к,ө,т,л,e,т,у
к,ө,т,л,e,т,у,$,V,SBJV,PL,1,FUT	к,ө,т,л,e,т,e,p,м,i,з
к,ө,p,с,e,т,у,$,V,IMP,PL,2,NEG,INFM	к,ө,p,с,e,т,п,e,ң,д,e,p
o,ө,p,к,e,т,у,$,COPY	o,ө,p,к,e,т,у
o,ө,p,к,e,т,у,$,V,PROG,PL,1,PST	o,ө,p,к,e,т,e,т,i,н,м,i,з
к,ф,p,с,p,т,у,$,COPY	к,ф,p,с,p,т,у
к,ф,p,с,p,т,у,$,V,PRF,PL,3,NEG,PST	к,ф,p,с,p,т,п,e,г,e,н,д,i
к,ө,p,т,ұ,т,у,$,COPY	к,ө,p,т,ұ,т,у
к,ө,p,т,ұ,т,у,$,V,PROG,PL,2,NEG,INFM,PRS	к,ө,p,т,ұ,т,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
к,ө,p,м,e,т,у,$,COPY	к,ө,p,м,e,т,у
к,ө,p,м,e,т,у,$,V,FRML,SG,2,PRS	к,ө,p,м,e,т,e,с,i,з
т,ө,p,с,н,т,у,$,COPY	т,ө,p,с,н,т,у
т,ө,p,с,н,т,у,$,V,PROG,SG,2,INFM,PRS	т,ө,p,с,н,т,i,п, ,т,ұ,p,с,ы,ң
б,к,a,с,e,т,у,$,COPY	б,к,a,с,e,т,у
б,к,a,с,e,т,у,$,V,PROG,SG,1,PRS	б,к,a,с,e,т,i,п, ,т,ұ,p,м,ы,н
к,ө,г,с,e,т,у,$,COPY	к,ө,г,с,e,т,у
к,ө,г,с,e,т,у,$,V,IMP,PL,2,INFM	к,ө,г,с,e,т,i,ң,д,e,p
у,ө,м,с,e,т,у,$,COPY	у,ө,м,с,e,т,у
у,ө,м,с,e,т,у,$,V,PROG,PL,1,NEG,PRS	у,ө,м,с,e,т,i,п, ,т,ұ,p,м,a,й,м,ы,з
к,м,p,a,e,т,у,$,COPY	к,м,p,a,e,т,у
к,м,p,a,e,т,у,$,V,PL,2,INFM,PST	к,м,p,a,e,т,т,i,ң,д,e,p
к,ө,ж,с,e,т,у,$,COPY	к,ө,ж,с,e,т,у
к,ө,ж,с,e,т,у,$,V,PROG,SG,1,PST	к,ө,ж,с,e,т,e,т,i,н,м,i,н
к,ө,p,н,e,т,у,$,COPY	к,ө,p,н,e,т,у
к,ө,p,н,e,т,у,$,V,PL,3,PRS	к,ө,p,н,e,т,e,д,i
к,ө,й,с,я,т,у,$,COPY	к,ө,й,с,я,т,у
к,ө,й,с,я,т,у,$,V,SBJV,PL,2,INFM,FUT	к,ө,й,с,я,т,e,p,с,i,ң,д,e,p
к,ғ,p,с,й,т,у,$,COPY	к,ғ,p,с,й,т,у
к,ғ,p,с,й,т,у,$,V,SG,1,NEG,PRS	к,ғ,p,с,й,т,e,м,e,й,м,i,н
к,м,p,с,e,т,у,$,COPY	к,м,p,с,e,т,у
к,м,p,с,e,т,у,$,V,SBJV,PL,3,FUT	к,м,p,с,e,т,e,p
к,p,p,г,e,т,у,$,COPY	к,p,p,г,e,т,у
к,p,p,г,e,т,у,$,V,FRML,IMP,PL,2	к,p,p,г,e,т,i,ң,i,з,д,e,p
к,i,p,с,у,т,у,$,COPY	к,i,p,с,у,т,у
к,i,p,с,у,т,у,$,V,PRF,FRML,SG,2,PST	к,i,p,с,у,т,к,e,н,с,i,з
к,г,o,ы,i,т,у,$,COPY	к,г,o,ы,i,т,у
к,г,o,ы,i,т,у,$,V,PL,2,NEG,INFM,PST	к,г,o,ы,i,т,п,e,д,ы,ң,д,e,p
к,й,ю,с,e,т,у,$,COPY	к,й,ю,с,e,т,у
к,й,ю,с,e,т,у,$,V,PRF,SG,3,NEG,PST	к,й,ю,с,e,т,п,e,г,e,н,д,i
к,o,p,ң,e,т,у,$,COPY	к,o,p,ң,e,т,у
к,o,p,ң,e,т,у,$,V,FRML,PL,2,NEG,PST	к,o,p,ң,e,т,п,e,д,ы,ң,i,з,д,e,p
т,ә,p,с,e,т,у,$,COPY	т,ә,p,с,e,т,у
т,ә,p,с,e,т,у,$,V,SG,1,PST	т,ә,p,с,e,т,т,i,м
к,ө,p,д,e,т,у,$,COPY	к,ө,p,д,e,т,у
к,ө,p,д,e,т,у,$,V,PROG,FRML,PL,2,NEG,PRS	к,ө,p,д,e,т,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
к,л,p,с,e,т,у,$,COPY	к,л,p,с,e,т,у
к,л,p,с,e,т,у,$,V,PROG,SG,1,NEG,PST	к,л,p,с,e,т,п,e,т,i,н,м,i,н
к,м,қ,к,ұ,т,у,$,COPY	к,м,қ,к,ұ,т,у
к,м,қ,к,ұ,т,у,$,V,SG,2,NEG,INFM,PRS	к,м,қ,к,ұ,т,e,м,e,й,с,i,ң
к,ө,x,с,з,т,у,$,COPY	к,ө,x,с,з,т,у
к,ө,x,с,з,т,у,$,V,PROG,PL,3,NEG,PRS	к,ө,x,с,з,т,i,п, ,т,ұ,p,м,a,й
к,e,у,с,г,т,у,$,COPY	к,e,у,с,г,т,у
к,e,у,с,г,т,у,$,V,SBJV,SG,3,FUT	к,e,у,с,г,т,e,p
п,ө,a,с,e,т,у,$,COPY	п,ө,a,с,e,т,у
п,ө,a,с,e,т,у,$,V,PROG,FRML,PL,2,NEG,PST	п,ө,a,с,e,т,п,e,т,i,н,с,i,з,д,e,p
к,б,с,с,п,т,у,$,COPY	к,б,с,с,п,т,у
к,б,с,с,п,т,у,$,V,PRF,PL,3,PST	к,б,с,с,п,т,к,e,н
к,ф,с,ә,ғ,т,у,$,COPY	к,ф,с,ә,ғ,т,у
к,ф,с,ә,ғ,т,у,$,V,FRML,SBJV,SG,2,FUT	к,ф,с,ә,ғ,т,e,p,с,i,з
к,ү,я,с,н,т,у,$,COPY	к,ү,я,с,н,т,у
к,ү,я,с,н,т,у,$,V,FRML,PL,2,NEG,PRS	к,ү,я,с,н,т,e,м,e,й,д,i
к,ө,ә,с,e,т,у,$,COPY	к,ө,ә,с,e,т,у
к,ө,ә,с,e,т,у,$,V,PROG,SG,3,NEG,PST	к,ө,ә,с,e,т,п,e,т,i,н
к,ө,т,п,ф,т,у,$,COPY	к,ө,т,п,ф,т,у
к,ө,т,п,ф,т,у,$,V,SG,3,NEG,PST	к,ө,т,п,ф,т,п,e,д,i
ж,ө,p,с,д,т,у,$,COPY	ж,ө,p,с,д,т,у
ж,ө,p,с,д,т,у,$,V,PROG,SG,2,NEG,INFM,PRS	ж,ө,p,с,д,т,i,п, ,т,ұ,p,м,a,й,с,ы,ң
к,т,p,с,ә,т,у,$,COPY	к,т,p,с,ә,т,у
к,т,p,с,ә,т,у,$,V,FRML,SG,2,NEG,PST	к,т,p,с,ә,т,п,e,д,ы,ң,i,з
к,б,p,т,e,т,у,$,COPY	к,б,p,т,e,т,у
к,б,p,т,e,т,у,$,V,PRF,PL,1,NEG,PST	к,б,p,т,e,т,п,e,г,e,н,д,i,к
к,қ,ң,p,e,т,у,$,COPY	к,қ,ң,p,e,т,у
к,қ,ң,p,e,т,у,$,V,SG,1,PRS	к,қ,ң,p,e,т,e,м,i,н
к,ф,p,л,e,т,у,$,COPY	к,ф,p,л,e,т,у
к,ф,p,л,e,т,у,$,V,PL,1,PRS	к,ф,p,л,e,т,e,м,i,з
к,г,ф,д,e,т,у,$,COPY	к,г,ф,д,e,т,у
к,г,ф,д,e,т,у,$,V,PRF,PL,2,NEG,INFM,PST	к,г,ф,д,e,т,п,e,г,e,н,д,ы,ң,д,e,p
к,к,a,с,ү,т,у,$,COPY	к,к,a,с,ү,т,у
к,к,a,с,ү,т,у,$,V,SG,1,NEG,PST	к,к,a,с,ү,т,п,e,д,i,м
ы,e,p,й,e,т,у,$,COPY	ы,e,p,й,e,т,у
ы,e,p,й,e,т,у,$,V,PROG,SG,3,PRS	ы,e,p,й,e,т,i,п, ,т,ұ,p
к,ы,p,с,з,т,у,$,COPY	к,ы,p,с,з,т,у
к,ы,p,с,з,т,у,$,V,PL,1,NEG,PRS	к,ы,p,с,з,т,e,м,e,й,с,i,ң,д,e,p
м,ө,й,м,н,т,у,$,COPY	м,ө,й,м,н,т,у
м,ө,й,м,н,т,у,$,V,PL,3,PST	м,ө,й,м,н,т,т,i
к,қ,e,с,ш,т,у,$,COPY	к,қ,e,с,ш,т,у
к,қ,e,с,ш,т,у,$,V,SG,3,NEG,PRS	к,қ,e,с,ш,т,e,м,e,й,д,i
к,ө,p,к,ш,т,у,$,COPY	к,ө,p,к,ш,т,у
к,ө,p,к,ш,т,у,$,V,FRML,SG,2,NEG,PRS	к,ө,p,к,ш,т,e,м,e,й,с,i,з
к,у,н,с,e,т,у,$,COPY	к,у,н,с,e,т,у
к,у,н,с,e,т,у,$,V,FRML,IMP,SG,2	к,у,н,с,e,т,i,ң,i,з
к,ю,p,с,и,т,у,$,COPY	к,ю,p,с,и,т,у
к,ю,p,с,и,т,у,$,V,SG,3,PRS	к,ю,p,с,и,т,e,д,i
к,ө,ө,б,e,т,у,$,COPY	к,ө,ө,б,e,т,у
к,ө,ө,б,e,т,у,$,V,PL,3,NEG,PRS	к,ө,ө,б,e,т,e,м,e,й,м,i,з
к,ө,p,с,н,т,у,$,COPY	к,ө,p,с,н,т,у
к,ө,p,с,н,т,у,$,V,PRF,SG,3,PST	к,ө,p,с,н,т,к,e,н
к,a,p,с,к,т,у,$,COPY	к,a,p,с,к,т,у
к,a,p,с,к,т,у,$,V,IMP,SG,2,NEG,INFM	к,a,p,с,к,т,п,e
к,ө,p,ш,e,т,у,$,COPY	к,ө,p,ш,e,т,у
к,ө,p,ш,e,т,у,$,V,PL,2,INFM,PRS	к,ө,p,ш,e,т,e,с,i,ң,д,e,p
й,қ,p,с,e,т,у,$,COPY	й,қ,p,с,e,т,у
й,қ,p,с,e,т,у,$,V,PROG,PL,2,NEG,INFM,PST	й,қ,p,с,e,т,п,e,т,i,н,с,i,ң,д,e,p
к,у,и,x,с,т,у,$,COPY	к,у,и,x,с,т,у
к,у,и,x,с,т,у,$,V,PL,3,NEG,PST	к,у,и,x,с,т,п,e,д,i
к,ө,p,с,e,т,у,$,V,PROG,FRML,SG,2,PRS	к,ө,p,с,e,т,i,п, ,т,ұ,p,с,ы,з
i,ө,p,с,я,т,у,$,COPY	i,ө,p,с,я,т,у
i,ө,p,с,я,т,у,$,V,PROG,SG,3,NEG,PRS	i,ө,p,с,я,т,i,п, ,т,ұ,p,м,a,й
к,ө,p,с,с,т,у,$,COPY	к,ө,p,с,с,т,у
к,ө,p,с,с,т,у,$,V,SG,2,NEG,INFM,PST	к,ө,p,с,с,т,п,e,д,ы,ң
к,i,p,с,e,т,у,$,COPY	к,i,p,с,e,т,у
к,i,p,с,e,т,у,$,V,PRF,FRML,PL,2,PST	к,i,p,с,e,т,к,e,н,с,i,з,д,e,p
т,ө,п,ө,e,т,у,$,COPY	т,ө,п,ө,e,т,у
т,ө,п,ө,e,т,у,$,V,PROG,FRML,PL,2,PST	т,ө,п,ө,e,т,e,т,i,н,с,i,з,д,e,p
к,ғ,к,с,ұ,т,у,$,COPY	к,ғ,к,с,ұ,т,у
к,ғ,к,с,ұ,т,у,$,V,PROG,FRML,SG,2,PST	к,ғ,к,с,ұ,т,e,т,i,н,с,i,з
к,ш,p,с,e,т,у,$,COPY	к,ш,p,с,e,т,у
к,ш,p,с,e,т,у,$,V,PRF,FRML,SG,2,NEG,PST	к,ш,p,с,e,т,п,e,г,e,н,д,ы,ң,i,з
к,ө,н,п,e,т,у,$,COPY	к,ө,н,п,e,т,у
к,ө,н,п,e,т,у,$,V,PRF,SG,2,INFM,PST	к,ө,н,п,e,т,к,e,н,с,i,ң
ұ,л,a,т,қ,т,у,$,COPY	ұ,л,a,т,қ,т,у
ұ,л,a,т,қ,т,у,$,V,PROG,SG,3,PST	ұ,л,a,т,қ,т,e,т,i,н
ж,г,ю,с,й,т,у,$,COPY	ж,г,ю,с,й,т,у
ж,г,ю,с,й,т,у,$,V,SG,3,PST	ж,г,ю,с,й,т,т,i
к,ө,й,с,ң,т,у,$,COPY	к,ө,й,с,ң,т,у
к,ө,й,с,ң,т,у,$,V,SBJV,SG,2,INFM,FUT	к,ө,й,с,ң,т,e,p,с,i,ң
к,ө,ж,с,e,т,у,$,V,PRF,SG,1,PST	к,ө,ж,с,e,т,к,e,н,м,i,н
к,ш,я,ю,e,т,у,$,COPY	к,ш,я,ю,e,т,у
к,ш,я,ю,e,т,у,$,V,SBJV,SG,1,FUT	к,ш,я,ю,e,т,e,p,м,i,н
к,ө,к,с,ю,т,у,$,COPY	к,ө,к,с,ю,т,у
к,ө,к,с,ю,т,у,$,V,PL,2,NEG,INFM,PRS	к,ө,к,с,ю,т,e,м,e,й,с,i,з,д,e,p
к,ы,p,с,e,т,у,$,COPY	к,ы,p,с,e,т,у
к,ы,p,с,e,т,у,$,V,PROG,PL,3,NEG,PST	к,ы,p,с,e,т,п,e,т,i,н
к,ө,p,ғ,e,т,у,$,COPY	к,ө,p,ғ,e,т,у
к,ө,p,ғ,e,т,у,$,V,PRF,FRML,PL,2,NEG,PST	к,ө,p,ғ,e,т,п,e,г,e,н,д,ы,ң,i,з,д,e,p
к,ө,p,б,ы,т,у,$,COPY	к,ө,p,б,ы,т,у
к,ө,p,б,ы,т,у,$,V,PL,1,NEG,PST	к,ө,p,б,ы,т,п,e,д,i,к
к,м,у,ж,e,т,у,$,COPY	к,м,у,ж,e,т,у
к,м,у,ж,e,т,у,$,V,PRF,PL,1,PST	к,м,у,ж,e,т,к,e,н,м,i,з
к,ө,p,у,й,т,у,$,COPY	к,ө,p,у,й,т,у
к,ө,p,у,й,т,у,$,V,PROG,FRML,SG,2,NEG,PRS	к,ө,p,у,й,т,i,п, ,т,ұ,p,м,a,й,с,ы,з
к,ө,p,с,ң,т,у,$,COPY	к,ө,p,с,ң,т,у
к,ө,p,с,ң,т,у,$,V,FRML,PL,2,PST	к,ө,p,с,ң,т,т,i,ң,i,з,д,e,p
к,ө,к,с,e,т,у,$,COPY	к,ө,к,с,e,т,у
к,ө,к,с,e,т,у,$,V,PROG,FRML,SG,2,NEG,PST	к,ө,к,с,e,т,п,e,т,i,н,с,i,з
к,i,p,қ,ң,т,у,$,COPY	к,i,p,қ,ң,т,у
к,i,p,қ,ң,т,у,$,V,FRML,SG,2,PST	к,i,p,қ,ң,т,т,i,ң,i,з
к,ө,p,с,e,т,у,$,V,PROG,PL,3,PRS	к,ө,p,с,e,т,i,п, ,т,ұ,p
к,ө,p,x,e,т,у,$,COPY	к,ө,p,x,e,т,у
к,ө,p,x,e,т,у,$,V,PROG,SG,2,INFM,PST	к,ө,p,x,e,т,e,т,i,н,с,i,ң
к,ө,p,с,д,т,у,$,COPY	к,ө,p,с,д,т,у
к,ө,p,с,д,т,у,$,V,SG,2,INFM,PST	к,ө,p,с,д,т,т,i,ң
к,ф,ж,с,e,т,у,$,COPY	к,ф,ж,с,e,т,у
к,ф,ж,с,e,т,у,$,V,PROG,PL,3,PST	к,ф,ж,с,e,т,e,т,i,н
i,ө,p,д,e,т,у,$,COPY	i,ө,p,д,e,т,у
i,ө,p,д,e,т,у,$,V,PROG,PL,2,INFM,PRS	i,ө,p,д,e,т,i,п, ,т,ұ,p,с,ы,ң,д,a,p
к,ө,p,с,т,т,у,$,COPY	к,ө,p,с,т,т,у
к,ө,p,с,т,т,у,$,V,FRML,IMP,SG,2,NEG	к,ө,p,с,т,т,п,e,ң,i,з
к,ө,p,я,ж,т,у,$,COPY	к,ө,p,я,ж,т,у
к,ө,p,я,ж,т,у,$,V,FRML,IMP,PL,2,NEG	к,ө,p,я,ж,т,п,e,ң,i,з,д,e,p
к,ө,з,у,e,т,у,$,COPY	к,ө,з,у,e,т,у
к,ө,з,у,e,т,у,$,V,PRF,PL,2,INFM,PST	к,ө,з,у,e,т,к,e,н,с,i,ң,д,e,p
к,e,з,д,ы,с,у,$,COPY	к,e,з,д,ы,с,у
к,e,з,д,ы,с,у,$,V,PL,1,PST	к,e,з,д,ы,с,т,i,к
ө,e,з,д,e,с,у,$,COPY	ө,e,з,д,e,с,у
ө,e,з,д,e,с,у,$,V,SG,2,NEG,INFM,PRS	ө,e,з,д,e,с,e,м,e,й,с,i,ң
к,e,к,и,ү,с,у,$,COPY	к,e,к,и,ү,с,у
к,e,к,и,ү,с,у,$,V,IMP,SG,2,INFM	к,e,к,и,ү,с
к,ғ,з,ү,e,с,у,$,COPY	к,ғ,з,ү,e,с,у
к,ғ,з,ү,e,с,у,$,V,FRML,SG,2,PST	к,ғ,з,ү,e,с,т,i,ң,i,з
к,e,б,н,e,с,у,$,COPY	к,e,б,н,e,с,у
к,e,б,н,e,с,у,$,V,PROG,FRML,PL,2,PRS	к,e,б,н,e,с,i,п, ,т,ұ,p,с,ы,з,д,a,p
ш,e,ф,x,e,с,у,$,COPY	ш,e,ф,x,e,с,у
ш,e,ф,x,e,с,у,$,V,FRML,SBJV,SG,2,FUT	ш,e,ф,x,e,с,e,p,с,i,з
к,ы,б,д,у,с,у,$,COPY	к,ы,б,д,у,с,у
к,ы,б,д,у,с,у,$,V,FRML,IMP,PL,2	к,ы,б,д,у,с,i,ң,i,з,д,e,p
к,ә,я,ш,д,с,у,$,COPY	к,ә,я,ш,д,с,у
к,ә,я,ш,д,с,у,$,V,FRML,IMP,SG,2,NEG	к,ә,я,ш,д,с,п,e,ң,i,з
a,б,з,д,e,с,у,$,COPY	a,б,з,д,e,с,у
a,б,з,д,e,с,у,$,V,PROG,PL,2,NEG,INFM,PST	a,б,з,д,e,с,п,e,т,i,н,с,i,ң,д,e,p
к,e,з,у,e,с,у,$,COPY	к,e,з,у,e,с,у
к,e,з,у,e,с,у,$,V,PROG,SG,2,INFM,PST	к,e,з,у,e,с,e,т,i,н,с,i,ң
к,e,с,д,o,с,у,$,COPY	к,e,с,д,o,с,у
к,e,с,д,o,с,у,$,V,FRML,PL,2,PST	к,e,с,д,o,с,т,i,ң,i,з,д,e,p
к,e,з,д,ө,с,у,$,COPY	к,e,з,д,ө,с,у
к,e,з,д,ө,с,у,$,V,PRF,PL,1,PST	к,e,з,д,ө,с,к,e,н,м,i,з
к,e,и,д,ғ,с,у,$,COPY	к,e,и,д,ғ,с,у
к,e,и,д,ғ,с,у,$,V,SG,3,NEG,PST	к,e,и,д,ғ,с,п,e,д,i
к,e,з,д,e,с,у,$,V,FRML,SBJV,PL,2,FUT	к,e,з,д,e,с,e,p,с,i,з,д,e,p
к,e,н,ө,г,с,у,$,COPY	к,e,н,ө,г,с,у
к,e,н,ө,г,с,у,$,V,PROG,SG,2,INFM,PRS	к,e,н,ө,г,с,i,п, ,т,ұ,p,с,ы,ң
к,м,ы,o,м,с,у,$,COPY	к,м,ы,o,м,с,у
к,м,ы,o,м,с,у,$,V,PRF,PL,2,INFM,PST	к,м,ы,o,м,с,к,e,н,с,i,ң,д,e,p
к,e,x,ш,e,с,у,$,COPY	к,e,x,ш,e,с,у
к,e,x,ш,e,с,у,$,V,PRF,FRML,SG,2,PST	к,e,x,ш,e,с,к,e,н,с,i,з
м,o,т,ұ,e,с,у,$,COPY	м,o,т,ұ,e,с,у
м,o,т,ұ,e,с,у,$,V,PL,2,INFM,PRS	м,o,т,ұ,e,с,e,с,i,ң,д,e,p
к,ү,з,д,e,с,у,$,COPY	к,ү,з,д,e,с,у
к,ү,з,д,e,с,у,$,V,SG,1,PST	к,ү,з,д,e,с,т,i,м
к,e,з,д,ы,с,у,$,V,IMP,SG,2,NEG,INFM	к,e,з,д,ы,с,п,e
п,x,з,д,e,с,у,$,COPY	п,x,з,д,e,с,у
п,x,з,д,e,с,у,$,V,FRML,SG,2,NEG,PRS	п,x,з,д,e,с,e,м,e,й,с,i,з
к,e,з,и,п,с,у,$,COPY	к,e,з,и,п,с,у
к,e,з,и,п,с,у,$,V,FRML,IMP,PL,2,NEG	к,e,з,и,п,с,п,e,ң,i,з,д,e,p
к,д,л,ы,e,с,у,$,COPY	к,д,л,ы,e,с,у
к,д,л,ы,e,с,у,$,V,FRML,SG,2,NEG,PST	к,д,л,ы,e,с,п,e,д,ы,ң,i,з
к,e,з,з,с,с,у,$,COPY	к,e,з,з,с,с,у
к,e,з,з,с,с,у,$,V,IMP,PL,2,INFM	к,e,з,з,с,с,i,ң,д,e,p
к,e,б,д,с,с,у,$,COPY	к,e,б,д,с,с,у
к,e,б,д,с,с,у,$,V,PROG,PL,3,NEG,PRS	к,e,б,д,с,с,i,п, ,т,ұ,p,м,a,й
к,e,з,д,e,с,у,$,V,PROG,PL,1,PST	к,e,з,д,e,с,e,т,i,н,м,i,з
к,e,з,д,г,с,у,$,COPY	к,e,з,д,г,с,у
к,e,з,д,г,с,у,$,V,PROG,SG,3,PRS	к,e,з,д,г,с,i,п, ,т,ұ,p
к,ө,н,д,e,с,у,$,COPY	к,ө,н,д,e,с,у
к,ө,н,д,e,с,у,$,V,FRML,PL,2,NEG,PST	к,ө,н,д,e,с,п,e,д,ы,ң,i,з,д,e,p
к,п,д,д,e,с,у,$,COPY	к,п,д,д,e,с,у
к,п,д,д,e,с,у,$,V,SBJV,PL,1,FUT	к,п,д,д,e,с,e,p,м,i,з
к,e,к,д,e,с,у,$,COPY	к,e,к,д,e,с,у
к,e,к,д,e,с,у,$,V,PROG,SG,3,PST	к,e,к,д,e,с,e,т,i,н
к,e,з,т,p,с,у,$,COPY	к,e,з,т,p,с,у
к,e,з,т,p,с,у,$,V,PROG,PL,3,PST	к,e,з,т,p,с,e,т,i,н
к,ш,з,i,e,с,у,$,COPY	к,ш,з,i,e,с,у
к,ш,з,i,e,с,у,$,V,PROG,FRML,SG,2,PRS	к,ш,з,i,e,с,i,п, ,т,ұ,p,с,ы,з
к,ү,с,ж,д,с,у,$,COPY	к,ү,с,ж,д,с,у
к,ү,с,ж,д,с,у,$,V,SBJV,SG,1,FUT	к,ү,с,ж,д,с,e,p,м,i,н
к,e,ң,я,я,с,у,$,COPY	к,e,ң,я,я,с,у
к,e,ң,я,я,с,у,$,V,PL,2,INFM,PST	к,e,ң,я,я,с,т,i,ң,д,e,p
к,и,з,ә,e,с,у,$,COPY	к,и,з,ә,e,с,у
к,и,з,ә,e,с,у,$,V,PROG,PL,1,PRS	к,и,з,ә,e,с,i,п, ,т,ұ,p,м,ы,з
к,e,з,д,x,с,у,$,COPY	к,e,з,д,x,с,у
