হ,ও,য,়,া,$,V,PROG,3,INFM,PRS	হ,চ,্,ছ,ো
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,3,INFM,PST	অ,ন,ু,ভ,ব, ,ক,র,ল,ে
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PRF,3,POL,PRS	অ,ন,ু,ভ,ব, ,ক,র,ে,ছ,ে,ন
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,NFIN	অ,ন,ু,ভ,ব, ,ক,র,ত,ে
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PRF,1,PST	অ,ন,ু,ভ,ব, ,ক,র,ে,ছ,ি,ল,া,ম
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PRF,1,PRS	অ,ন,ু,ভ,ব, ,ক,র,ে,ছ,ি
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	অ,ন,ু,ভ,ব, ,ক,র,ে,ছ,ি,স
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,3,INFM,PRS	অ,ন,ু,ভ,ব, ,ক,র,ো
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,2,FUT,LGSPEC1	অ,ন,ু,ভ,ব, ,ক,র,ব,ি
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,HAB,2,POL,PST	অ,ন,ু,ভ,ব, ,ক,র,ত,ো
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PROG,1,PST	অ,ন,ু,ভ,ব, ,ক,র,ছ,ি,ল,া,ম
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	অ,ন,ু,ভ,ব, ,ক,র,ত,ি,স
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PRF,2,POL,PST	অ,ন,ু,ভ,ব, ,ক,র,ে,ছ,ি,ল,ো
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,HAB,3,POL,PST	অ,ন,ু,ভ,ব, ,ক,র,ত,ে,ন
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PROG,1,PRS	অ,ন,ু,ভ,ব, ,ক,র,ছ,ি
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PROG,3,INFM,PRS	অ,ন,ু,ভ,ব, ,ক,র,ছ,ো
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,1,PST	অ,ন,ু,ভ,ব, ,ক,র,ল,া,ম
অ,ন,ু,ভ,ব, ,ক,র,া,$,V,PROG,2,POL,PST	অ,ন,ু,ভ,ব, ,ক,র,ছ,ি,ল,ো
অ,ভ,ি,য,ো,গ,$,N,NOM,DEF,PL	অ,ভ,ি,য,ো,গ,গ,ু,ল,া
অ,ভ,ি,য,ো,গ,$,N,LOC,DEF,SG	অ,ভ,ি,য,ো,গ,ট,া,ত,ে
অ,ভ,ি,য,ো,গ,$,N,GEN,DEF,PL	অ,ভ,ি,য,ো,গ,গ,ু,ল,া,র
অ,ভ,ি,য,ো,গ,$,N,GEN,NDEF	অ,ভ,ি,য,ো,গ,ে,র
অ,ভ,ি,য,ো,গ,$,N,LOC,DEF,PL	অ,ভ,ি,য,ো,গ,গ,ু,ল,া,ত,ে
অ,ভ,ি,য,ো,গ,$,N,ACC,NDEF	অ,ভ,ি,য,ো,গ
অ,ভ,ি,য,ো,গ,$,N,ACC,DEF,SG	অ,ভ,ি,য,ো,গ,ট,া
অ,ভ,ি,য,ো,গ,$,N,ACC,DEF,PL	অ,ভ,ি,য,ো,গ,গ,ু,ল,া
অ,ভ,ি,য,ো,গ,$,N,NOM,NDEF	অ,ভ,ি,য,ো,গ
অ,ভ,ি,য,ো,গ,$,N,LOC,NDEF	অ,ভ,ি,য,ো,গ,ে
অ,ভ,ি,য,ো,গ,$,N,GEN,DEF,SG	অ,ভ,ি,য,ো,গ,ট,া,র
অ,ভ,ি,য,ো,গ,$,N,NOM,DEF,SG	অ,ভ,ি,য,ো,গ,ট,া
আ,স,া,$,V,PRF,1,PST	এ,স,ে,ছ,ি,ল,া,ম
আ,স,া,$,V,PRF,2,PRS,LGSPEC1	এ,স,ে,ছ,ি,স
আ,স,া,$,V,3,INFM,PRS	আ,স,ো
আ,স,া,$,V,PROG,3,INFM,PST	আ,স,ছ,ি,ল,ে
আ,স,া,$,V,2,PRS,LGSPEC1	আ,স,ি,স
আ,স,া,$,V,3,POL,PST	আ,স,ল,ে,ন
আ,স,া,$,V,HAB,2,POL,PST	আ,স,ত,ো
আ,স,া,$,V,PROG,2,POL,PST	আ,স,ছ,ি,ল,ো
আ,স,া,$,V,PROG,3,POL,PST	আ,স,ছ,ি,ল,ে,ন
আ,স,া,$,V,3,POL,PRS	আ,স,ে,ন
আ,স,া,$,V,2,POL,FUT	আ,স,ব,ে
আ,স,া,$,V,HAB,3,POL,PST	আ,স,ত,ে,ন
আ,স,া,$,V,2,POL,PST	আ,স,ল,ো
আ,স,া,$,V,PRF,2,PST,LGSPEC1	এ,স,ে,ছ,ি,ল,ি
আ,স,া,$,V,PROG,2,PRS,LGSPEC1	আ,স,ছ,ি,স
আ,স,া,$,V,1,PRS	আ,স,ি
আ,স,া,$,V,PRF,3,POL,PRS	এ,স,ে,ছ,ে,ন
আ,স,া,$,V,PROG,2,POL,PRS	আ,স,ছ,ে
আ,স,া,$,V,PROG,1,PRS	আ,স,ছ,ি
আ,স,া,$,V,3,INFM,FUT	আ,স,ব,ে
আ,স,া,$,V,1,FUT	আ,স,ব,ো
আ,স,া,$,V,PRF,3,INFM,PST	এ,স,ে,ছ,ি,ল,ে
আ,স,া,$,V,1,PST	আ,স,ল,া,ম
আ,স,া,$,V,PRF,3,POL,PST	এ,স,ে,ছ,ি,ল,ে,ন
আ,স,া,$,V,PROG,1,PST	আ,স,ছ,ি,ল,া,ম
আ,স,া,$,V,3,POL,FUT	আ,স,ব,ে,ন
আ,স,া,$,V,HAB,2,PST,LGSPEC1	আ,স,ত,ি,স
আ,স,া,$,V,PROG,3,INFM,PRS	আ,স,ছ,ো
আ,স,া,$,V,HAB,3,INFM,PST	আ,স,ত,ে
আ,স,া,$,V,PRF,3,INFM,PRS	এ,স,ে,ছ,ো
আ,স,া,$,V,3,INFM,PST	আ,স,ল,ে
আ,স,া,$,V,PROG,2,PST,LGSPEC1	আ,স,ছ,ি,ল,ি
আ,স,া,$,V,PRF,2,POL,PRS	এ,স,ে,ছ,ে
আ,স,া,$,V,2,PST,LGSPEC1	আ,স,ল,ি
আ,স,া,$,V,PRF,1,PRS	এ,স,ে,ছ,ি
আ,স,া,$,V,PRF,2,POL,PST	এ,স,ে,ছ,ি,ল,ো
আ,স,া,$,V,PROG,3,POL,PRS	আ,স,ছ,ে,ন
আ,স,া,$,V,2,POL,PRS	আ,স,ে
আ,স,া,$,V,2,FUT,LGSPEC1	আ,স,ব,ি
আ,স,া,$,V,HAB,1,PST	আ,স,ত,া,ম
আ,স,া,$,V,NFIN	আ,স,ত,ে
ম,ি,ত,্,র,$,N,ACC,DEF,PL	ম,ি,ত,্,র,দ,ে,র,ক,ে
ম,ি,ত,্,র,$,N,GEN,NDEF	ম,ি,ত,্,র,ে,র
ম,ি,ত,্,র,$,N,ACC,NDEF	ম,ি,ত,্,র
ম,ি,ত,্,র,$,N,GEN,DEF,SG	ম,ি,ত,্,র,ট,া,র
ম,ি,ত,্,র,$,N,NOM,DEF,PL	ম,ি,ত,্,র,র,া
ম,ি,ত,্,র,$,N,NOM,NDEF	ম,ি,ত,্,র
ম,ি,ত,্,র,$,N,GEN,DEF,PL	ম,ি,ত,্,র,দ,ে,র
ম,ি,ত,্,র,$,N,ACC,DEF,SG	ম,ি,ত,্,র,ট,া,ক,ে
ম,ি,ত,্,র,$,N,NOM,DEF,SG	ম,ি,ত,্,র,ট,া
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,LOC,DEF,SG	দ,ৃ,ষ,্,ট,া,ন,্,ত,ট,া,ত,ে
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,LOC,NDEF	দ,ৃ,ষ,্,ট,া,ন,্,ত,ে
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,NOM,DEF,PL	দ,ৃ,ষ,্,ট,া,ন,্,ত,গ,ু,ল,া
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,ACC,NDEF	দ,ৃ,ষ,্,ট,া,ন,্,ত
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,ACC,DEF,SG	দ,ৃ,ষ,্,ট,া,ন,্,ত,ট,া
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,GEN,NDEF	দ,ৃ,ষ,্,ট,া,ন,্,ত,ে,র
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,NOM,DEF,SG	দ,ৃ,ষ,্,ট,া,ন,্,ত,ট,া
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,LOC,DEF,PL	দ,ৃ,ষ,্,ট,া,ন,্,ত,গ,ু,ল,া,ত,ে
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,GEN,DEF,SG	দ,ৃ,ষ,্,ট,া,ন,্,ত,ট,া,র
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,ACC,DEF,PL	দ,ৃ,ষ,্,ট,া,ন,্,ত,গ,ু,ল,া
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,GEN,DEF,PL	দ,ৃ,ষ,্,ট,া,ন,্,ত,গ,ু,ল,া,র
দ,ৃ,ষ,্,ট,া,ন,্,ত,$,N,NOM,NDEF	দ,ৃ,ষ,্,ট,া,ন,্,ত
ছ,া,ত,্,র,$,N,ACC,DEF,SG	ছ,া,ত,্,র,ট,া,ক,ে
ছ,া,ত,্,র,$,N,NOM,DEF,SG	ছ,া,ত,্,র,ট,া
ছ,া,ত,্,র,$,N,GEN,DEF,PL	ছ,া,ত,্,র,দ,ে,র
ছ,া,ত,্,র,$,N,NOM,NDEF	ছ,া,ত,্,র
ছ,া,ত,্,র,$,N,GEN,NDEF	ছ,া,ত,্,র,ে,র
ছ,া,ত,্,র,$,N,ACC,DEF,PL	ছ,া,ত,্,র,দ,ে,র,ক,ে
ছ,া,ত,্,র,$,N,NOM,DEF,PL	ছ,া,ত,্,র,র,া
ছ,া,ত,্,র,$,N,GEN,DEF,SG	ছ,া,ত,্,র,ট,া,র
ছ,া,ত,্,র,$,N,ACC,NDEF	ছ,া,ত,্,র
ঢ,ো,ক,া,$,V,3,POL,PST	ঢ,ু,ক,ল,ে,ন
ঢ,ো,ক,া,$,V,HAB,2,POL,PST	ঢ,ু,ক,ত,ো
ঢ,ো,ক,া,$,V,PRF,2,POL,PST	ঢ,ু,ক,ে,ছ,ি,ল,ো
ঢ,ো,ক,া,$,V,PROG,3,POL,PRS	ঢ,ু,ক,ছ,ে,ন
ঢ,ো,ক,া,$,V,PRF,3,INFM,PST	ঢ,ু,ক,ে,ছ,ি,ল,ে
ঢ,ো,ক,া,$,V,PRF,2,PRS,LGSPEC1	ঢ,ু,ক,ে,ছ,ি,স
ঢ,ো,ক,া,$,V,HAB,2,PST,LGSPEC1	ঢ,ু,ক,ত,ি,স
ঢ,ো,ক,া,$,V,PRF,2,POL,PRS	ঢ,ু,ক,ে,ছ,ে
ঢ,ো,ক,া,$,V,PRF,1,PST	ঢ,ু,ক,ে,ছ,ি,ল,া,ম
ঢ,ো,ক,া,$,V,3,INFM,PST	ঢ,ু,ক,ল,ে
ঢ,ো,ক,া,$,V,2,PST,LGSPEC1	ঢ,ু,ক,ল,ি
ঢ,ো,ক,া,$,V,1,PRS	ঢ,ু,ক,ি
ঢ,ো,ক,া,$,V,NFIN	ঢ,ু,ক,ত,ে
ঢ,ো,ক,া,$,V,2,POL,PRS	ঢ,ো,ক,ে
ঢ,ো,ক,া,$,V,HAB,3,POL,PST	ঢ,ু,ক,ত,ে,ন
ঢ,ো,ক,া,$,V,PROG,3,INFM,PST	ঢ,ু,ক,ছ,ি,ল,ে
ঢ,ো,ক,া,$,V,1,PST	ঢ,ু,ক,ল,া,ম
ঢ,ো,ক,া,$,V,PROG,2,POL,PRS	ঢ,ু,ক,ছ,ে
ঢ,ো,ক,া,$,V,PROG,2,PRS,LGSPEC1	ঢ,ু,ক,ছ,ি,স
ঢ,ো,ক,া,$,V,PRF,3,POL,PST	ঢ,ু,ক,ে,ছ,ি,ল,ে,ন
ঢ,ো,ক,া,$,V,PROG,3,INFM,PRS	ঢ,ু,ক,ছ,ো
ঢ,ো,ক,া,$,V,PRF,3,INFM,PRS	ঢ,ু,ক,ে,ছ,ো
ঢ,ো,ক,া,$,V,PROG,2,POL,PST	ঢ,ু,ক,ছ,ি,ল,ো
ঢ,ো,ক,া,$,V,2,POL,PST	ঢ,ু,ক,ল,ো
ঢ,ো,ক,া,$,V,3,POL,PRS	ঢ,ো,ক,ে,ন
ঢ,ো,ক,া,$,V,PRF,1,PRS	ঢ,ু,ক,ে,ছ,ি
ঢ,ো,ক,া,$,V,3,INFM,PRS	ঢ,ো,ক,ো
ঢ,ো,ক,া,$,V,PROG,1,PRS	ঢ,ু,ক,ছ,ি
ঢ,ো,ক,া,$,V,PRF,3,POL,PRS	ঢ,ু,ক,ে,ছ,ে,ন
ঢ,ো,ক,া,$,V,1,FUT	ঢ,ু,ক,ব,ো
ঢ,ো,ক,া,$,V,2,PRS,LGSPEC1	ঢ,ু,ক,ি,স
ঢ,ো,ক,া,$,V,2,FUT,LGSPEC1	ঢ,ু,ক,ব,ি
ঢ,ো,ক,া,$,V,HAB,3,INFM,PST	ঢ,ু,ক,ত,ে
ঢ,ো,ক,া,$,V,3,INFM,FUT	ঢ,ু,ক,ব,ে
ঢ,ো,ক,া,$,V,2,POL,FUT	ঢ,ু,ক,ব,ে
ঢ,ো,ক,া,$,V,PROG,2,PST,LGSPEC1	ঢ,ু,ক,ছ,ি,ল,ি
ঢ,ো,ক,া,$,V,HAB,1,PST	ঢ,ু,ক,ত,া,ম
ঢ,ো,ক,া,$,V,PRF,2,PST,LGSPEC1	ঢ,ু,ক,ে,ছ,ি,ল,ি
ঢ,ো,ক,া,$,V,PROG,1,PST	ঢ,ু,ক,ছ,ি,ল,া,ম
ঢ,ো,ক,া,$,V,PROG,3,POL,PST	ঢ,ু,ক,ছ,ি,ল,ে,ন
ঢ,ো,ক,া,$,V,3,POL,FUT	ঢ,ু,ক,ব,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,3,INFM,PST	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি,ল,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ত,ি,স
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,2,PRS,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ি,স
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,3,INFM,PRS	ঘ,ৃ,ণ,া, ,ক,র,ছ,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,3,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ল,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,2,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি,ল,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,3,POL,PRS	ঘ,ৃ,ণ,া, ,ক,র,ছ,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,1,PST	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি,ল,া,ম
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,2,PST,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি,ল,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,1,PRS	ঘ,ৃ,ণ,া, ,ক,র,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,2,PST,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ল,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,3,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি,ল,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি,স
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,2,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ল,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,2,POL,PRS	ঘ,ৃ,ণ,া, ,ক,র,ছ,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,HAB,2,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ত,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,3,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি,ল,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,1,PRS	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,3,INFM,FUT	ঘ,ৃ,ণ,া, ,ক,র,ব,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,1,PST	ঘ,ৃ,ণ,া, ,ক,র,ল,া,ম
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,HAB,1,PST	ঘ,ৃ,ণ,া, ,ক,র,ত,া,ম
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,2,FUT,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ব,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,1,FUT	ঘ,ৃ,ণ,া, ,ক,র,ব,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,3,POL,PRS	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,2,POL,PRS	ঘ,ৃ,ণ,া, ,ক,র,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,2,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি,ল,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,1,PST	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি,ল,া,ম
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,3,POL,PRS	ঘ,ৃ,ণ,া, ,ক,র,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,HAB,3,INFM,PST	ঘ,ৃ,ণ,া, ,ক,র,ত,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,3,INFM,PST	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি,ল,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি,স
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,HAB,3,POL,PST	ঘ,ৃ,ণ,া, ,ক,র,ত,ে,ন
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,NFIN	ঘ,ৃ,ণ,া, ,ক,র,ত,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,3,INFM,PST	ঘ,ৃ,ণ,া, ,ক,র,ল,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,3,INFM,PRS	ঘ,ৃ,ণ,া, ,ক,র,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,2,POL,PRS	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,2,POL,FUT	ঘ,ৃ,ণ,া, ,ক,র,ব,ে
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ি,ল,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PRF,3,INFM,PRS	ঘ,ৃ,ণ,া, ,ক,র,ে,ছ,ো
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,PROG,1,PRS	ঘ,ৃ,ণ,া, ,ক,র,ছ,ি
ঘ,ৃ,ণ,া, ,ক,র,া,$,V,3,POL,FUT	ঘ,ৃ,ণ,া, ,ক,র,ব,ে,ন
আ,ল,ু,$,N,ACC,DEF,SG	আ,ল,ু,ট,া
আ,ল,ু,$,N,LOC,DEF,PL	আ,ল,ু,গ,ু,ল,া,ত,ে
আ,ল,ু,$,N,LOC,DEF,SG	আ,ল,ু,ট,া,ত,ে
আ,ল,ু,$,N,GEN,NDEF	আ,ল,ু,র
আ,ল,ু,$,N,ACC,DEF,PL	আ,ল,ু,গ,ু,ল,া
আ,ল,ু,$,N,LOC,NDEF	আ,ল,ু,ত,ে
আ,ল,ু,$,N,GEN,DEF,SG	আ,ল,ু,ট,া,র
আ,ল,ু,$,N,NOM,NDEF	আ,ল,ু
আ,ল,ু,$,N,ACC,NDEF	আ,ল,ু
আ,ল,ু,$,N,NOM,DEF,SG	আ,ল,ু,ট,া
আ,ল,ু,$,N,GEN,DEF,PL	আ,ল,ু,গ,ু,ল,া,র
আ,ল,ু,$,N,NOM,DEF,PL	আ,ল,ু,গ,ু,ল,া
ঘ,ু,ম,া,ন,ো,$,V,PRF,2,PST,LGSPEC1	ঘ,ু,ম,ি,য,়,ে,ছ,ি,ল,ি
ঘ,ু,ম,া,ন,ো,$,V,PRF,1,PST	ঘ,ু,ম,ি,য,়,ে,ছ,ি,ল,া,ম
ঘ,ু,ম,া,ন,ো,$,V,PROG,2,POL,PRS	ঘ,ু,ম,া,চ,্,ছ,ে
ঘ,ু,ম,া,ন,ো,$,V,2,POL,FUT	ঘ,ু,ম,া,ব,ে
ঘ,ু,ম,া,ন,ো,$,V,PROG,3,INFM,PRS	ঘ,ু,ম,া,চ,্,ছ,ো
ঘ,ু,ম,া,ন,ো,$,V,3,INFM,PST	ঘ,ু,ম,া,ল,ে
ঘ,ু,ম,া,ন,ো,$,V,HAB,2,PST,LGSPEC1	ঘ,ু,ম,া,ত,ি,স
ঘ,ু,ম,া,ন,ো,$,V,3,POL,PST	ঘ,ু,ম,া,ল,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,3,INFM,PRS	ঘ,ু,ম,া,ও
ঘ,ু,ম,া,ন,ো,$,V,PRF,1,PRS	ঘ,ু,ম,ি,য,়,ে,ছ,ি
ঘ,ু,ম,া,ন,ো,$,V,HAB,2,POL,PST	ঘ,ু,ম,া,ত,ো
ঘ,ু,ম,া,ন,ো,$,V,HAB,1,PST	ঘ,ু,ম,া,ত,া,ম
ঘ,ু,ম,া,ন,ো,$,V,3,POL,FUT	ঘ,ু,ম,া,ব,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,3,INFM,FUT	ঘ,ু,ম,া,ব,ে
ঘ,ু,ম,া,ন,ো,$,V,PRF,2,POL,PRS	ঘ,ু,ম,ি,য,়,ে,ছ,ে
ঘ,ু,ম,া,ন,ো,$,V,HAB,3,POL,PST	ঘ,ু,ম,া,ত,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,HAB,3,INFM,PST	ঘ,ু,ম,া,ত,ে
ঘ,ু,ম,া,ন,ো,$,V,PRF,3,INFM,PRS	ঘ,ু,ম,ি,য,়,ে,ছ,ো
ঘ,ু,ম,া,ন,ো,$,V,2,PRS,LGSPEC1	ঘ,ু,ম,া,স
ঘ,ু,ম,া,ন,ো,$,V,2,POL,PRS	ঘ,ু,ম,া,য,়
ঘ,ু,ম,া,ন,ো,$,V,NFIN	ঘ,ু,ম,া,ত,ে
ঘ,ু,ম,া,ন,ো,$,V,PROG,2,PST,LGSPEC1	ঘ,ু,ম,া,চ,্,ছ,ি,ল,ি
ঘ,ু,ম,া,ন,ো,$,V,PRF,3,POL,PST	ঘ,ু,ম,ি,য,়,ে,ছ,ি,ল,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,2,PST,LGSPEC1	ঘ,ু,ম,া,ল,ি
ঘ,ু,ম,া,ন,ো,$,V,PRF,2,PRS,LGSPEC1	ঘ,ু,ম,ি,য,়,ে,ছ,ি,স
ঘ,ু,ম,া,ন,ো,$,V,2,FUT,LGSPEC1	ঘ,ু,ম,া,ব,ি
ঘ,ু,ম,া,ন,ো,$,V,3,POL,PRS	ঘ,ু,ম,া,ন
ঘ,ু,ম,া,ন,ো,$,V,PRF,3,INFM,PST	ঘ,ু,ম,ি,য,়,ে,ছ,ি,ল,ে
ঘ,ু,ম,া,ন,ো,$,V,1,PST	ঘ,ু,ম,া,ল,া,ম
ঘ,ু,ম,া,ন,ো,$,V,PROG,2,PRS,LGSPEC1	ঘ,ু,ম,া,চ,্,ছ,ি,স
ঘ,ু,ম,া,ন,ো,$,V,PRF,3,POL,PRS	ঘ,ু,ম,ি,য,়,ে,ছ,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,1,FUT	ঘ,ু,ম,া,ব,ো
ঘ,ু,ম,া,ন,ো,$,V,PROG,3,POL,PRS	ঘ,ু,ম,া,চ,্,ছ,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,PRF,2,POL,PST	ঘ,ু,ম,ি,য,়,ে,ছ,ি,ল,ো
ঘ,ু,ম,া,ন,ো,$,V,PROG,2,POL,PST	ঘ,ু,ম,া,চ,্,ছ,ি,ল,ো
ঘ,ু,ম,া,ন,ো,$,V,2,POL,PST	ঘ,ু,ম,া,ল,ো
ঘ,ু,ম,া,ন,ো,$,V,PROG,3,POL,PST	ঘ,ু,ম,া,চ,্,ছ,ি,ল,ে,ন
ঘ,ু,ম,া,ন,ো,$,V,1,PRS	ঘ,ু,ম,া,ই
ঘ,ু,ম,া,ন,ো,$,V,PROG,3,INFM,PST	ঘ,ু,ম,া,চ,্,ছ,ি,ল,ে
ঘ,ু,ম,া,ন,ো,$,V,PROG,1,PST	ঘ,ু,ম,া,চ,্,ছ,ি,ল,া,ম
ঘ,ু,ম,া,ন,ো,$,V,PROG,1,PRS	ঘ,ু,ম,া,চ,্,ছ,ি
ভ,া,ঙ,া,$,V,3,INFM,FUT	ভ,া,ঙ,ব,ে
ভ,া,ঙ,া,$,V,PROG,2,POL,PRS	ভ,া,ঙ,ছ,ে
ভ,া,ঙ,া,$,V,PROG,2,POL,PST	ভ,া,ঙ,ছ,ি,ল,ো
ভ,া,ঙ,া,$,V,1,FUT	ভ,া,ঙ,ব,ো
ভ,া,ঙ,া,$,V,PROG,2,PRS,LGSPEC1	ভ,া,ঙ,ছ,ি,স
ভ,া,ঙ,া,$,V,2,POL,PRS	ভ,া,ঙ,ে
ভ,া,ঙ,া,$,V,2,FUT,LGSPEC1	ভ,া,ঙ,ব,ি
ভ,া,ঙ,া,$,V,PRF,2,POL,PST	ভ,ে,ঙ,ে,ছ,ি,ল,ো
ভ,া,ঙ,া,$,V,3,POL,PST	ভ,া,ঙ,ল,ে,ন
ভ,া,ঙ,া,$,V,2,POL,PST	ভ,া,ঙ,ল,ো
ভ,া,ঙ,া,$,V,3,INFM,PST	ভ,া,ঙ,ল,ে
ভ,া,ঙ,া,$,V,PROG,3,INFM,PST	ভ,া,ঙ,ছ,ি,ল,ে
ভ,া,ঙ,া,$,V,PROG,3,POL,PST	ভ,া,ঙ,ছ,ি,ল,ে,ন
ভ,া,ঙ,া,$,V,PRF,1,PST	ভ,ে,ঙ,ে,ছ,ি,ল,া,ম
ভ,া,ঙ,া,$,V,NFIN	ভ,া,ঙ,ত,ে
ভ,া,ঙ,া,$,V,3,INFM,PRS	ভ,া,ঙ,ো
ভ,া,ঙ,া,$,V,PROG,3,POL,PRS	ভ,া,ঙ,ছ,ে,ন
ভ,া,ঙ,া,$,V,PROG,1,PST	ভ,া,ঙ,ছ,ি,ল,া,ম
