l,i,a,$,COPY	l,i,a
o,u,f,u,$,COPY	o,u,f,u
o,u,f,u,$,V,INDF,FIN,IND,PL,2,PRS	m,a,o,u,f,u
r,o,w,a,$,COPY	r,o,w,a
r,o,w,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,r,o,w,a
r,t,f,a,$,COPY	r,t,f,a
r,t,f,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,r,t,f,a
r,u,k,j,$,COPY	r,u,k,j
r,u,k,j,$,V,FIN,COND,SG,2,PRS	u,n,g,e,r,u,k,j
d,h,k,g,$,COPY	d,h,k,g
d,h,k,g,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,d,h,k,g
s,r,k,a,$,COPY	s,r,k,a
s,r,k,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,s,r,k,a
r,f,e,a,$,COPY	r,f,e,a
r,f,e,a,$,V,FIN,IND,SG,3,PST	a,l,i,r,f,e,a
s,p,k,y,$,COPY	s,p,k,y
s,p,k,y,$,V,FIN,IND,PL,2,FUT	m,t,a,s,p,k,y
r,f,t,a,$,COPY	r,f,t,a
r,f,t,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,r,f,t,a
r,u,g,o,$,COPY	r,u,g,o
r,u,g,o,$,V,FIN,COND,SG,3,PRS	a,n,g,e,r,u,g,o
r,u,k,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,r,u,k,a
r,u,k,w,$,COPY	r,u,k,w
r,u,k,w,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,r,u,k,w
r,z,s,p,$,COPY	r,z,s,p
r,z,s,p,$,V,FIN	k,u,r,z,s,p
r,o,k,a,$,COPY	r,o,k,a
r,o,k,a,$,V,FIN,IND,SG,3,FUT	a,t,a,r,o,k,a
e,u,i,h,$,COPY	e,u,i,h
e,u,i,h,$,V,FIN,IND,SG,2,FUT	u,t,a,e,u,i,h
r,u,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,r,u,k,a
r,u,f,a,$,COPY	r,u,f,a
r,u,f,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,r,u,f,a
g,z,k,a,$,COPY	g,z,k,a
g,z,k,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,g,z,k,a
r,h,z,z,$,COPY	r,h,z,z
r,h,z,z,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,r,h,z,z
b,c,c,a,$,COPY	b,c,c,a
b,c,c,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,b,c,c,a
r,u,y,o,$,COPY	r,u,y,o
r,u,y,o,$,V,FIN,IND,PL,1,FUT	t,u,t,a,r,u,y,o
r,u,k,m,$,COPY	r,u,k,m
r,u,k,m,$,V,FIN,IND,PL,3,PST	w,a,l,i,r,u,k,m
r,u,k,m,$,V,FIN,IND,PL,2,PST	m,l,i,r,u,k,m
h,e,g,a,$,COPY	h,e,g,a
h,e,g,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,h,e,g,a
r,k,o,g,$,COPY	r,k,o,g
r,k,o,g,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,r,k,o,g
r,p,k,c,$,COPY	r,p,k,c
r,p,k,c,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,r,p,k,c
r,u,m,e,$,COPY	r,u,m,e
r,u,m,e,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,r,u,m,e
r,t,k,w,$,COPY	r,t,k,w
r,t,k,w,$,V,FIN,IND,PL,3,FUT	w,a,t,a,r,t,k,w
s,u,u,a,$,COPY	s,u,u,a
s,u,u,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,s,u,u,a
r,u,b,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,r,u,b,a
l,g,r,m,$,COPY	l,g,r,m
l,g,r,m,$,V,FIN,IND,PL,3,FUT	w,a,t,a,l,g,r,m
l,j,t,a,$,COPY	l,j,t,a
l,j,t,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,l,j,t,a
o,e,t,a,$,COPY	o,e,t,a
o,e,t,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,o,e,t,a
o,e,h,a,$,COPY	o,e,h,a
o,e,h,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,o,e,h,a
l,r,t,w,$,COPY	l,r,t,w
l,r,t,w,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,l,r,t,w
p,d,t,a,$,COPY	p,d,t,a
p,d,t,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,p,d,t,a
l,e,t,f,$,COPY	l,e,t,f
l,e,t,f,$,V,FIN,IND,PL,3,PST	w,a,l,i,l,e,t,f
a,r,d,k,$,COPY	a,r,d,k
a,r,d,k,$,V,FIN,IND,SG,1,PST	n,i,l,i,a,r,d,k
o,e,t,f,$,COPY	o,e,t,f
o,e,t,f,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,o,e,t,f
n,e,t,a,$,COPY	n,e,t,a
n,e,t,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,n,e,t,a
l,c,t,h,$,COPY	l,c,t,h
l,c,t,h,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,c,t,h
l,e,y,a,$,COPY	l,e,y,a
l,e,y,a,$,V,FIN,IND,PL,2,FUT	m,t,a,l,e,y,a
u,e,i,i,$,COPY	u,e,i,i
u,e,i,i,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,u,e,i,i
d,u,f,w,$,COPY	d,u,f,w
d,u,f,w,$,V,FIN,IND,SG,3,PST	a,l,i,d,u,f,w
l,e,t,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,l,e,t,a
l,e,h,o,$,COPY	l,e,h,o
l,e,h,o,$,V,FIN,IND,SG,3,FUT	a,t,a,l,e,h,o
h,s,t,a,$,COPY	h,s,t,a
h,s,t,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,h,s,t,a
m,j,t,a,$,COPY	m,j,t,a
m,j,t,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,m,j,t,a
l,e,t,w,$,COPY	l,e,t,w
l,e,t,w,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,l,e,t,w
l,e,t,o,$,COPY	l,e,t,o
l,e,t,o,$,V,FIN,IND,SG,2,PST	u,l,i,l,e,t,o
l,r,t,a,$,COPY	l,r,t,a
l,r,t,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,l,r,t,a
c,p,t,a,$,COPY	c,p,t,a
c,p,t,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,c,p,t,a
l,e,u,h,$,COPY	l,e,u,h
l,e,u,h,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,l,e,u,h
b,c,a,a,$,COPY	b,c,a,a
b,c,a,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,b,c,a,a
l,d,t,a,$,COPY	l,d,t,a
l,d,t,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,l,d,t,a
u,e,d,a,$,COPY	u,e,d,a
u,e,d,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,u,e,d,a
l,e,k,a,$,COPY	l,e,k,a
l,e,k,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,l,e,k,a
l,t,t,a,$,COPY	l,t,t,a
l,t,t,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,l,t,t,a
l,r,t,g,$,COPY	l,r,t,g
l,r,t,g,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,l,r,t,g
l,i,d,s,$,COPY	l,i,d,s
l,i,d,s,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,l,i,d,s
l,e,m,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,l,e,m,a
l,e,i,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,l,e,i,a
l,u,o,k,$,COPY	l,u,o,k
l,u,o,k,$,V,FIN,IND,PL,2,PST	m,l,i,l,u,o,k
a,e,t,a,$,COPY	a,e,t,a
a,e,t,a,$,V,FIN	k,u,a,e,t,a
e,e,a,a,$,COPY	e,e,a,a
e,e,a,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,e,e,a,a
l,h,t,a,$,COPY	l,h,t,a
l,h,t,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,l,h,t,a
c,e,j,a,$,COPY	c,e,j,a
c,e,j,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,c,e,j,a
l,e,t,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,l,e,t,a
l,e,t,c,$,COPY	l,e,t,c
l,e,t,c,$,V,FIN,IND,SG,1,FUT	n,i,t,a,l,e,t,c
l,e,t,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,l,e,t,a
l,e,n,a,$,COPY	l,e,n,a
l,e,n,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,l,e,n,a
l,f,b,a,$,COPY	l,f,b,a
l,f,b,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,l,f,b,a
n,e,t,s,$,COPY	n,e,t,s
n,e,t,s,$,V,INDF,FIN,IND,SG,2,PRS	u,a,n,e,t,s
n,e,k,a,$,COPY	n,e,k,a
n,e,k,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,n,e,k,a
l,e,s,p,$,COPY	l,e,s,p
l,e,s,p,$,V,FIN,IND,PL,1,PST	t,u,l,i,l,e,s,p
c,e,t,a,$,COPY	c,e,t,a
c,e,t,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,c,e,t,a
e,p,w,a,$,COPY	e,p,w,a
e,p,w,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,e,p,w,a
l,n,h,a,$,COPY	l,n,h,a
l,n,h,a,$,V,FIN,IND,SG,2,FUT	u,t,a,l,n,h,a
l,y,a,a,$,COPY	l,y,a,a
l,y,a,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,l,y,a,a
g,z,r,b,$,COPY	g,z,r,b
g,z,r,b,$,V,FIN,IND,SG,1,PST	n,i,l,i,g,z,r,b
g,n,s,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,g,n,s,a
a,u,s,a,$,COPY	a,u,s,a
a,u,s,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,a,u,s,a
g,z,s,e,$,COPY	g,z,s,e
g,z,s,e,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,g,z,s,e
l,a,s,a,$,COPY	l,a,s,a
l,a,s,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,a,s,a
u,e,l,a,$,COPY	u,e,l,a
u,e,l,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,u,e,l,a
z,k,s,e,$,COPY	z,k,s,e
z,k,s,e,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,z,k,s,e
g,z,s,c,$,COPY	g,z,s,c
g,z,s,c,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,g,z,s,c
u,u,u,g,$,COPY	u,u,u,g
u,u,u,g,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,u,u,u,g
g,u,t,w,$,COPY	g,u,t,w
g,u,t,w,$,V,FIN,IND,SG,1,FUT	n,i,t,a,g,u,t,w
g,t,c,z,$,COPY	g,t,c,z
g,t,c,z,$,V,FIN,IND,SG,2,FUT	u,t,a,g,t,c,z
c,u,s,f,$,COPY	c,u,s,f
c,u,s,f,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,c,u,s,f
g,e,k,c,$,COPY	g,e,k,c
g,e,k,c,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,g,e,k,c
r,u,w,w,$,COPY	r,u,w,w
r,u,w,w,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,r,u,w,w
g,u,s,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,g,u,s,a
g,u,s,z,$,COPY	g,u,s,z
g,u,s,z,$,V,FIN,COND,SG,2,PRS	u,n,g,e,g,u,s,z
g,u,s,l,$,COPY	g,u,s,l
g,u,s,l,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,g,u,s,l
j,f,l,m,$,COPY	j,f,l,m
j,f,l,m,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,j,f,l,m
u,u,s,u,$,COPY	u,u,s,u
u,u,s,u,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,u,u,s,u
y,w,o,y,$,COPY	y,w,o,y
y,w,o,y,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,y,w,o,y
b,m,u,a,$,COPY	b,m,u,a
b,m,u,a,$,V,FIN,IND,PL,2,FUT	m,t,a,b,m,u,a
g,l,z,h,$,COPY	g,l,z,h
g,l,z,h,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,g,l,z,h
g,p,s,a,$,COPY	g,p,s,a
g,p,s,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,g,p,s,a
g,u,s,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,g,u,s,a
g,u,s,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,g,u,s,a
g,a,s,a,$,COPY	g,a,s,a
g,a,s,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,g,a,s,a
g,u,s,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,g,u,s,a
n,f,s,t,$,COPY	n,f,s,t
n,f,s,t,$,V,FIN,IND,SG,3,PST	a,l,i,n,f,s,t
a,u,s,a,$,V,FIN	k,u,a,u,s,a
b,u,w,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,b,u,w,a
g,u,s,l,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,g,u,s,l
a,s,s,a,$,COPY	a,s,s,a
a,s,s,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,a,s,s,a
j,u,s,a,$,V,FIN,IND,PL,2,PST	m,l,i,j,u,s,a
t,u,f,n,$,COPY	t,u,f,n
t,u,f,n,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,t,u,f,n
l,u,s,a,$,COPY	l,u,s,a
l,u,s,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,l,u,s,a
g,u,s,i,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,g,u,s,i
a,u,u,l,$,COPY	a,u,u,l
a,u,u,l,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,a,u,u,l
g,u,a,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,g,u,a,a
g,u,s,s,$,COPY	g,u,s,s
g,u,s,s,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,g,u,s,s
g,t,l,o,$,COPY	g,t,l,o
g,t,l,o,$,V,FIN,IND,PL,1,FUT	t,u,t,a,g,t,l,o
g,u,s,r,$,COPY	g,u,s,r
g,u,s,r,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,g,u,s,r
r,u,y,a,$,COPY	r,u,y,a
r,u,y,a,$,V,FIN,IND,SG,3,FUT	a,t,a,r,u,y,a
s,d,s,a,$,COPY	s,d,s,a
s,d,s,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,s,d,s,a
r,u,s,y,$,COPY	r,u,s,y
r,u,s,y,$,V,FIN,IND,SG,2,PST	u,l,i,r,u,s,y
g,k,s,a,$,COPY	g,k,s,a
g,k,s,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,g,k,s,a
g,u,s,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,g,u,s,a
o,u,s,z,$,COPY	o,u,s,z
o,u,s,z,$,V,INDF,FIN,IND,PL,2,PRS	m,a,o,u,s,z
g,u,s,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,g,u,s,a
g,u,s,l,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,g,u,s,l
t,r,k,i,s,a,$,COPY	t,r,k,i,s,a
t,r,k,i,s,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,t,r,k,i,s,a
t,o,e,b,s,a,$,COPY	t,o,e,b,s,a
t,o,e,b,s,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,t,o,e,b,s,a
t,i,k,i,s,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,t,i,k,i,s,a
t,i,k,n,y,a,$,COPY	t,i,k,n,y,a
t,i,k,n,y,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,t,i,k,n,y,a
t,h,k,i,s,a,$,COPY	t,h,k,i,s,a
t,h,k,i,s,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,t,h,k,i,s,a
t,s,p,p,s,a,$,COPY	t,s,p,p,s,a
t,s,p,p,s,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,t,s,p,p,s,a
t,z,c,n,a,a,$,COPY	t,z,c,n,a,a
t,z,c,n,a,a,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,t,z,c,n,a,a
t,i,y,s,s,a,$,COPY	t,i,y,s,s,a
t,i,y,s,s,a,$,V,FIN,IND,SG,2,PST	u,l,i,t,i,y,s,s,a
t,i,m,i,s,a,$,COPY	t,i,m,i,s,a
t,i,m,i,s,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,t,i,m,i,s,a
t,a,u,e,s,a,$,COPY	t,a,u,e,s,a
t,a,u,e,s,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,t,a,u,e,s,a
t,i,k,i,s,a,$,V,FIN,IND,SG,3,FUT	a,t,a,t,i,k,i,s,a
t,n,k,i,u,a,$,COPY	t,n,k,i,u,a
t,n,k,i,u,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,t,n,k,i,u,a
t,i,s,i,p,a,$,COPY	t,i,s,i,p,a
t,i,s,i,p,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,t,i,s,i,p,a
t,i,k,t,s,a,$,COPY	t,i,k,t,s,a
t,i,k,t,s,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,t,i,k,t,s,a
t,o,s,i,t,a,$,COPY	t,o,s,i,t,a
t,o,s,i,t,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,t,o,s,i,t,a
t,b,d,i,p,a,$,COPY	t,b,d,i,p,a
t,b,d,i,p,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,t,b,d,i,p,a
t,i,k,r,s,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,t,i,k,r,s,a
t,i,z,i,s,a,$,COPY	t,i,z,i,s,a
t,i,z,i,s,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,t,i,z,i,s,a
t,i,h,i,p,a,$,COPY	t,i,h,i,p,a
t,i,h,i,p,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,t,i,h,i,p,a
t,w,l,i,b,a,$,COPY	t,w,l,i,b,a
t,w,l,i,b,a,$,V,FIN,IND,PL,2,PST	m,l,i,t,w,l,i,b,a
t,i,y,i,s,a,$,V,FIN,IND,SG,2,FUT	u,t,a,t,i,y,i,s,a
t,i,l,p,c,a,$,COPY	t,i,l,p,c,a
t,i,l,p,c,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,t,i,l,p,c,a
t,i,n,e,s,a,$,COPY	t,i,n,e,s,a
t,i,n,e,s,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,t,i,n,e,s,a
t,i,n,h,s,a,$,COPY	t,i,n,h,s,a
t,i,n,h,s,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,t,i,n,h,s,a
t,i,l,g,s,a,$,COPY	t,i,l,g,s,a
t,i,l,g,s,a,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,t,i,l,g,s,a
t,i,j,i,s,a,$,COPY	t,i,j,i,s,a
t,i,j,i,s,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,t,i,j,i,s,a
t,i,w,i,o,a,$,COPY	t,i,w,i,o,a
t,i,w,i,o,a,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,t,i,w,i,o,a
t,u,o,i,g,a,$,COPY	t,u,o,i,g,a
t,u,o,i,g,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,t,u,o,i,g,a
t,t,g,i,s,a,$,COPY	t,t,g,i,s,a
t,t,g,i,s,a,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,t,t,g,i,s,a
t,w,k,i,k,a,$,COPY	t,w,k,i,k,a
t,w,k,i,k,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,t,w,k,i,k,a
t,i,k,i,w,a,$,COPY	t,i,k,i,w,a
t,i,k,i,w,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,t,i,k,i,w,a
t,n,k,i,t,a,$,COPY	t,n,k,i,t,a
t,n,k,i,t,a,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,t,n,k,i,t,a
t,t,p,i,s,a,$,COPY	t,t,p,i,s,a
t,t,p,i,s,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,t,t,p,i,s,a
t,c,k,b,s,a,$,COPY	t,c,k,b,s,a
t,c,k,b,s,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,t,c,k,b,s,a
t,i,k,i,s,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,t,i,k,i,s,a
t,e,k,i,e,a,$,COPY	t,e,k,i,e,a
t,e,k,i,e,a,$,V,FIN	k,u,t,e,k,i,e,a
t,f,k,l,n,a,$,COPY	t,f,k,l,n,a
t,f,k,l,n,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,t,f,k,l,n,a
t,i,r,f,s,a,$,COPY	t,i,r,f,s,a
t,i,r,f,s,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,t,i,r,f,s,a
t,d,a,h,i,a,$,COPY	t,d,a,h,i,a
t,d,a,h,i,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,t,d,a,h,i,a
t,i,y,i,s,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,t,i,y,i,s,a
t,g,c,c,r,a,$,COPY	t,g,c,c,r,a
t,g,c,c,r,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,t,g,c,c,r,a
t,i,d,o,s,a,$,COPY	t,i,d,o,s,a
t,i,d,o,s,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,t,i,d,o,s,a
t,c,e,i,s,a,$,COPY	t,c,e,i,s,a
t,c,e,i,s,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,t,c,e,i,s,a
t,e,o,i,s,a,$,COPY	t,e,o,i,s,a
t,e,o,i,s,a,$,V,FIN,IND,PL,2,FUT	m,t,a,t,e,o,i,s,a
t,i,k,f,s,a,$,COPY	t,i,k,f,s,a
t,i,k,f,s,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,t,i,k,f,s,a
t,i,k,i,s,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,t,i,k,i,s,a
t,i,z,i,s,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,t,i,z,i,s,a
t,o,h,e,u,a,$,COPY	t,o,h,e,u,a
t,o,h,e,u,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,t,o,h,e,u,a
t,i,k,i,s,a,$,V,FIN,IND,SG,3,PST	a,l,i,t,i,k,i,s,a
l,k,o,n,m,$,COPY	l,k,o,n,m
l,k,o,n,m,$,V,FIN,IND,SG,2,PST	u,l,i,l,k,o,n,m
z,h,r,m,a,$,COPY	z,h,r,m,a
z,h,r,m,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,z,h,r,m,a
c,h,s,m,a,$,COPY	c,h,s,m,a
c,h,s,m,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,c,h,s,m,a
c,p,l,m,a,$,COPY	c,p,l,m,a
c,p,l,m,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,c,p,l,m,a
c,h,l,m,a,$,COPY	c,h,l,m,a
c,h,l,m,a,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,c,h,l,m,a
k,h,o,m,b,$,COPY	k,h,o,m,b
k,h,o,m,b,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,k,h,o,m,b
z,h,o,m,a,$,COPY	z,h,o,m,a
z,h,o,m,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,z,h,o,m,a
e,i,d,m,k,$,COPY	e,i,d,m,k
e,i,d,m,k,$,V,FIN,IND,PL,2,PST	m,l,i,e,i,d,m,k
r,n,o,m,a,$,COPY	r,n,o,m,a
r,n,o,m,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,r,n,o,m,a
t,c,e,y,a,$,COPY	t,c,e,y,a
t,c,e,y,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,t,c,e,y,a
w,h,o,m,l,$,COPY	w,h,o,m,l
w,h,o,m,l,$,V,INDF,FIN,IND,PL,2,PRS	m,a,w,h,o,m,l
c,h,o,m,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,c,h,o,m,a
c,h,o,m,j,$,COPY	c,h,o,m,j
c,h,o,m,j,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,c,h,o,m,j
c,l,o,r,y,$,COPY	c,l,o,r,y
c,l,o,r,y,$,V,FIN,COND,PL,2,PRS	m,n,g,e,c,l,o,r,y
c,f,o,g,o,$,COPY	c,f,o,g,o
c,f,o,g,o,$,V,FIN,IND,PL,3,FUT	w,a,t,a,c,f,o,g,o
c,h,o,z,a,$,COPY	c,h,o,z,a
c,h,o,z,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,c,h,o,z,a
a,y,f,u,a,$,COPY	a,y,f,u,a
a,y,f,u,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,a,y,f,u,a
z,h,w,z,m,$,COPY	z,h,w,z,m
z,h,w,z,m,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,z,h,w,z,m
n,h,o,m,l,$,COPY	n,h,o,m,l
n,h,o,m,l,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,n,h,o,m,l
c,h,o,d,t,$,COPY	c,h,o,d,t
c,h,o,d,t,$,V,FIN,IND,SG,3,PST	a,l,i,c,h,o,d,t
c,n,w,h,h,$,COPY	c,n,w,h,h
c,n,w,h,h,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,c,n,w,h,h
s,w,o,m,s,$,COPY	s,w,o,m,s
s,w,o,m,s,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,s,w,o,m,s
f,n,o,m,a,$,COPY	f,n,o,m,a
f,n,o,m,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,f,n,o,m,a
i,h,o,a,a,$,COPY	i,h,o,a,a
i,h,o,a,a,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,i,h,o,a,a
e,h,o,u,i,$,COPY	e,h,o,u,i
e,h,o,u,i,$,V,FIN,IND,SG,3,FUT	a,t,a,e,h,o,u,i
c,h,d,u,g,$,COPY	c,h,d,u,g
c,h,d,u,g,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,c,h,d,u,g
j,h,c,m,a,$,COPY	j,h,c,m,a
j,h,c,m,a,$,V,FIN,IND,PL,2,FUT	m,t,a,j,h,c,m,a
y,h,o,m,a,$,COPY	y,h,o,m,a
y,h,o,m,a,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,y,h,o,m,a
c,h,z,m,a,$,COPY	c,h,z,m,a
