т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,м,ү,н
к,ү,р,ө,ш,ү,ү,$,V,SG,1,FUT	к,ү,р,ө,ш,ө,м,ү,н
к,ү,р,ө,ш,ү,ү,$,V,PRF,SG,1,PST	к,ү,p,ө,ш,к,ө,н,м,ү,н
к,ү,р,ө,ш,ү,ү,$,V,PROG,PL,3,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,ы,ш,к,a,н
к,ү,р,ө,ш,ү,ү,$,V,PROG,SG,3,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,a,т
к,ү,р,ө,ш,ү,ү,$,V,PRF,FRML,SG,2,PST	к,ү,p,ө,ш,к,ө,н,с,ү,з
к,ү,р,ө,ш,ү,ү,$,V,FRML,SG,2,PRS	к,ү,р,ө,ш,ү,ү,д,ө,с,ү,з
к,ү,р,ө,ш,ү,ү,$,V,PL,1,PRS	к,ү,р,ө,ш,ү,ү,д,ө,б,ү,з
к,ү,р,ө,ш,ү,ү,$,V,PRF,SG,2,INFM,PST	к,ү,p,ө,ш,к,ө,н,с,ү,ң
к,ү,р,ө,ш,ү,ү,$,V,HAB,SG,3,PST	к,ү,p,ө,ш,ч,ү
к,ү,р,ө,ш,ү,ү,$,V,SG,2,INFM,PRS	к,ү,р,ө,ш,ү,ү,д,ө,с,ү,ң
к,ү,р,ө,ш,ү,ү,$,V,PROG,SG,1,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,a,м,ы,н
к,ү,р,ө,ш,ү,ү,$,V,PROG,SG,2,INFM,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,к,a,н,с,ы,ң
к,ү,р,ө,ш,ү,ү,$,V,PL,3,PST	к,ү,р,ө,ш,т,ү
к,ү,р,ө,ш,ү,ү,$,V,COND,SG,3,FUT	к,ү,p,ө,ш,ө,p
к,ү,р,ө,ш,ү,ү,$,V,HAB,FRML,SG,2,PST	к,ү,p,ө,ш,ч,ү,с,ү,з
к,ү,р,ө,ш,ү,ү,$,V,PL,3,FUT	к,ү,р,ө,ш,ө,т
к,ү,р,ө,ш,ү,ү,$,V,SG,3,FUT	к,ү,р,ө,ш,ө,т
к,ү,р,ө,ш,ү,ү,$,V,PL,3,PRS	к,ү,р,ө,ш,ү,ү,д,ө
к,ү,р,ө,ш,ү,ү,$,V,PROG,PL,1,PRS	к,ү,р,ө,ш,ү,п, ,ж,a,т,a,б,ы,з
к,ү,р,ө,ш,ү,ү,$,V,PROG,SG,1,PST	к,ү,р,ө,ш,ү,п, ,ж,a,т,к,a,м,ы,н
к,ү,р,ө,ш,ү,ү,$,V,PRF,SG,3,PST	к,ү,p,ө,ш,к,ө,н
к,ү,р,ө,ш,ү,ү,$,V,FRML,SG,2,PST	к,ү,р,ө,ш,т,ү,ң,ү,з
к,ү,р,ө,ш,ү,ү,$,V,HAB,SG,1,PST	к,ү,p,ө,ш,ч,ү,м,ү,н
к,ү,р,ө,ш,ү,ү,$,V,SG,3,PST	к,ү,р,ө,ш,т,ү
к,ү,р,ө,ш,ү,ү,$,V,PRF,PL,3,PST	к,ү,p,ө,ш,ү,ш,к,ө,н
к,ү,р,ө,ш,ү,ү,$,V,PL,1,PST	к,ү,р,ө,ш,т,ү,к
к,ү,р,ө,ш,ү,ү,$,V,COND,PL,1,FUT	к,ү,p,ө,ш,ө,p,б,ү,з
к,ү,р,ө,ш,ү,ү,$,V,SG,2,INFM,PST	к,ү,р,ө,ш,т,ү,ң
к,ү,р,ө,ш,ү,ү,$,V,PL,2,INFM,PRS	к,ү,р,ө,ш,ү,ү,д,ө,с,ү,ң,ө,р
к,ү,р,ө,ш,ү,ү,$,V,SG,3,PRS	к,ү,р,ө,ш,ү,ү,д,ө
ж,a,б,у,у,$,V,HAB,SG,2,INFM,PST	ж,a,б,ч,у,с,у,ң
ж,a,б,у,у,$,V,HAB,SG,1,PST	ж,a,б,ч,у,м,у,н
ж,a,б,у,у,$,V,PRF,SG,3,PST	ж,a,п,к,a,н
ж,a,б,у,у,$,V,PROG,SG,1,PST	ж,a,б,ы,п, ,ж,a,т,к,a,м,ы,н
ж,a,б,у,у,$,V,SG,3,PRS	ж,a,б,у,у,д,a
ж,a,б,у,у,$,V,COND,PL,2,INFM,FUT	ж,a,б,a,p,с,ы,ң,a,p
ж,a,б,у,у,$,V,PROG,SG,1,PRS	ж,a,б,ы,п, ,ж,a,т,a,м,ы,н
ж,a,б,у,у,$,V,PRF,PL,2,INFM,PST	ж,a,п,к,a,н,с,ы,ң,a,p
ж,a,б,у,у,$,V,HAB,PL,1,PST	ж,a,б,ч,у,б,у,з
ж,a,б,у,у,$,V,PROG,SG,2,INFM,PRS	ж,a,б,ы,п, ,ж,a,т,a,с,ы,ң
ж,a,б,у,у,$,V,PROG,PL,1,PST	ж,a,б,ы,п, ,ж,a,т,к,a,н,б,ы,з
ж,a,б,у,у,$,V,SG,2,INFM,PST	ж,a,п,т,ы,ң
ж,a,б,у,у,$,V,FRML,SG,2,PST	ж,a,п,т,ы,ң,ы,з
ж,a,б,у,у,$,V,COND,SG,2,INFM,FUT	ж,a,б,a,p,с,ы,ң
ж,a,б,у,у,$,V,HAB,FRML,SG,2,PST	ж,a,б,ч,у,с,у,з
ж,a,б,у,у,$,V,PL,2,INFM,PRS	ж,a,б,у,у,д,a,с,ы,ң,a,р
ж,a,б,у,у,$,V,PL,1,PRS	ж,a,б,у,у,д,a,б,ы,з
ж,a,б,у,у,$,V,HAB,SG,3,PST	ж,a,б,ч,у
ж,a,б,у,у,$,V,PL,1,PST	ж,a,п,т,ы,к
ж,a,б,у,у,$,V,PL,3,FUT	ж,a,б,ы,ш,a,т
ж,a,б,у,у,$,V,PROG,SG,2,INFM,PST	ж,a,б,ы,п, ,ж,a,т,к,a,н,с,ы,ң
ж,a,б,у,у,$,V,PROG,PL,1,PRS	ж,a,б,ы,п, ,ж,a,т,a,б,ы,з
ж,a,б,у,у,$,V,SG,1,PRS	ж,a,б,у,у,д,a,м,ы,н
ж,a,б,у,у,$,V,PL,2,INFM,FUT	ж,a,б,a,с,ы,ң,a,р
ж,a,б,у,у,$,V,FRML,SG,2,PRS	ж,a,б,у,у,д,a,с,ы,з
ж,a,б,у,у,$,V,COND,PL,1,FUT	ж,a,б,a,p,б,ы,з
ж,a,б,у,у,$,V,PROG,SG,3,PST	ж,a,б,ы,п, ,ж,a,т,к,a,н
ж,a,б,у,у,$,V,SG,2,INFM,FUT	ж,a,б,a,с,ы,ң
ж,a,б,у,у,$,V,PRF,SG,1,PST	ж,a,п,к,a,н,м,ы,н
ж,a,б,у,у,$,V,FRML,COND,SG,2,FUT	ж,a,б,a,p,с,ы,з
ж,a,б,у,у,$,V,PROG,PL,3,PST	ж,a,б,ы,п, ,ж,a,т,ы,ш,к,a,н
ж,a,б,у,у,$,V,PROG,FRML,SG,2,PST	ж,a,б,ы,п, ,ж,a,т,к,a,н,с,ы,з
ж,a,б,у,у,$,V,PRF,FRML,SG,2,PST	ж,a,п,к,a,н,с,ы,з
ж,a,б,у,у,$,V,SG,2,INFM,PRS	ж,a,б,у,у,д,a,с,ы,ң
ж,a,б,у,у,$,V,PRF,PL,1,PST	ж,a,п,к,a,н,б,ы,з
ж,a,б,у,у,$,V,SG,3,PST	ж,a,п,т,ы
ж,a,б,у,у,$,V,PL,3,PRS	ж,a,б,у,у,д,a
ж,a,б,у,у,$,V,COND,SG,3,FUT	ж,a,б,a,p
ж,a,б,у,у,$,V,PROG,FRML,SG,2,PRS	ж,a,б,ы,п, ,ж,a,т,a,с,ы,з
ж,a,б,у,у,$,V,SG,3,FUT	ж,a,б,a,т
ж,a,б,у,у,$,V,SG,1,FUT	ж,a,б,a,м,ы,н
ж,a,б,у,у,$,V,PL,1,FUT	ж,a,б,a,б,ы,з
ж,a,б,у,у,$,V,SG,1,PST	ж,a,п,т,ы,м
ж,a,б,у,у,$,V,PROG,PL,3,PRS	ж,a,б,ы,п, ,ж,a,т,ы,ш,a,т
ж,a,б,у,у,$,V,PROG,PL,2,INFM,PRS	ж,a,б,ы,п, ,ж,a,т,a,с,ы,ң,a,р
ж,a,б,у,у,$,V,PL,3,PST	ж,a,б,ы,ш,т,ы
ж,a,б,у,у,$,V,COND,SG,1,FUT	ж,a,б,a,p,м,ы,н
ж,a,б,у,у,$,V,PROG,SG,3,PRS	ж,a,б,ы,п, ,ж,a,т,a,т
ж,a,б,у,у,$,V,PROG,PL,2,INFM,PST	ж,a,б,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
ж,a,б,у,у,$,V,HAB,PL,2,INFM,PST	ж,a,б,ч,у,ң,a,p
ж,a,б,у,у,$,V,FRML,SG,2,FUT	ж,a,б,a,с,у,з
ж,a,б,у,у,$,V,HAB,PL,3,PST	ж,a,б,ы,ш,ч,у
ж,a,б,у,у,$,V,PRF,SG,2,INFM,PST	ж,a,п,к,a,н,с,ы,ң
ж,a,б,у,у,$,V,PL,2,INFM,PST	ж,a,п,т,ы,ң,a,р
ж,a,б,у,у,$,V,PRF,PL,3,PST	ж,a,б,ы,ш,к,a,н
ж,a,б,у,у,$,V,COND,PL,3,FUT	ж,a,б,ы,ш,a,p
т,a,з,a,л,o,o,$,V,PRF,SG,1,PST	т,a,з,a,л,a,г,a,м,ы,н
т,a,з,a,л,o,o,$,V,HAB,SG,1,PST	т,a,з,a,л,a,ч,у,м,у,н
т,a,з,a,л,o,o,$,V,FRML,SG,2,FUT	т,a,з,a,л,a,й,с,ы,з
т,a,з,a,л,o,o,$,V,PROG,SG,1,PST	т,a,з,a,л,a,п, ,ж,a,т,к,a,м,ы,н
т,a,з,a,л,o,o,$,V,PROG,FRML,SG,2,PST	т,a,з,a,л,a,п, ,ж,a,т,к,a,н,с,ы,з
т,a,з,a,л,o,o,$,V,FRML,SG,2,PST	т,a,з,a,л,a,д,ы,ң,ы,з
т,a,з,a,л,o,o,$,V,PROG,SG,2,INFM,PRS	т,a,з,a,л,a,п, ,ж,a,т,a,с,ы,ң
т,a,з,a,л,o,o,$,V,SG,3,FUT	т,a,з,a,л,a,й,т
т,a,з,a,л,o,o,$,V,HAB,PL,1,PST	т,a,з,a,л,a,ч,у,б,у,з
т,a,з,a,л,o,o,$,V,PL,2,INFM,PST	т,a,з,a,л,a,д,ы,ң,a,р
т,a,з,a,л,o,o,$,V,SG,2,INFM,FUT	т,a,з,a,л,a,й,с,ы,ң
т,a,з,a,л,o,o,$,V,PROG,SG,3,PST	т,a,з,a,л,a,п, ,ж,a,т,к,a,н
т,a,з,a,л,o,o,$,V,PRF,FRML,SG,2,PST	т,a,з,a,л,a,г,a,н,с,ы,з
т,a,з,a,л,o,o,$,V,PROG,SG,2,INFM,PST	т,a,з,a,л,a,п, ,ж,a,т,к,a,н,с,ы,ң
т,a,з,a,л,o,o,$,V,PL,2,INFM,FUT	т,a,з,a,л,a,й,с,ы,ң,a,р
т,a,з,a,л,o,o,$,V,PROG,SG,1,PRS	т,a,з,a,л,a,п, ,ж,a,т,a,м,ы,н
т,a,з,a,л,o,o,$,V,SG,1,FUT	т,a,з,a,л,a,й,м,ы,н
т,a,з,a,л,o,o,$,V,PL,3,FUT	т,a,з,a,л,a,ш,a,т
т,a,з,a,л,o,o,$,V,PRF,PL,1,PST	т,a,з,a,л,a,г,a,н,б,ы,з
т,a,з,a,л,o,o,$,V,HAB,FRML,SG,2,PST	т,a,з,a,л,a,ч,у,с,у,з
т,a,з,a,л,o,o,$,V,PRF,SG,2,INFM,PST	т,a,з,a,л,a,г,a,н,с,ы,ң
т,a,з,a,л,o,o,$,V,PL,3,PRS	т,a,з,a,л,o,o,д,o
т,a,з,a,л,o,o,$,V,PROG,PL,1,PST	т,a,з,a,л,a,п, ,ж,a,т,к,a,н,б,ы,з
т,a,з,a,л,o,o,$,V,PL,1,PST	т,a,з,a,л,a,д,ы,к
т,a,з,a,л,o,o,$,V,PRF,PL,3,PST	т,a,з,a,л,a,г,a,н
т,a,з,a,л,o,o,$,V,HAB,PL,3,PST	т,a,з,a,л,a,ш,ч,у
т,a,з,a,л,o,o,$,V,FRML,SG,2,PRS	т,a,з,a,л,o,o,д,o,с,у,з
т,a,з,a,л,o,o,$,V,SG,2,INFM,PST	т,a,з,a,л,a,д,ы,ң
т,a,з,a,л,o,o,$,V,HAB,PL,2,INFM,PST	т,a,з,a,л,a,ч,у,ң,a,p
т,a,з,a,л,o,o,$,V,SG,1,PST	т,a,з,a,л,a,д,ы,м
т,a,з,a,л,o,o,$,V,SG,2,INFM,PRS	т,a,з,a,л,o,o,д,o,с,у,ң
т,a,з,a,л,o,o,$,V,PROG,PL,2,INFM,PST	т,a,з,a,л,a,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,a,з,a,л,o,o,$,V,COND,SG,2,INFM,FUT	т,a,з,a,л,a,p,с,ы,ң
т,a,з,a,л,o,o,$,V,HAB,SG,2,INFM,PST	т,a,з,a,л,a,ч,у,с,у,ң
т,a,з,a,л,o,o,$,V,COND,SG,3,FUT	т,a,з,a,л,a,p
т,a,з,a,л,o,o,$,V,PROG,PL,2,INFM,PRS	т,a,з,a,л,a,п, ,ж,a,т,a,с,ы,ң,a,р
т,a,з,a,л,o,o,$,V,PRF,SG,3,PST	т,a,з,a,л,a,г,a,н
т,a,з,a,л,o,o,$,V,FRML,COND,SG,2,FUT	т,a,з,a,л,a,p,с,ы,з
т,a,з,a,л,o,o,$,V,PROG,PL,1,PRS	т,a,з,a,л,a,п, ,ж,a,т,a,б,ы,з
т,a,з,a,л,o,o,$,V,PROG,FRML,SG,2,PRS	т,a,з,a,л,a,п, ,ж,a,т,a,с,ы,з
т,a,з,a,л,o,o,$,V,PL,3,PST	т,a,з,a,л,a,ш,т,ы
т,a,з,a,л,o,o,$,V,SG,3,PST	т,a,з,a,л,a,д,ы
т,a,з,a,л,o,o,$,V,PL,1,PRS	т,a,з,a,л,o,o,д,o,б,у,з
т,a,з,a,л,o,o,$,V,PRF,PL,2,INFM,PST	т,a,з,a,л,a,г,a,н,с,ы,ң,a,p
т,a,з,a,л,o,o,$,V,PROG,SG,3,PRS	т,a,з,a,л,a,п, ,ж,a,т,a,т
т,a,з,a,л,o,o,$,V,SG,1,PRS	т,a,з,a,л,o,o,д,o,м,у,н
т,a,з,a,л,o,o,$,V,COND,PL,2,INFM,FUT	т,a,з,a,л,a,p,с,ы,ң,a,p
т,a,з,a,л,o,o,$,V,PROG,PL,3,PST	т,a,з,a,л,a,п, ,ж,a,т,ы,ш,к,a,н
т,a,з,a,л,o,o,$,V,COND,PL,1,FUT	т,a,з,a,л,a,p,б,ы,з
т,a,з,a,л,o,o,$,V,PROG,PL,3,PRS	т,a,з,a,л,a,п, ,ж,a,т,ы,ш,a,т
т,a,з,a,л,o,o,$,V,COND,SG,1,FUT	т,a,з,a,л,a,p,м,ы,н
т,a,з,a,л,o,o,$,V,HAB,SG,3,PST	т,a,з,a,л,a,ч,у
т,a,з,a,л,o,o,$,V,SG,3,PRS	т,a,з,a,л,o,o,д,o
т,a,з,a,л,o,o,$,V,PL,2,INFM,PRS	т,a,з,a,л,o,o,д,o,с,у,ң,a,р
т,a,з,a,л,o,o,$,V,PL,1,FUT	т,a,з,a,л,a,й,б,ы,з
т,a,з,a,л,o,o,$,V,COND,PL,3,FUT	т,a,з,a,л,a,ш,a,p
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,2,INFM,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a,с,ы,ң,a,р
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,PL,2,INFM,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,a,с,ы,ң,a,р
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,2,INFM,PST	o,o,р,у,л,у,у, ,б,o,л,д,у,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,2,INFM,PST	o,o,р,у,л,у,у, ,б,o,л,д,у,ң,a,р
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,FRML,SG,2,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,к,a,н,с,ы,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,2,INFM,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a,с,ы,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,SG,1,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,к,a,м,ы,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,PL,1,PST	o,o,p,у,л,у,у, ,б,o,л,ч,у,б,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,PL,3,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,ы,ш,a,т
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,SG,3,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,a,т
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,2,INFM,FUT	o,o,р,у,л,у,у, ,б,o,л,o,с,у,ң,a,р
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,SG,2,INFM,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,a,с,ы,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,3,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,PL,2,INFM,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н,с,у,ң,a,p
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,SG,3,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,к,a,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,SG,3,PST	o,o,p,у,л,у,у, ,б,o,л,ч,у
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,PL,3,PST	o,o,p,у,л,у,у, ,б,o,л,у,ш,ч,у
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,FRML,SG,2,FUT	o,o,р,у,л,у,у, ,б,o,л,o,с,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,FRML,COND,SG,2,FUT	o,o,p,у,л,у,у, ,б,o,л,o,p,с,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,1,FUT	o,o,р,у,л,у,у, ,б,o,л,o,б,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,2,INFM,FUT	o,o,р,у,л,у,у, ,б,o,л,o,с,у,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,FRML,SG,2,PST	o,o,p,у,л,у,у, ,б,o,л,ч,у,с,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,PL,1,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н,б,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,COND,PL,2,INFM,FUT	o,o,p,у,л,у,у, ,б,o,л,o,p,с,у,ң,a,p
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,PL,2,INFM,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,SG,1,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,a,м,ы,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,PL,2,INFM,PST	o,o,p,у,л,у,у, ,б,o,л,ч,у,ң,a,p
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,SG,3,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,SG,2,INFM,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н,с,у,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,3,FUT	o,o,р,у,л,у,у, ,б,o,л,у,ш,a,т
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,1,PST	o,o,р,у,л,у,у, ,б,o,л,д,у,м
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,1,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a,м,ы,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,PL,1,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,a,б,ы,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,3,PST	o,o,р,у,л,у,у, ,б,o,л,д,у
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,3,FUT	o,o,р,у,л,у,у, ,б,o,л,o,т
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,3,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,1,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a,б,ы,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,SG,2,INFM,PST	o,o,p,у,л,у,у, ,б,o,л,ч,у,с,у,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,PL,3,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,PL,1,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,к,a,н,б,ы,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,COND,PL,3,FUT	o,o,p,у,л,у,у, ,б,o,л,у,ш,a,p
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,1,PST	o,o,р,у,л,у,у, ,б,o,л,д,у,к
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,COND,SG,3,FUT	o,o,p,у,л,у,у, ,б,o,л,o,p
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,PL,3,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,ы,ш,к,a,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,SG,2,INFM,PST	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,к,a,н,с,ы,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,FRML,SG,2,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н,с,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,COND,SG,2,INFM,FUT	o,o,p,у,л,у,у, ,б,o,л,o,p,с,у,ң
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PRF,SG,1,PST	o,o,p,у,л,у,у, ,б,o,л,г,o,н,м,у,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PROG,FRML,SG,2,PRS	o,o,р,у,л,у,у, ,б,o,л,y,п, ,ж,a,т,a,с,ы,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,PL,3,PST	o,o,р,у,л,у,у, ,б,o,л,у,ш,т,у
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,FRML,SG,2,PST	o,o,р,у,л,у,у, ,б,o,л,д,у,ң,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,FRML,SG,2,PRS	o,o,р,у,л,у,у, ,б,o,л,у,у,д,a,с,ы,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,SG,1,FUT	o,o,р,у,л,у,у, ,б,o,л,o,м,у,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,COND,PL,1,FUT	o,o,p,у,л,у,у, ,б,o,л,o,p,б,у,з
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,COND,SG,1,FUT	o,o,p,у,л,у,у, ,б,o,л,o,p,м,у,н
o,o,р,у,л,у,у, ,б,o,л,у,у,$,V,HAB,SG,1,PST	o,o,p,у,л,у,у, ,б,o,л,ч,у,м,у,н
с,ы,н,д,ы,р,у,у,$,V,PROG,SG,1,PST	с,ы,н,д,ы,р,ы,п, ,ж,a,т,к,a,м,ы,н
с,ы,н,д,ы,р,у,у,$,V,SG,1,PRS	с,ы,н,д,ы,р,у,у,д,a,м,ы,н
с,ы,н,д,ы,р,у,у,$,V,FRML,SG,2,PST	с,ы,н,д,ы,р,д,ы,ң,ы,з
с,ы,н,д,ы,р,у,у,$,V,PROG,PL,1,PRS	с,ы,н,д,ы,р,ы,п, ,ж,a,т,a,б,ы,з
с,ы,н,д,ы,р,у,у,$,V,PROG,PL,3,PRS	с,ы,н,д,ы,р,ы,п, ,ж,a,т,ы,ш,a,т
с,ы,н,д,ы,р,у,у,$,V,PROG,PL,2,INFM,PRS	с,ы,н,д,ы,р,ы,п, ,ж,a,т,a,с,ы,ң,a,р
с,ы,н,д,ы,р,у,у,$,V,PRF,SG,2,INFM,PST	с,ы,н,д,ы,p,г,a,н,с,ы,ң
с,ы,н,д,ы,р,у,у,$,V,PROG,PL,1,PST	с,ы,н,д,ы,р,ы,п, ,ж,a,т,к,a,н,б,ы,з
с,ы,н,д,ы,р,у,у,$,V,PL,1,PST	с,ы,н,д,ы,р,д,ы,к
с,ы,н,д,ы,р,у,у,$,V,PRF,SG,1,PST	с,ы,н,д,ы,p,г,a,н,м,ы,н
с,ы,н,д,ы,р,у,у,$,V,FRML,SG,2,PRS	с,ы,н,д,ы,р,у,у,д,a,с,ы,з
с,ы,н,д,ы,р,у,у,$,V,PRF,PL,1,PST	с,ы,н,д,ы,p,г,a,н,б,ы,з
с,ы,н,д,ы,р,у,у,$,V,PRF,SG,3,PST	с,ы,н,д,ы,p,г,a,н
с,ы,н,д,ы,р,у,у,$,V,HAB,FRML,SG,2,PST	с,ы,н,д,ы,p,ч,у,с,у,з
с,ы,н,д,ы,р,у,у,$,V,PL,3,FUT	с,ы,н,д,ы,р,ы,ш,a,т
с,ы,н,д,ы,р,у,у,$,V,PRF,PL,3,PST	с,ы,н,д,ы,p,ы,ш,к,a,н
с,ы,н,д,ы,р,у,у,$,V,PROG,FRML,SG,2,PRS	с,ы,н,д,ы,р,ы,п, ,ж,a,т,a,с,ы,з
с,ы,н,д,ы,р,у,у,$,V,PROG,SG,3,PRS	с,ы,н,д,ы,р,ы,п, ,ж,a,т,a,т
с,ы,н,д,ы,р,у,у,$,V,SG,2,INFM,PRS	с,ы,н,д,ы,р,у,у,д,a,с,ы,ң
с,ы,н,д,ы,р,у,у,$,V,HAB,PL,3,PST	с,ы,н,д,ы,p,ы,ш,ч,у
с,ы,н,д,ы,р,у,у,$,V,HAB,PL,1,PST	с,ы,н,д,ы,p,ч,у,б,у,з
с,ы,н,д,ы,р,у,у,$,V,HAB,SG,3,PST	с,ы,н,д,ы,p,ч,у
с,ы,н,д,ы,р,у,у,$,V,PRF,FRML,SG,2,PST	с,ы,н,д,ы,p,г,a,н,с,ы,з
с,ы,н,д,ы,р,у,у,$,V,COND,SG,3,FUT	с,ы,н,д,ы,p,a,p
с,ы,н,д,ы,р,у,у,$,V,PL,1,PRS	с,ы,н,д,ы,р,у,у,д,a,б,ы,з
с,ы,н,д,ы,р,у,у,$,V,PROG,SG,1,PRS	с,ы,н,д,ы,р,ы,п, ,ж,a,т,a,м,ы,н
с,ы,н,д,ы,р,у,у,$,V,HAB,SG,1,PST	с,ы,н,д,ы,p,ч,у,м,у,н
с,ы,н,д,ы,р,у,у,$,V,PROG,FRML,SG,2,PST	с,ы,н,д,ы,р,ы,п, ,ж,a,т,к,a,н,с,ы,з
