অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ে,ন
প,্,র,শ,্,ন, ,ক,র,া,$,V,NFIN	প,্,র,শ,্,ন, ,ক,র,ত,ে
প,্,র,শ,্,ন, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	প,্,র,শ,্,ন, ,ক,র,ে,ছ,ি,ল,ি
প,্,র,শ,্,ন, ,ক,র,া,$,V,HAB,3,POL,PST	প,্,র,শ,্,ন, ,ক,র,ত,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,3,INFM,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি,ল,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,3,INFM,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,2,PST,LGSPEC1	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি,ল,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,3,POL,PST	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি,ল,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,3,POL,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,2,POL,FUT	উ,ল,্,ক,ি, ,আ,ঁ,ক,ব,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,3,POL,PRS	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,1,PRS	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,3,POL,FUT	উ,ল,্,ক,ি, ,আ,ঁ,ক,ব,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,2,FUT,LGSPEC1	উ,ল,্,ক,ি, ,আ,ঁ,ক,ব,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,2,PRS,LGSPEC1	উ,ল,্,ক,ি, ,আ,ঁ,ক,ি,স
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,2,POL,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ল,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,1,PST	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি,ল,া,ম
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,3,POL,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ল,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,2,PRS,LGSPEC1	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি,স
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,2,PST,LGSPEC1	উ,ল,্,ক,ি, ,আ,ঁ,ক,ল,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,1,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,1,FUT	উ,ল,্,ক,ি, ,আ,ঁ,ক,ব,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,3,INFM,PST	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি,ল,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,2,POL,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি,ল,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,2,POL,PRS	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,1,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,HAB,2,PST,LGSPEC1	উ,ল,্,ক,ি, ,আ,ঁ,ক,ত,ি,স
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,3,POL,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি,ল,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,3,INFM,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ল,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,HAB,1,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ত,া,ম
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,1,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি,ল,া,ম
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,3,INFM,FUT	উ,ল,্,ক,ি, ,আ,ঁ,ক,ব,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,HAB,3,POL,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ত,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,HAB,2,POL,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ত,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,2,POL,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,3,INFM,PRS	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,2,PST,LGSPEC1	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি,ল,ি
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,2,POL,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,1,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ল,া,ম
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,NFIN	উ,ল,্,ক,ি, ,আ,ঁ,ক,ত,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,HAB,3,INFM,PST	উ,ল,্,ক,ি, ,আ,ঁ,ক,ত,ে
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,3,POL,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ে,ন
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PROG,2,PRS,LGSPEC1	উ,ল,্,ক,ি, ,আ,ঁ,ক,ছ,ি,স
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,3,INFM,PRS	উ,ল,্,ক,ি, ,আ,ঁ,ক,ো
উ,ল,্,ক,ি, ,আ,ঁ,ক,া,$,V,PRF,2,POL,PST	উ,ল,্,ক,ি, ,এ,ঁ,ক,ে,ছ,ি,ল,ো
ক,ু,ক,ু,র,$,N,NOM,NDEF	ক,ু,ক,ু,র
ক,ু,ক,ু,র,$,N,ACC,DEF,PL	ক,ু,ক,ু,র,দ,ে,র,ক,ে
ক,ু,ক,ু,র,$,N,NOM,DEF,PL	ক,ু,ক,ু,র,ে,র,া
ক,ু,ক,ু,র,$,N,NOM,DEF,SG	ক,ু,ক,ু,র,ট,া
ক,ু,ক,ু,র,$,N,GEN,NDEF	ক,ু,ক,ু,র,ে,র
ক,ু,ক,ু,র,$,N,GEN,DEF,PL	ক,ু,ক,ু,র,দ,ে,র
ক,ু,ক,ু,র,$,N,ACC,DEF,SG	ক,ু,ক,ু,র,ট,া,ক,ে
ক,ু,ক,ু,র,$,N,GEN,DEF,SG	ক,ু,ক,ু,র,ট,া,র
ক,ু,ক,ু,র,$,N,ACC,NDEF	ক,ু,ক,ু,র
ব,ন,্,ধ, ,ক,র,া,$,V,3,POL,FUT	ব,ন,্,ধ, ,ক,র,ব,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,3,POL,PST	ব,ন,্,ধ, ,ক,র,ে,ছ,ি,ল,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,3,POL,PRS	ব,ন,্,ধ, ,ক,র,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,3,INFM,PRS	ব,ন,্,ধ, ,ক,র,ে,ছ,ো
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,2,PST,LGSPEC1	ব,ন,্,ধ, ,ক,র,ছ,ি,ল,ি
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,3,POL,PRS	ব,ন,্,ধ, ,ক,র,ে,ছ,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,HAB,3,POL,PST	ব,ন,্,ধ, ,ক,র,ত,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,2,POL,PST	ব,ন,্,ধ, ,ক,র,ছ,ি,ল,ো
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,2,POL,PST	ব,ন,্,ধ, ,ক,র,ে,ছ,ি,ল,ো
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,3,POL,PRS	ব,ন,্,ধ, ,ক,র,ছ,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,1,PST	ব,ন,্,ধ, ,ক,র,ছ,ি,ল,া,ম
ব,ন,্,ধ, ,ক,র,া,$,V,2,PST,LGSPEC1	ব,ন,্,ধ, ,ক,র,ল,ি
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,3,INFM,PST	ব,ন,্,ধ, ,ক,র,ে,ছ,ি,ল,ে
ব,ন,্,ধ, ,ক,র,া,$,V,3,INFM,PRS	ব,ন,্,ধ, ,ক,র,ো
ব,ন,্,ধ, ,ক,র,া,$,V,3,INFM,PST	ব,ন,্,ধ, ,ক,র,ল,ে
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,2,POL,PRS	ব,ন,্,ধ, ,ক,র,ে,ছ,ে
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,3,POL,PST	ব,ন,্,ধ, ,ক,র,ছ,ি,ল,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,2,FUT,LGSPEC1	ব,ন,্,ধ, ,ক,র,ব,ি
ব,ন,্,ধ, ,ক,র,া,$,V,2,POL,PST	ব,ন,্,ধ, ,ক,র,ল,ো
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	ব,ন,্,ধ, ,ক,র,ছ,ি,স
ব,ন,্,ধ, ,ক,র,া,$,V,HAB,3,INFM,PST	ব,ন,্,ধ, ,ক,র,ত,ে
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,1,PRS	ব,ন,্,ধ, ,ক,র,ে,ছ,ি
ব,ন,্,ধ, ,ক,র,া,$,V,1,PRS	ব,ন,্,ধ, ,ক,র,ি
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,3,INFM,PRS	ব,ন,্,ধ, ,ক,র,ছ,ো
ব,ন,্,ধ, ,ক,র,া,$,V,HAB,2,POL,PST	ব,ন,্,ধ, ,ক,র,ত,ো
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,2,POL,PRS	ব,ন,্,ধ, ,ক,র,ছ,ে
ব,ন,্,ধ, ,ক,র,া,$,V,2,POL,PRS	ব,ন,্,ধ, ,ক,র,ে
ব,ন,্,ধ, ,ক,র,া,$,V,2,POL,FUT	ব,ন,্,ধ, ,ক,র,ব,ে
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,3,INFM,PST	ব,ন,্,ধ, ,ক,র,ছ,ি,ল,ে
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,2,PST,LGSPEC1	ব,ন,্,ধ, ,ক,র,ে,ছ,ি,ল,ি
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,1,PST	ব,ন,্,ধ, ,ক,র,ে,ছ,ি,ল,া,ম
ব,ন,্,ধ, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	ব,ন,্,ধ, ,ক,র,ে,ছ,ি,স
ব,ন,্,ধ, ,ক,র,া,$,V,1,FUT	ব,ন,্,ধ, ,ক,র,ব,ো
ব,ন,্,ধ, ,ক,র,া,$,V,PROG,1,PRS	ব,ন,্,ধ, ,ক,র,ছ,ি
ব,ন,্,ধ, ,ক,র,া,$,V,HAB,1,PST	ব,ন,্,ধ, ,ক,র,ত,া,ম
ব,ন,্,ধ, ,ক,র,া,$,V,NFIN	ব,ন,্,ধ, ,ক,র,ত,ে
ব,ন,্,ধ, ,ক,র,া,$,V,2,PRS,LGSPEC1	ব,ন,্,ধ, ,ক,র,ি,স
ব,ন,্,ধ, ,ক,র,া,$,V,HAB,2,PST,LGSPEC1	ব,ন,্,ধ, ,ক,র,ত,ি,স
ব,ন,্,ধ, ,ক,র,া,$,V,1,PST	ব,ন,্,ধ, ,ক,র,ল,া,ম
ব,ন,্,ধ, ,ক,র,া,$,V,3,POL,PST	ব,ন,্,ধ, ,ক,র,ল,ে,ন
ব,ন,্,ধ, ,ক,র,া,$,V,3,INFM,FUT	ব,ন,্,ধ, ,ক,র,ব,ে
য,া,ও,য,়,া,$,V,PRF,2,PRS,LGSPEC1	গ,ি,য,়,ে,ছ,ি,স
য,া,ও,য,়,া,$,V,2,PRS,LGSPEC1	য,া,স
য,া,ও,য,়,া,$,V,NFIN	য,ে,ত,ে
য,া,ও,য,়,া,$,V,PROG,2,POL,PST	য,া,চ,্,ছ,ি,ল,ো
য,া,ও,য,়,া,$,V,2,PST,LGSPEC1	গ,ে,ল,ি
য,া,ও,য,়,া,$,V,3,INFM,PST	গ,ে,ল,ে
য,া,ও,য,়,া,$,V,PROG,3,POL,PRS	য,া,চ,্,ছ,ে,ন
য,া,ও,য,়,া,$,V,PRF,2,POL,PST	গ,ি,য,়,ে,ছ,ি,ল,ো
য,া,ও,য,়,া,$,V,1,PST	গ,ে,ল,া,ম
য,া,ও,য,়,া,$,V,PRF,3,INFM,PRS	গ,ি,য,়,ে,ছ,ো
য,া,ও,য,়,া,$,V,2,POL,PRS	য,া,য,়
য,া,ও,য,়,া,$,V,HAB,3,INFM,PST	য,ে,ত,ে
য,া,ও,য,়,া,$,V,HAB,2,PST,LGSPEC1	য,ে,ত,ি,স
য,া,ও,য,়,া,$,V,1,PRS	য,া,ই
য,া,ও,য,়,া,$,V,PROG,2,PRS,LGSPEC1	য,া,চ,্,ছ,ি,স
য,া,ও,য,়,া,$,V,3,INFM,FUT	য,া,ব,ে
য,া,ও,য,়,া,$,V,3,INFM,PRS	য,া,ও
য,া,ও,য,়,া,$,V,HAB,1,PST	য,ে,ত,া,ম
য,া,ও,য,়,া,$,V,PRF,2,POL,PRS	গ,ি,য,়,ে,ছ,ে
য,া,ও,য,়,া,$,V,3,POL,PST	গ,ে,ল,ে,ন
য,া,ও,য,়,া,$,V,PROG,3,INFM,PST	য,া,চ,্,ছ,ি,ল,ে
য,া,ও,য,়,া,$,V,PROG,1,PRS	য,া,চ,্,ছ,ি
য,া,ও,য,়,া,$,V,HAB,2,POL,PST	য,ে,ত,ো
য,া,ও,য,়,া,$,V,3,POL,PRS	য,া,ন
য,া,ও,য,়,া,$,V,1,FUT	য,া,ব,ো
য,া,ও,য,়,া,$,V,PROG,2,PST,LGSPEC1	য,া,চ,্,ছ,ি,ল,ি
য,া,ও,য,়,া,$,V,PROG,1,PST	য,া,চ,্,ছ,ি,ল,া,ম
য,া,ও,য,়,া,$,V,PROG,2,POL,PRS	য,া,চ,্,ছ,ে
য,া,ও,য,়,া,$,V,2,POL,FUT	য,া,ব,ে
য,া,ও,য,়,া,$,V,PROG,3,POL,PST	য,া,চ,্,ছ,ি,ল,ে,ন
য,া,ও,য,়,া,$,V,PRF,2,PST,LGSPEC1	গ,ি,য,়,ে,ছ,ি,ল,ি
য,া,ও,য,়,া,$,V,PRF,3,INFM,PST	গ,ি,য,়,ে,ছ,ি,ল,ে
য,া,ও,য,়,া,$,V,HAB,3,POL,PST	য,ে,ত,ে,ন
য,া,ও,য,়,া,$,V,3,POL,FUT	য,া,ব,ে,ন
য,া,ও,য,়,া,$,V,PRF,1,PST	গ,ি,য,়,ে,ছ,ি,ল,া,ম
য,া,ও,য,়,া,$,V,PROG,3,INFM,PRS	য,া,চ,্,ছ,ো
য,া,ও,য,়,া,$,V,2,FUT,LGSPEC1	য,া,ব,ি
য,া,ও,য,়,া,$,V,PRF,3,POL,PRS	গ,ি,য,়,ে,ছ,ে,ন
য,া,ও,য,়,া,$,V,PRF,3,POL,PST	গ,ি,য,়,ে,ছ,ি,ল,ে,ন
য,া,ও,য,়,া,$,V,2,POL,PST	গ,ে,ল,ো
য,া,ও,য,়,া,$,V,PRF,1,PRS	গ,ি,য,়,ে,ছ,ি
খ,ো,ঁ,জ,া,$,V,1,PST	খ,ু,ঁ,জ,ল,া,ম
খ,ো,ঁ,জ,া,$,V,PROG,2,PRS,LGSPEC1	খ,ু,ঁ,জ,ছ,ি,স
খ,ো,ঁ,জ,া,$,V,PRF,2,POL,PRS	খ,ু,ঁ,জ,ে,ছ,ে
খ,ো,ঁ,জ,া,$,V,HAB,2,POL,PST	খ,ু,ঁ,জ,ত,ো
খ,ো,ঁ,জ,া,$,V,PROG,2,POL,PRS	খ,ু,ঁ,জ,ছ,ে
খ,ো,ঁ,জ,া,$,V,2,POL,PRS	খ,ো,ঁ,জ,ে
খ,ো,ঁ,জ,া,$,V,3,INFM,FUT	খ,ু,ঁ,জ,ব,ে
খ,ো,ঁ,জ,া,$,V,HAB,3,INFM,PST	খ,ু,ঁ,জ,ত,ে
খ,ো,ঁ,জ,া,$,V,2,FUT,LGSPEC1	খ,ু,ঁ,জ,ব,ি
খ,ো,ঁ,জ,া,$,V,PRF,1,PRS	খ,ু,ঁ,জ,ে,ছ,ি
খ,ো,ঁ,জ,া,$,V,HAB,1,PST	খ,ু,ঁ,জ,ত,া,ম
খ,ো,ঁ,জ,া,$,V,NFIN	খ,ু,ঁ,জ,ত,ে
খ,ো,ঁ,জ,া,$,V,HAB,2,PST,LGSPEC1	খ,ু,ঁ,জ,ত,ি,স
খ,ো,ঁ,জ,া,$,V,2,POL,FUT	খ,ু,ঁ,জ,ব,ে
খ,ো,ঁ,জ,া,$,V,3,POL,PST	খ,ু,ঁ,জ,ল,ে,ন
খ,ো,ঁ,জ,া,$,V,3,INFM,PRS	খ,ো,ঁ,জ,ো
খ,ো,ঁ,জ,া,$,V,PROG,3,INFM,PST	খ,ু,ঁ,জ,ছ,ি,ল,ে
খ,ো,ঁ,জ,া,$,V,PRF,3,INFM,PST	খ,ু,ঁ,জ,ে,ছ,ি,ল,ে
খ,ো,ঁ,জ,া,$,V,PROG,3,INFM,PRS	খ,ু,ঁ,জ,ছ,ো
খ,ো,ঁ,জ,া,$,V,HAB,3,POL,PST	খ,ু,ঁ,জ,ত,ে,ন
খ,ো,ঁ,জ,া,$,V,PROG,1,PST	খ,ু,ঁ,জ,ছ,ি,ল,া,ম
খ,ো,ঁ,জ,া,$,V,PRF,3,POL,PRS	খ,ু,ঁ,জ,ে,ছ,ে,ন
খ,ো,ঁ,জ,া,$,V,3,POL,PRS	খ,ো,ঁ,জ,ে,ন
খ,ো,ঁ,জ,া,$,V,PROG,3,POL,PST	খ,ু,ঁ,জ,ছ,ি,ল,ে,ন
খ,ো,ঁ,জ,া,$,V,PROG,2,POL,PST	খ,ু,ঁ,জ,ছ,ি,ল,ো
খ,ো,ঁ,জ,া,$,V,3,INFM,PST	খ,ু,ঁ,জ,ল,ে
খ,ো,ঁ,জ,া,$,V,PRF,2,PST,LGSPEC1	খ,ু,ঁ,জ,ে,ছ,ি,ল,ি
খ,ো,ঁ,জ,া,$,V,PRF,2,POL,PST	খ,ু,ঁ,জ,ে,ছ,ি,ল,ো
খ,ো,ঁ,জ,া,$,V,1,FUT	খ,ু,ঁ,জ,ব,ো
খ,ো,ঁ,জ,া,$,V,PRF,3,INFM,PRS	খ,ু,ঁ,জ,ে,ছ,ো
খ,ো,ঁ,জ,া,$,V,2,PST,LGSPEC1	খ,ু,ঁ,জ,ল,ি
খ,ো,ঁ,জ,া,$,V,PROG,2,PST,LGSPEC1	খ,ু,ঁ,জ,ছ,ি,ল,ি
খ,ো,ঁ,জ,া,$,V,PROG,3,POL,PRS	খ,ু,ঁ,জ,ছ,ে,ন
খ,ো,ঁ,জ,া,$,V,2,PRS,LGSPEC1	খ,ু,ঁ,জ,ি,স
খ,ো,ঁ,জ,া,$,V,PRF,2,PRS,LGSPEC1	খ,ু,ঁ,জ,ে,ছ,ি,স
খ,ো,ঁ,জ,া,$,V,3,POL,FUT	খ,ু,ঁ,জ,ব,ে,ন
খ,ো,ঁ,জ,া,$,V,PRF,3,POL,PST	খ,ু,ঁ,জ,ে,ছ,ি,ল,ে,ন
খ,ো,ঁ,জ,া,$,V,2,POL,PST	খ,ু,ঁ,জ,ল,ো
খ,ো,ঁ,জ,া,$,V,PROG,1,PRS	খ,ু,ঁ,জ,ছ,ি
খ,ো,ঁ,জ,া,$,V,1,PRS	খ,ু,ঁ,জ,ি
খ,ো,ঁ,জ,া,$,V,PRF,1,PST	খ,ু,ঁ,জ,ে,ছ,ি,ল,া,ম
দ,ে,শ,$,N,GEN,DEF,SG	দ,ে,শ,ট,া,র
দ,ে,শ,$,N,ACC,DEF,SG	দ,ে,শ,ট,া
দ,ে,শ,$,N,ACC,DEF,PL	দ,ে,শ,গ,ু,ল,া
দ,ে,শ,$,N,GEN,DEF,PL	দ,ে,শ,গ,ু,ল,া,র
দ,ে,শ,$,N,GEN,NDEF	দ,ে,শ,ে,র
দ,ে,শ,$,N,LOC,DEF,SG	দ,ে,শ,ট,া,ত,ে
দ,ে,শ,$,N,ACC,NDEF	দ,ে,শ
দ,ে,শ,$,N,LOC,NDEF	দ,ে,শ,ে
দ,ে,শ,$,N,NOM,DEF,SG	দ,ে,শ,ট,া
দ,ে,শ,$,N,LOC,DEF,PL	দ,ে,শ,গ,ু,ল,া,ত,ে
দ,ে,শ,$,N,NOM,DEF,PL	দ,ে,শ,গ,ু,ল,া
দ,ে,শ,$,N,NOM,NDEF	দ,ে,শ
ধ,ন,$,N,LOC,NDEF	ধ,ন,ে
ধ,ন,$,N,LOC,DEF,SG	ধ,ন,ট,া,ত,ে
ধ,ন,$,N,GEN,NDEF	ধ,ন,ে,র
ধ,ন,$,N,LOC,DEF,PL	ধ,ন,গ,ু,ল,া,ত,ে
ধ,ন,$,N,ACC,NDEF	ধ,ন
ধ,ন,$,N,GEN,DEF,PL	ধ,ন,গ,ু,ল,া,র
ধ,ন,$,N,ACC,DEF,SG	ধ,ন,ট,া
ধ,ন,$,N,NOM,DEF,SG	ধ,ন,ট,া
ধ,ন,$,N,NOM,NDEF	ধ,ন
ধ,ন,$,N,NOM,DEF,PL	ধ,ন,গ,ু,ল,া
ধ,ন,$,N,ACC,DEF,PL	ধ,ন,গ,ু,ল,া
ধ,ন,$,N,GEN,DEF,SG	ধ,ন,ট,া,র
শ,ি,খ,া,ন,ো,$,V,2,POL,PRS	শ,ি,খ,া,য,়
শ,ি,খ,া,ন,ো,$,V,PRF,1,PST	শ,ি,খ,ি,য,়,ে,ছ,ি,ল,া,ম
শ,ি,খ,া,ন,ো,$,V,PROG,2,PRS,LGSPEC1	শ,ি,খ,া,চ,্,ছ,ি,স
শ,ি,খ,া,ন,ো,$,V,PRF,3,INFM,PRS	শ,ি,খ,ি,য,়,ে,ছ,ো
শ,ি,খ,া,ন,ো,$,V,3,POL,PST	শ,ি,খ,া,ল,ে,ন
শ,ি,খ,া,ন,ো,$,V,PRF,2,PRS,LGSPEC1	শ,ি,খ,ি,য,়,ে,ছ,ি,স
শ,ি,খ,া,ন,ো,$,V,PROG,3,INFM,PRS	শ,ি,খ,া,চ,্,ছ,ো
শ,ি,খ,া,ন,ো,$,V,PROG,2,POL,PST	শ,ি,খ,া,চ,্,ছ,ি,ল,ো
শ,ি,খ,া,ন,ো,$,V,2,PRS,LGSPEC1	শ,ি,খ,া,স
শ,ি,খ,া,ন,ো,$,V,3,INFM,PRS	শ,ি,খ,া,ও
শ,ি,খ,া,ন,ো,$,V,3,POL,FUT	শ,ি,খ,া,ব,ে,ন
শ,ি,খ,া,ন,ো,$,V,PRF,3,POL,PST	শ,ি,খ,ি,য,়,ে,ছ,ি,ল,ে,ন
শ,ি,খ,া,ন,ো,$,V,PRF,3,INFM,PST	শ,ি,খ,ি,য,়,ে,ছ,ি,ল,ে
শ,ি,খ,া,ন,ো,$,V,3,INFM,FUT	শ,ি,খ,া,ব,ে
শ,ি,খ,া,ন,ো,$,V,1,FUT	শ,ি,খ,া,ব,ো
শ,ি,খ,া,ন,ো,$,V,HAB,3,INFM,PST	শ,ি,খ,া,ত,ে
শ,ি,খ,া,ন,ো,$,V,HAB,3,POL,PST	শ,ি,খ,া,ত,ে,ন
শ,ি,খ,া,ন,ো,$,V,2,PST,LGSPEC1	শ,ি,খ,া,ল,ি
শ,ি,খ,া,ন,ো,$,V,PROG,1,PST	শ,ি,খ,া,চ,্,ছ,ি,ল,া,ম
শ,ি,খ,া,ন,ো,$,V,PROG,3,INFM,PST	শ,ি,খ,া,চ,্,ছ,ি,ল,ে
শ,ি,খ,া,ন,ো,$,V,2,FUT,LGSPEC1	শ,ি,খ,া,ব,ি
শ,ি,খ,া,ন,ো,$,V,PROG,3,POL,PST	শ,ি,খ,া,চ,্,ছ,ি,ল,ে,ন
শ,ি,খ,া,ন,ো,$,V,1,PRS	শ,ি,খ,া,ই
শ,ি,খ,া,ন,ো,$,V,HAB,1,PST	শ,ি,খ,া,ত,া,ম
শ,ি,খ,া,ন,ো,$,V,PROG,2,POL,PRS	শ,ি,খ,া,চ,্,ছ,ে
শ,ি,খ,া,ন,ো,$,V,PROG,1,PRS	শ,ি,খ,া,চ,্,ছ,ি
শ,ি,খ,া,ন,ো,$,V,PRF,2,POL,PST	শ,ি,খ,ি,য,়,ে,ছ,ি,ল,ো
শ,ি,খ,া,ন,ো,$,V,2,POL,FUT	শ,ি,খ,া,ব,ে
শ,ি,খ,া,ন,ো,$,V,3,POL,PRS	শ,ি,খ,া,ন
শ,ি,খ,া,ন,ো,$,V,1,PST	শ,ি,খ,া,ল,া,ম
শ,ি,খ,া,ন,ো,$,V,PRF,1,PRS	শ,ি,খ,ি,য,়,ে,ছ,ি
শ,ি,খ,া,ন,ো,$,V,HAB,2,POL,PST	শ,ি,খ,া,ত,ো
শ,ি,খ,া,ন,ো,$,V,3,INFM,PST	শ,ি,খ,া,ল,ে
শ,ি,খ,া,ন,ো,$,V,2,POL,PST	শ,ি,খ,া,ল,ো
শ,ি,খ,া,ন,ো,$,V,PROG,3,POL,PRS	শ,ি,খ,া,চ,্,ছ,ে,ন
শ,ি,খ,া,ন,ো,$,V,PRF,2,POL,PRS	শ,ি,খ,ি,য,়,ে,ছ,ে
শ,ি,খ,া,ন,ো,$,V,PROG,2,PST,LGSPEC1	শ,ি,খ,া,চ,্,ছ,ি,ল,ি
শ,ি,খ,া,ন,ো,$,V,NFIN	শ,ি,খ,া,ত,ে
শ,ি,খ,া,ন,ো,$,V,PRF,3,POL,PRS	শ,ি,খ,ি,য,়,ে,ছ,ে,ন
শ,ি,খ,া,ন,ো,$,V,PRF,2,PST,LGSPEC1	শ,ি,খ,ি,য,়,ে,ছ,ি,ল,ি
শ,ি,খ,া,ন,ো,$,V,HAB,2,PST,LGSPEC1	শ,ি,খ,া,ত,ি,স
হ,া,ঁ,ট,া,$,V,3,POL,PRS	হ,া,ঁ,ট,ে,ন
