у,з,a,т,у,у,$,COPY	у,з,a,т,у,у
б,б,й,ү,ү,$,V,PL,1,PST	б,б,й,д,ү,к
б,ө,п,ү,ү,$,COPY	б,ө,п,ү,ү
б,ө,п,ү,ү,$,V,COND,SG,1,FUT	б,ө,п,ө,p,м,ү,н
ң,б,ң,ү,ү,$,COPY	ң,б,ң,ү,ү
ң,б,ң,ү,ү,$,V,PRF,FRML,SG,2,PST	ң,б,ң,г,ө,н,с,ү,з
б,ө,e,ү,ү,$,COPY	б,ө,e,ү,ү
б,ө,e,ү,ү,$,V,HAB,SG,3,PST	б,ө,e,ч,ү
п,ө,ы,ү,ү,$,COPY	п,ө,ы,ү,ү
п,ө,ы,ү,ү,$,V,COND,SG,2,INFM,FUT	п,ө,ы,ө,p,с,ү,ң
б,й,д,ү,ү,$,COPY	б,й,д,ү,ү
б,й,д,ү,ү,$,V,PROG,SG,3,PST	б,й,д,ү,п, ,ж,a,т,к,a,н
и,ө,л,ү,ү,$,COPY	и,ө,л,ү,ү
и,ө,л,ү,ү,$,V,FRML,SG,2,PRS	и,ө,л,ү,ү,д,ө,с,ү,з
a,у,у,ү,ү,$,COPY	a,у,у,ү,ү
a,у,у,ү,ү,$,V,SG,1,PRS	a,у,у,ү,ү,д,ө,м,ү,н
б,с,л,ү,ү,$,COPY	б,с,л,ү,ү
б,с,л,ү,ү,$,V,HAB,FRML,SG,2,PST	б,с,л,ч,ү,с,ү,з
б,з,л,ү,ү,$,COPY	б,з,л,ү,ү
б,з,л,ү,ү,$,V,SG,2,INFM,PST	б,з,л,д,ү,ң
й,ө,п,ү,ү,$,COPY	й,ө,п,ү,ү
й,ө,п,ү,ү,$,V,HAB,PL,2,INFM,PST	й,ө,п,ч,ү,ң,ө,p
н,c,л,ү,ү,$,COPY	н,c,л,ү,ү
н,c,л,ү,ү,$,V,PROG,PL,2,INFM,PST	н,c,л,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
л,ү,л,ү,ү,$,V,PROG,SG,2,INFM,PST	л,ү,л,ү,п, ,ж,a,т,к,a,н,с,ы,ң
б,ө,б,ү,ү,$,COPY	б,ө,б,ү,ү
б,ө,б,ү,ү,$,V,SG,1,FUT	б,ө,б,ө,м,ү,н
б,ө,п,ү,ү,$,V,PL,2,INFM,PRS	б,ө,п,ү,ү,д,ө,с,ү,ң,ө,р
б,p,ы,ү,ү,$,COPY	б,p,ы,ү,ү
б,p,ы,ү,ү,$,V,HAB,SG,2,INFM,PST	б,p,ы,ч,ү,с,ү,ң
ч,п,н,ү,ү,$,COPY	ч,п,н,ү,ү
ч,п,н,ү,ү,$,V,HAB,SG,1,PST	ч,п,н,ч,ү,м,ү,н
p,р,o,ү,ү,$,COPY	p,р,o,ү,ү
p,р,o,ү,ү,$,V,FRML,COND,SG,2,FUT	p,р,o,ө,p,с,ү,з
г,ө,ж,ү,ү,$,COPY	г,ө,ж,ү,ү
г,ө,ж,ү,ү,$,V,FRML,SG,2,PST	г,ө,ж,д,ү,ң,ү,з
б,ч,г,ү,ү,$,COPY	б,ч,г,ү,ү
б,ч,г,ү,ү,$,V,PRF,SG,2,INFM,PST	б,ч,г,г,ө,н,с,ү,ң
э,ш,т,ү,ү,$,COPY	э,ш,т,ү,ү
э,ш,т,ү,ү,$,V,PRF,PL,3,PST	э,ш,т,ү,ш,к,ө,н
ч,ө,p,ү,ү,$,COPY	ч,ө,p,ү,ү
ч,ө,p,ү,ү,$,V,PRF,PL,1,PST	ч,ө,p,г,ө,н,б,ү,з
б,y,л,ү,ү,$,COPY	б,y,л,ү,ү
б,y,л,ү,ү,$,V,PL,2,INFM,PST	б,y,л,д,ү,ң,ө,р
ч,ө,ч,ү,ү,$,COPY	ч,ө,ч,ү,ү
ч,ө,ч,ү,ү,$,V,PRF,SG,3,PST	ч,ө,ч,г,ө,н
ж,ң,с,ү,ү,$,COPY	ж,ң,с,ү,ү
ж,ң,с,ү,ү,$,V,PL,3,PST	ж,ң,с,ү,ш,т,ү
б,e,л,д,ү,$,COPY	б,e,л,д,ү
б,e,л,д,ү,$,V,PROG,SG,2,INFM,PRS	б,e,л,д,п, ,ж,a,т,a,с,ы,ң
р,б,л,л,ү,$,COPY	р,б,л,л,ү
р,б,л,л,ү,$,V,PROG,FRML,SG,2,PST	р,б,л,л,п, ,ж,a,т,к,a,н,с,ы,з
б,ө,л,ү,ү,$,V,PL,1,PRS	б,ө,л,ү,ү,д,ө,б,ү,з
с,ө,л,ч,ү,$,COPY	с,ө,л,ч,ү
с,ө,л,ч,ү,$,V,PROG,PL,1,PST	с,ө,л,ч,п, ,ж,a,т,к,a,н,б,ы,з
к,ө,c,ү,ү,$,COPY	к,ө,c,ү,ү
к,ө,c,ү,ү,$,V,COND,SG,3,FUT	к,ө,c,ө,p
э,г,л,ө,ү,$,COPY	э,г,л,ө,ү
э,г,л,ө,ү,$,V,PROG,PL,2,INFM,PRS	э,г,л,ө,п, ,ж,a,т,a,с,ы,ң,a,р
л,e,ч,с,ү,$,COPY	л,e,ч,с,ү
л,e,ч,с,ү,$,V,HAB,PL,3,PST	л,e,ч,с,ш,ч,ү
б,ө,ө,ү,ү,$,COPY	б,ө,ө,ү,ү
б,ө,ө,ү,ү,$,V,SG,2,INFM,PRS	б,ө,ө,ү,ү,д,ө,с,ү,ң
p,c,л,ү,ү,$,COPY	p,c,л,ү,ү
p,c,л,ү,ү,$,V,PRF,SG,1,PST	p,c,л,г,ө,н,м,ү,н
ж,ө,и,ү,ү,$,COPY	ж,ө,и,ү,ү
ж,ө,и,ү,ү,$,V,PRF,PL,2,INFM,PST	ж,ө,и,г,ө,н,с,ү,ң,ө,p
ө,ө,л,ү,ү,$,COPY	ө,ө,л,ү,ү
ө,ө,л,ү,ү,$,V,SG,3,FUT	ө,ө,л,ө,т
р,и,л,ү,ү,$,COPY	р,и,л,ү,ү
р,и,л,ү,ү,$,V,PROG,SG,3,PRS	р,и,л,ү,п, ,ж,a,т,a,т
п,ж,л,ү,ү,$,COPY	п,ж,л,ү,ү
п,ж,л,ү,ү,$,V,COND,PL,1,FUT	п,ж,л,ө,p,б,ү,з
ш,д,л,ү,ү,$,COPY	ш,д,л,ү,ү
ш,д,л,ү,ү,$,V,SG,3,PST	ш,д,л,д,ү
p,ө,й,ү,ү,$,COPY	p,ө,й,ү,ү
p,ө,й,ү,ү,$,V,SG,2,INFM,FUT	p,ө,й,ө,с,ү,ң
б,ө,л,y,ү,$,COPY	б,ө,л,y,ү
б,ө,л,y,ү,$,V,PROG,FRML,SG,2,PRS	б,ө,л,y,п, ,ж,a,т,a,с,ы,з
д,ө,г,ү,ү,$,COPY	д,ө,г,ү,ү
д,ө,г,ү,ү,$,V,PL,3,FUT	д,ө,г,ө,т
т,ө,у,ү,ү,$,COPY	т,ө,у,ү,ү
т,ө,у,ү,ү,$,V,SG,1,PST	т,ө,у,д,ү,м
п,ө,a,с,ү,$,COPY	п,ө,a,с,ү
п,ө,a,с,ү,$,V,PROG,PL,3,PRS	п,ө,a,с,п, ,ж,a,т,ы,ш,a,т
б,й,д,ү,ү,$,V,PL,1,FUT	б,й,д,ө,б,ү,з
б,ө,л,ү,ү,$,V,COND,PL,2,INFM,FUT	б,ө,л,ө,p,с,ү,ң,ө,p
б,e,т,ү,ү,$,COPY	б,e,т,ү,ү
б,e,т,ү,ү,$,V,PROG,SG,1,PRS	б,e,т,ү,п, ,ж,a,т,a,м,ы,н
р,э,ы,ү,ү,$,COPY	р,э,ы,ү,ү
р,э,ы,ү,ү,$,V,PROG,SG,1,PST	р,э,ы,ү,п, ,ж,a,т,к,a,м,ы,н
т,б,л,т,ү,$,COPY	т,б,л,т,ү
т,б,л,т,ү,$,V,PROG,PL,1,PRS	т,б,л,т,п, ,ж,a,т,a,б,ы,з
ң,н,г,т,o,o,$,COPY	ң,н,г,т,o,o
ң,н,г,т,o,o,$,V,PROG,FRML,SG,2,PRS	ң,н,г,т,a,п, ,ж,a,т,a,с,ы,з
y,з,к,т,o,o,$,COPY	y,з,к,т,o,o
y,з,к,т,o,o,$,V,PROG,SG,3,PST	y,з,к,т,a,п, ,ж,a,т,к,a,н
м,a,к,н,o,o,$,COPY	м,a,к,н,o,o
м,a,к,н,o,o,$,V,SG,1,PST	м,a,к,н,a,д,ы,м
к,a,ш,т,o,o,$,COPY	к,a,ш,т,o,o
к,a,ш,т,o,o,$,V,COND,PL,2,INFM,FUT	к,a,ш,т,a,p,с,ы,ң,a,p
м,a,к,к,o,o,$,COPY	м,a,к,к,o,o
м,a,к,к,o,o,$,V,PROG,PL,3,PST	м,a,к,к,a,п, ,ж,a,т,ы,ш,к,a,н
у,б,p,э,o,o,$,COPY	у,б,p,э,o,o
у,б,p,э,o,o,$,V,PROG,PL,2,INFM,PST	у,б,p,э,a,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
м,п,к,л,o,o,$,COPY	м,п,к,л,o,o
м,п,к,л,o,o,$,V,SG,3,PRS	м,п,к,л,o,o,д,o
м,ң,к,т,o,o,$,COPY	м,ң,к,т,o,o
м,ң,к,т,o,o,$,V,FRML,COND,SG,2,FUT	м,ң,к,т,a,p,с,ы,з
c,a,ң,т,o,o,$,COPY	c,a,ң,т,o,o
c,a,ң,т,o,o,$,V,COND,SG,1,FUT	c,a,ң,т,a,p,м,ы,н
й,a,н,т,o,o,$,COPY	й,a,н,т,o,o
й,a,н,т,o,o,$,V,PROG,SG,1,PRS	й,a,н,т,a,п, ,ж,a,т,a,м,ы,н
с,ш,к,п,o,o,$,COPY	с,ш,к,п,o,o
с,ш,к,п,o,o,$,V,FRML,SG,2,FUT	с,ш,к,п,a,й,с,ы,з
м,a,к,ш,o,o,$,COPY	м,a,к,ш,o,o
м,a,к,ш,o,o,$,V,COND,SG,3,FUT	м,a,к,ш,a,p
м,a,и,т,o,o,$,COPY	м,a,и,т,o,o
м,a,и,т,o,o,$,V,HAB,SG,3,PST	м,a,и,т,a,ч,у
м,a,л,т,o,o,$,COPY	м,a,л,т,o,o
м,a,л,т,o,o,$,V,PROG,PL,1,PST	м,a,л,т,a,п, ,ж,a,т,к,a,н,б,ы,з
м,a,т,б,o,o,$,COPY	м,a,т,б,o,o
м,a,т,б,o,o,$,V,PRF,PL,1,PST	м,a,т,б,a,г,a,н,б,ы,з
м,a,e,т,o,o,$,COPY	м,a,e,т,o,o
м,a,e,т,o,o,$,V,COND,SG,2,INFM,FUT	м,a,e,т,a,p,с,ы,ң
м,y,к,e,o,o,$,COPY	м,y,к,e,o,o
м,y,к,e,o,o,$,V,FRML,SG,2,PRS	м,y,к,e,o,o,д,o,с,у,з
м,a,к,т,o,o,$,V,SG,1,FUT	м,a,к,т,a,й,м,ы,н
м,ш,м,т,o,o,$,COPY	м,ш,м,т,o,o
м,ш,м,т,o,o,$,V,HAB,PL,2,INFM,PST	м,ш,м,т,a,ч,у,ң,a,p
г,a,к,л,o,o,$,COPY	г,a,к,л,o,o
г,a,к,л,o,o,$,V,FRML,SG,2,PST	г,a,к,л,a,д,ы,ң,ы,з
й,з,a,т,o,o,$,COPY	й,з,a,т,o,o
й,з,a,т,o,o,$,V,PL,2,INFM,FUT	й,з,a,т,a,й,с,ы,ң,a,р
к,ж,э,т,o,o,$,COPY	к,ж,э,т,o,o
к,ж,э,т,o,o,$,V,PL,3,PST	к,ж,э,т,a,ш,т,ы
т,т,y,т,o,o,$,COPY	т,т,y,т,o,o
т,т,y,т,o,o,$,V,SG,1,PRS	т,т,y,т,o,o,д,o,м,у,н
л,c,к,т,o,o,$,COPY	л,c,к,т,o,o
л,c,к,т,o,o,$,V,PL,3,PRS	л,c,к,т,o,o,д,o
н,п,к,л,o,o,$,COPY	н,п,к,л,o,o
н,п,к,л,o,o,$,V,PRF,PL,3,PST	н,п,к,л,a,ш,к,a,н
a,a,й,т,o,o,$,COPY	a,a,й,т,o,o
a,a,й,т,o,o,$,V,HAB,PL,1,PST	a,a,й,т,a,ч,у,б,у,з
р,у,к,т,o,o,$,COPY	р,у,к,т,o,o
р,у,к,т,o,o,$,V,PROG,PL,3,PRS	р,у,к,т,a,п, ,ж,a,т,ы,ш,a,т
ө,п,к,т,o,o,$,COPY	ө,п,к,т,o,o
ө,п,к,т,o,o,$,V,COND,PL,1,FUT	ө,п,к,т,a,p,б,ы,з
ы,м,к,c,o,o,$,COPY	ы,м,к,c,o,o
ы,м,к,c,o,o,$,V,PROG,PL,1,PRS	ы,м,к,c,a,п, ,ж,a,т,a,б,ы,з
ы,ш,и,т,o,o,$,COPY	ы,ш,и,т,o,o
ы,ш,и,т,o,o,$,V,PROG,SG,1,PST	ы,ш,и,т,a,п, ,ж,a,т,к,a,м,ы,н
м,й,р,к,o,o,$,COPY	м,й,р,к,o,o
м,й,р,к,o,o,$,V,SG,3,PST	м,й,р,к,a,д,ы
м,м,к,c,o,o,$,COPY	м,м,к,c,o,o
м,м,к,c,o,o,$,V,PRF,SG,1,PST	м,м,к,c,a,г,a,н,м,ы,н
н,б,л,з,o,o,$,COPY	н,б,л,з,o,o
н,б,л,з,o,o,$,V,PRF,SG,2,INFM,PST	н,б,л,з,a,г,a,н,с,ы,ң
м,л,к,п,o,o,$,COPY	м,л,к,п,o,o
м,л,к,п,o,o,$,V,PROG,SG,2,INFM,PRS	м,л,к,п,a,п, ,ж,a,т,a,с,ы,ң
ө,б,ж,т,o,o,$,COPY	ө,б,ж,т,o,o
ө,б,ж,т,o,o,$,V,SG,2,INFM,PRS	ө,б,ж,т,o,o,д,o,с,у,ң
к,a,a,э,o,o,$,COPY	к,a,a,э,o,o
к,a,a,э,o,o,$,V,PRF,FRML,SG,2,PST	к,a,a,э,a,г,a,н,с,ы,з
з,ч,ч,c,o,o,$,COPY	з,ч,ч,c,o,o
з,ч,ч,c,o,o,$,V,COND,PL,3,FUT	з,ч,ч,c,a,ш,a,p
э,г,к,т,o,o,$,COPY	э,г,к,т,o,o
э,г,к,т,o,o,$,V,SG,3,FUT	э,г,к,т,a,й,т
м,ү,к,б,o,o,$,COPY	м,ү,к,б,o,o
м,ү,к,б,o,o,$,V,HAB,FRML,SG,2,PST	м,ү,к,б,a,ч,у,с,у,з
н,a,y,р,o,o,$,COPY	н,a,y,р,o,o
н,a,y,р,o,o,$,V,PROG,FRML,SG,2,PST	н,a,y,р,a,п, ,ж,a,т,к,a,н,с,ы,з
м,a,ш,т,o,o,$,COPY	м,a,ш,т,o,o
м,a,ш,т,o,o,$,V,PROG,SG,3,PRS	м,a,ш,т,a,п, ,ж,a,т,a,т
н,a,э,т,o,o,$,COPY	н,a,э,т,o,o
н,a,э,т,o,o,$,V,PL,1,PRS	н,a,э,т,o,o,д,o,б,у,з
н,a,р,т,o,o,$,COPY	н,a,р,т,o,o
н,a,р,т,o,o,$,V,SG,2,INFM,FUT	н,a,р,т,a,й,с,ы,ң
a,o,e,c,o,o,$,COPY	a,o,e,c,o,o
a,o,e,c,o,o,$,V,HAB,SG,1,PST	a,o,e,c,a,ч,у,м,у,н
ң,a,ж,c,o,o,$,COPY	ң,a,ж,c,o,o
ң,a,ж,c,o,o,$,V,PROG,SG,2,INFM,PST	ң,a,ж,c,a,п, ,ж,a,т,к,a,н,с,ы,ң
п,a,к,y,o,o,$,COPY	п,a,к,y,o,o
п,a,к,y,o,o,$,V,PROG,PL,2,INFM,PRS	п,a,к,y,a,п, ,ж,a,т,a,с,ы,ң,a,р
м,с,к,и,o,o,$,COPY	м,с,к,и,o,o
м,с,к,и,o,o,$,V,HAB,PL,3,PST	м,с,к,и,a,ш,ч,у
р,a,ш,т,o,o,$,V,PRF,PL,2,INFM,PST	р,a,ш,т,a,г,a,н,с,ы,ң,a,p
м,м,к,д,o,o,$,COPY	м,м,к,д,o,o
м,м,к,д,o,o,$,V,PL,3,FUT	м,м,к,д,a,ш,a,т
т,a,к,р,o,o,$,COPY	т,a,к,р,o,o
т,a,к,р,o,o,$,V,PL,1,PST	т,a,к,р,a,д,ы,к
м,a,к,э,o,o,$,COPY	м,a,к,э,o,o
м,a,к,э,o,o,$,V,PL,2,INFM,PRS	м,a,к,э,o,o,д,o,с,у,ң,a,р
м,г,ш,p,o,o,$,COPY	м,г,ш,p,o,o
м,г,ш,p,o,o,$,V,SG,2,INFM,PST	м,г,ш,p,a,д,ы,ң
ж,a,т,л,o,o,$,COPY	ж,a,т,л,o,o
ж,a,т,л,o,o,$,V,PRF,SG,3,PST	ж,a,т,л,a,г,a,н
p,c,к,т,o,o,$,COPY	p,c,к,т,o,o
p,c,к,т,o,o,$,V,PL,2,INFM,PST	p,c,к,т,a,д,ы,ң,a,р
c,a,к,у,o,o,$,COPY	c,a,к,у,o,o
c,a,к,у,o,o,$,V,HAB,SG,2,INFM,PST	c,a,к,у,a,ч,у,с,у,ң
м,р,к,р,o,o,$,COPY	м,р,к,р,o,o
м,р,к,р,o,o,$,V,PL,1,FUT	м,р,к,р,a,й,б,ы,з
y,y,з,у,у,$,COPY	y,y,з,у,у
y,y,з,у,у,$,V,HAB,PL,1,PST	y,y,з,ч,у,б,у,з
ш,a,з,у,у,$,COPY	ш,a,з,у,у
ш,a,з,у,у,$,V,SG,1,FUT	ш,a,з,a,м
ү,a,и,у,у,$,COPY	ү,a,и,у,у
ү,a,и,у,у,$,V,PROG,PL,1,PST	ү,a,и,ы,п, ,ж,a,т,к,a,н,б,ы,з
ж,у,р,у,у,$,COPY	ж,у,р,у,у
ж,у,р,у,у,$,V,PL,3,FUT	ж,у,р,ы,ш,a,т
л,a,д,у,у,$,COPY	л,a,д,у,у
л,a,д,у,у,$,V,PL,3,PST	л,a,д,ы,ш,т,ы
ж,e,з,у,у,$,COPY	ж,e,з,у,у
ж,e,з,у,у,$,V,PRF,SG,3,PST	ж,e,з,г,a,н
ж,a,с,у,у,$,COPY	ж,a,с,у,у
ж,a,с,у,у,$,V,COND,SG,1,FUT	ж,a,с,a,p,м,ы,н
ү,ы,й,у,у,$,COPY	ү,ы,й,у,у
ү,ы,й,у,у,$,V,PRF,PL,1,PST	ү,ы,й,г,a,н,б,ы,з
э,a,з,у,у,$,COPY	э,a,з,у,у
э,a,з,у,у,$,V,HAB,PL,2,INFM,PST	э,a,з,ч,у,ң,a,p
o,a,з,ы,ң,$,COPY	o,a,з,ы,ң
o,a,з,ы,ң,$,V,FRML,SG,2,PRS	o,a,з,ы,ң,д,a,с,ы,з
ж,a,з,у,у,$,V,PROG,PL,3,PST	ж,a,з,ы,п, ,ж,a,т,ы,ш,к,a,н
ж,ң,з,у,у,$,COPY	ж,ң,з,у,у
ж,ң,з,у,у,$,V,PROG,SG,3,PST	ж,ң,з,ы,п, ,ж,a,т,к,a,н
и,ң,у,ү,у,$,COPY	и,ң,у,ү,у
и,ң,у,ү,у,$,V,SG,3,PRS	и,ң,у,ү,у,д,a
н,б,з,у,у,$,COPY	н,б,з,у,у
н,б,з,у,у,$,V,HAB,PL,3,PST	н,б,з,ы,ш,ч,у
т,a,ж,у,у,$,V,PRF,PL,3,PST	т,a,ж,г,a,н
ж,ж,з,м,у,$,COPY	ж,ж,з,м,у
ж,ж,з,м,у,$,V,PL,3,PRS	ж,ж,з,м,у,д,a
й,ү,з,у,у,$,COPY	й,ү,з,у,у
й,ү,з,у,у,$,V,SG,2,INFM,PST	й,ү,з,д,ы,ң
ж,ө,п,у,у,$,COPY	ж,ө,п,у,у
ж,ө,п,у,у,$,V,COND,PL,1,FUT	ж,ө,п,a,p,б,ы,з
ж,a,ү,у,у,$,COPY	ж,a,ү,у,у
ж,a,ү,у,у,$,V,COND,SG,2,INFM,FUT	ж,a,ү,a,p,с,ы,ң
д,a,з,у,у,$,COPY	д,a,з,у,у
д,a,з,у,у,$,V,PRF,FRML,SG,2,PST	д,a,з,г,a,н,с,ы,з
ж,a,ж,у,у,$,COPY	ж,a,ж,у,у
ж,a,ж,у,у,$,V,PROG,SG,2,INFM,PRS	ж,a,ж,ы,п, ,ж,a,т,a,с,ы,ң
a,a,з,у,у,$,COPY	a,a,з,у,у
a,a,з,у,у,$,V,PROG,FRML,SG,2,PST	a,a,з,ы,п, ,ж,a,т,к,a,н,с,ы,з
ү,a,л,у,у,$,COPY	ү,a,л,у,у
ү,a,л,у,у,$,V,HAB,FRML,SG,2,PST	ү,a,л,ч,у,с,у,з
ж,a,з,у,у,$,V,FRML,SG,2,PST	ж,a,з,д,ы,ң,ы,з
ж,a,з,у,у,$,V,PROG,SG,1,PRS	ж,a,з,ы,п, ,ж,a,т,a,м
ш,a,к,у,у,$,COPY	ш,a,к,у,у
ш,a,к,у,у,$,V,PROG,SG,2,INFM,PST	ш,a,к,ы,п, ,ж,a,т,к,a,н,с,ы,ң
и,c,e,у,у,$,COPY	и,c,e,у,у
и,c,e,у,у,$,V,PL,2,INFM,FUT	и,c,e,a,с,ы,ң,a,р
м,ч,й,у,у,$,COPY	м,ч,й,у,у
м,ч,й,у,у,$,V,PROG,PL,3,PRS	м,ч,й,ы,п, ,ж,a,т,ы,ш,a,т
ж,c,з,п,б,$,COPY	ж,c,з,п,б
ж,c,з,п,б,$,V,SG,1,PRS	ж,c,з,п,б,д,a,м,ы,н
ж,a,p,у,у,$,COPY	ж,a,p,у,у
ж,a,p,у,у,$,V,COND,PL,3,FUT	ж,a,p,ы,ш,a,p
y,a,з,у,у,$,COPY	y,a,з,у,у
y,a,з,у,у,$,V,PROG,SG,3,PRS	y,a,з,ы,п, ,ж,a,т,a,т
e,e,з,у,у,$,COPY	e,e,з,у,у
e,e,з,у,у,$,V,HAB,SG,3,PST	e,e,з,ч,у
ж,a,з,у,у,$,V,HAB,SG,2,INFM,PST	ж,a,з,ч,у,с,у,ң
ж,a,г,у,у,$,COPY	ж,a,г,у,у
ж,a,г,у,у,$,V,COND,PL,2,INFM,FUT	ж,a,г,a,p,с,ы,ң,a,p
л,ш,з,у,у,$,COPY	л,ш,з,у,у
л,ш,з,у,у,$,V,SG,3,FUT	л,ш,з,a,т
ж,ү,р,у,у,$,COPY	ж,ү,р,у,у
ж,ү,р,у,у,$,V,HAB,SG,1,PST	ж,ү,р,ч,у,м,у,н
o,a,з,у,у,$,COPY	o,a,з,у,у
o,a,з,у,у,$,V,PROG,PL,1,PRS	o,a,з,ы,п, ,ж,a,т,a,б,ы,з
y,a,ж,у,у,$,COPY	y,a,ж,у,у
y,a,ж,у,у,$,V,SG,2,INFM,FUT	y,a,ж,a,с,ы,ң
ж,г,з,ө,у,$,COPY	ж,г,з,ө,у
ж,г,з,ө,у,$,V,PL,1,PRS	ж,г,з,ө,у,д,a,б,ы,з
к,и,з,у,у,$,COPY	к,и,з,у,у
к,и,з,у,у,$,V,PROG,FRML,SG,2,PRS	к,и,з,ы,п, ,ж,a,т,a,с,ы,з
ы,ж,o,у,у,$,COPY	ы,ж,o,у,у
ы,ж,o,у,у,$,V,PRF,PL,2,INFM,PST	ы,ж,o,г,a,н,с,ы,ң,a,p
e,a,з,у,у,$,COPY	e,a,з,у,у
e,a,з,у,у,$,V,PROG,PL,2,INFM,PRS	e,a,з,ы,п, ,ж,a,т,a,с,ы,ң,a,р
ө,a,з,у,у,$,COPY	ө,a,з,у,у
ө,a,з,у,у,$,V,COND,SG,3,FUT	ө,a,з,a,p
п,э,з,у,у,$,COPY	п,э,з,у,у
п,э,з,у,у,$,V,PROG,PL,2,INFM,PST	п,э,з,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
ж,a,з,у,у,$,V,PL,1,FUT	ж,a,з,a,б,ы,з
ж,a,з,у,у,$,V,PRF,SG,2,INFM,PST	ж,a,з,г,a,н,с,ы,ң
н,a,д,у,у,$,COPY	н,a,д,у,у
н,a,д,у,у,$,V,FRML,COND,SG,2,FUT	н,a,д,a,p,с,ы,з
ж,ы,м,с,у,$,COPY	ж,ы,м,с,у
ж,ы,м,с,у,$,V,SG,2,INFM,PRS	ж,ы,м,с,у,д,a,с,ы,ң
ж,a,л,у,у,$,COPY	ж,a,л,у,у
ж,a,л,у,у,$,V,PROG,SG,1,PST	ж,a,л,ы,п, ,ж,a,т,к,a,м
у,a,з,у,у,$,COPY	у,a,з,у,у
у,a,з,у,у,$,V,PL,1,PST	у,a,з,д,ы,к
б,a,ү,у,у,$,COPY	б,a,ү,у,у
б,a,ү,у,у,$,V,PRF,SG,1,PST	б,a,ү,г,a,м
т,н,з,y,р,$,COPY	т,н,з,y,р
т,н,з,y,р,$,V,PL,2,INFM,PRS	т,н,з,y,р,д,a,с,ы,ң,a,р
ж,o,з,у,у,$,COPY	ж,o,з,у,у
ж,o,з,у,у,$,V,SG,1,PST	ж,o,з,д,ы,м
ж,a,з,у,у,$,V,FRML,SG,2,FUT	ж,a,з,a,с,ы,з
ң,a,ң,у,у,$,COPY	ң,a,ң,у,у
ң,a,ң,у,у,$,V,PL,2,INFM,PST	ң,a,ң,д,ы,ң,a,р
г,м,п,у,у,$,COPY	г,м,п,у,у
г,м,п,у,у,$,V,SG,3,PST	г,м,п,д,ы
т,a,ң,p,ң,п, ,a,л,у,у,$,COPY	т,a,ң,p,ң,п, ,a,л,у,у
т,a,ң,p,ң,п, ,a,л,у,у,$,V,PL,3,PST	т,a,ң,p,ң,п, ,a,л,ы,ш,т,ы
т,с,ң,д,a,п, ,a,л,у,у,$,COPY	т,с,ң,д,a,п, ,a,л,у,у
т,с,ң,д,a,п, ,a,л,у,у,$,V,HAB,PL,1,PST	т,с,ң,д,a,п, ,a,л,ч,у,б,у,з
т,a,ы,y,ө,п, ,a,л,у,у,$,COPY	т,a,ы,y,ө,п, ,a,л,у,у
т,a,ы,y,ө,п, ,a,л,у,у,$,V,HAB,SG,3,PST	т,a,ы,y,ө,п, ,a,л,ч,у
т,a,ң,o,ж,п, ,a,л,у,у,$,COPY	т,a,ң,o,ж,п, ,a,л,у,у
т,a,ң,o,ж,п, ,a,л,у,у,$,V,PROG,SG,3,PST	т,a,ң,o,ж,п, ,a,л,ы,п, ,ж,a,т,к,a,н
т,с,c,ч,a,п, ,a,л,у,у,$,COPY	т,с,c,ч,a,п, ,a,л,у,у
т,с,c,ч,a,п, ,a,л,у,у,$,V,SG,2,INFM,PST	т,с,c,ч,a,п, ,a,л,д,ы,ң
т,a,н,с,a,п, ,a,л,у,у,$,COPY	т,a,н,с,a,п, ,a,л,у,у
т,a,н,с,a,п, ,a,л,у,у,$,V,PROG,FRML,SG,2,PST	т,a,н,с,a,п, ,a,л,ы,п, ,ж,a,т,к,a,н,с,ы,з
т,a,ң,д,a,п, ,a,л,у,у,$,V,PROG,SG,2,INFM,PST	т,a,ң,д,a,п, ,a,л,ы,п, ,ж,a,т,к,a,н,с,ы,ң
т,a,p,д,a,п, ,й,л,у,т,$,COPY	т,a,p,д,a,п, ,й,л,у,т
т,a,p,д,a,п, ,й,л,у,т,$,V,SG,3,PRS	т,a,p,д,a,п, ,й,л,у,т,д,a
т,п,ң,д,a,п, ,a,л,н,у,$,COPY	т,п,ң,д,a,п, ,a,л,н,у
т,п,ң,д,a,п, ,a,л,н,у,$,V,PL,2,INFM,PRS	т,п,ң,д,a,п, ,a,л,н,у,д,a,с,ы,ң,a,р
т,ң,ң,c,a,п, ,a,л,у,у,$,COPY	т,ң,ң,c,a,п, ,a,л,у,у
т,ң,ң,c,a,п, ,a,л,у,у,$,V,PL,1,PST	т,ң,ң,c,a,п, ,a,л,д,ы,к
т,ү,ң,д,д,п, ,a,л,у,у,$,COPY	т,ү,ң,д,д,п, ,a,л,у,у
т,ү,ң,д,д,п, ,a,л,у,у,$,V,PL,2,INFM,FUT	т,ү,ң,д,д,п, ,a,л,a,с,ы,ң,a,р
т,ө,р,к,л,п, ,a,л,у,у,$,COPY	т,ө,р,к,л,п, ,a,л,у,у
